date,trump stroke
2016-05-01,6.251908396946565
2016-05-02,5.770992366412214
2016-05-03,5.290076335877863
2016-05-04,10.580152671755727
2016-05-05,11.541984732824428
2016-05-06,5.770992366412214
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,5.290076335877863
2016-05-10,5.290076335877863
2016-05-11,11.061068702290077
2016-05-12,16.35114503816794
2016-05-13,5.770992366412214
2016-05-14,0.0
2016-05-15,6.251908396946565
2016-05-16,5.290076335877863
2016-05-17,8.17557251908397
2016-05-18,0.0
2016-05-19,5.290076335877863
2016-05-20,5.770992366412214
2016-05-21,6.251908396946565
2016-05-22,6.251908396946565
2016-05-23,0.0
2016-05-24,5.290076335877863
2016-05-25,11.061068702290077
2016-05-26,5.770992366412214
2016-05-27,5.770992366412214
2016-05-28,9.618320610687023
2016-05-29,6.251908396946565
2016-05-30,0.0
2016-05-31,11.061068702290077
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,5.770992366412214
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,8.17557251908397
2016-06-07,5.290076335877863
2016-06-08,0.0
2016-06-09,11.061068702290077
2016-06-10,5.770992366412214
2016-06-11,6.251908396946565
2016-06-12,12.984732824427482
2016-06-13,5.290076335877863
2016-06-14,5.290076335877863
2016-06-15,8.17557251908397
2016-06-16,0.0
2016-06-17,5.770992366412214
2016-06-18,12.984732824427482
2016-06-19,6.251908396946565
2016-06-20,5.290076335877863
2016-06-21,5.290076335877863
2016-06-22,5.290076335877863
2016-06-23,0.0
2016-06-24,20.198473282442748
2016-06-25,6.732824427480916
2016-06-26,6.251908396946565
2016-06-27,13.465648854961833
2016-06-28,11.061068702290077
2016-06-29,5.290076335877863
2016-06-30,5.770992366412214
2016-07-01,5.770992366412214
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,8.65648854961832
2016-07-05,8.65648854961832
2016-07-06,8.65648854961832
2016-07-07,5.770992366412214
2016-07-08,0.0
2016-07-09,6.732824427480916
2016-07-10,6.732824427480916
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,5.770992366412214
2016-07-14,5.770992366412214
2016-07-15,0.0
2016-07-16,12.984732824427482
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,48.091603053435115
2016-07-20,28.37404580152672
2016-07-21,8.65648854961832
2016-07-22,20.198473282442748
2016-07-23,6.732824427480916
2016-07-24,16.35114503816794
2016-07-25,11.061068702290077
2016-07-26,8.17557251908397
2016-07-27,13.946564885496183
2016-07-28,13.946564885496183
2016-07-29,29.33587786259542
2016-07-30,13.465648854961833
2016-07-31,6.732824427480916
2016-08-01,13.946564885496183
2016-08-02,16.83206106870229
2016-08-03,11.061068702290077
2016-08-04,13.946564885496183
2016-08-05,11.541984732824428
2016-08-06,10.099236641221374
2016-08-07,13.465648854961833
2016-08-08,22.122137404580155
2016-08-09,11.061068702290077
2016-08-10,16.83206106870229
2016-08-11,11.541984732824428
2016-08-12,5.770992366412214
2016-08-13,0.0
2016-08-14,6.732824427480916
2016-08-15,5.770992366412214
2016-08-16,5.770992366412214
2016-08-17,11.061068702290077
2016-08-18,5.770992366412214
2016-08-19,11.541984732824428
2016-08-20,12.984732824427482
2016-08-21,9.618320610687023
2016-08-22,5.290076335877863
2016-08-23,11.061068702290077
2016-08-24,11.061068702290077
2016-08-25,16.83206106870229
2016-08-26,5.770992366412214
2016-08-27,0.0
2016-08-28,6.251908396946565
2016-08-29,10.580152671755727
2016-08-30,0.0
2016-08-31,10.580152671755727
2016-09-01,8.17557251908397
2016-09-02,5.770992366412214
2016-09-03,9.618320610687023
2016-09-04,25.48854961832061
2016-09-05,5.770992366412214
2016-09-06,10.580152671755727
2016-09-07,10.580152671755727
2016-09-08,5.290076335877863
2016-09-09,5.770992366412214
2016-09-10,0.0
2016-09-11,9.137404580152673
2016-09-12,40.396946564885496
2016-09-13,15.870229007633588
2016-09-14,10.580152671755727
2016-09-15,11.061068702290077
2016-09-16,16.83206106870229
2016-09-17,12.50381679389313
2016-09-18,6.251908396946565
2016-09-19,5.290076335877863
2016-09-20,5.290076335877863
2016-09-21,21.160305343511453
2016-09-22,8.17557251908397
2016-09-23,13.946564885496183
2016-09-24,6.251908396946565
2016-09-25,12.022900763358779
2016-09-26,7.694656488549619
2016-09-27,18.274809160305345
2016-09-28,12.984732824427482
2016-09-29,8.17557251908397
2016-09-30,13.946564885496183
2016-10-01,11.694656488549619
2016-10-02,8.32824427480916
2016-10-03,7.145038167938932
2016-10-04,7.145038167938932
2016-10-05,18.484732824427482
2016-10-06,16.137404580152673
2016-10-07,9.790076335877863
2016-10-08,18.637404580152673
2016-10-09,17.3206106870229
2016-10-10,23.080152671755727
2016-10-11,13.435114503816795
2016-10-12,19.022900763358777
2016-10-13,10.84732824427481
2016-10-14,14.645038167938932
2016-10-15,7.068702290076336
2016-10-16,11.011450381679388
2016-10-17,20.541984732824428
2016-10-18,18.896946564885496
2016-10-19,14.194656488549619
2016-10-20,18.549618320610687
2016-10-21,16.790076335877863
2016-10-22,16.454198473282442
2016-10-23,12.511450381679388
2016-10-24,14.492366412213741
2016-10-25,13.83969465648855
2016-10-26,12.194656488549619
2016-10-27,13.194656488549619
2016-10-28,10.087786259541986
2016-10-29,14.251908396946565
2016-10-30,8.125954198473282
2016-10-31,23.080152671755727
2016-11-01,0.0
2016-11-02,9.0
2016-11-03,20.0
2016-11-04,18.0
2016-11-05,5.0
2016-11-06,25.0
2016-11-07,13.0
2016-11-08,15.0
2016-11-09,100.0
2016-11-10,38.0
2016-11-11,40.0
2016-11-12,15.0
