date,bankrupt
2016-05-01,42.17562533262374
2016-05-02,68.12985630654603
2016-05-03,61.64129856306546
2016-05-04,72.18520489622139
2016-05-05,68.12985630654603
2016-05-06,51.9084619478446
2016-05-07,47.85311335816924
2016-05-08,44.608834486428954
2016-05-09,57.5859499733901
2016-05-10,50.286322511974454
2016-05-11,64.07450771687068
2016-05-12,56.77488025545503
2016-05-13,49.475252794039385
2016-05-14,39.74241617881852
2016-05-15,44.608834486428954
2016-05-16,58.39701969132518
2016-05-17,50.286322511974454
2016-05-18,51.09739222990953
2016-05-19,51.09739222990953
2016-05-20,45.41990420436402
2016-05-21,40.55348589675359
2016-05-22,41.36455561468867
2016-05-23,47.85311335816924
2016-05-24,51.9084619478446
2016-05-25,51.09739222990953
2016-05-26,45.41990420436402
2016-05-27,43.797764768493884
2016-05-28,31.631718999467804
2016-05-29,45.41990420436402
2016-05-30,41.36455561468867
2016-05-31,56.77488025545503
2016-06-01,60.83022884513039
2016-06-02,54.341671101649816
2016-06-03,55.96381053751996
2016-06-04,50.286322511974454
2016-06-05,47.85311335816924
2016-06-06,58.39701969132518
2016-06-07,50.286322511974454
2016-06-08,51.9084619478446
2016-06-09,51.09739222990953
2016-06-10,81.10697179350718
2016-06-11,51.9084619478446
2016-06-12,42.98669505055881
2016-06-13,46.2309739222991
2016-06-14,47.85311335816924
2016-06-15,47.04204364023417
2016-06-16,51.9084619478446
2016-06-17,45.41990420436402
2016-06-18,42.17562533262374
2016-06-19,39.74241617881852
2016-06-20,39.74241617881852
2016-06-21,54.341671101649816
2016-06-22,51.9084619478446
2016-06-23,47.04204364023417
2016-06-24,51.9084619478446
2016-06-25,34.87599787120809
2016-06-26,43.797764768493884
2016-06-27,56.77488025545503
2016-06-28,51.9084619478446
2016-06-29,40.55348589675359
2016-06-30,43.797764768493884
2016-07-01,42.98669505055881
2016-07-02,44.608834486428954
2016-07-03,38.93134646088345
2016-07-04,40.55348589675359
2016-07-05,48.664183076104315
2016-07-06,51.9084619478446
2016-07-07,43.797764768493884
2016-07-08,40.55348589675359
2016-07-09,40.55348589675359
2016-07-10,42.17562533262374
2016-07-11,42.98669505055881
2016-07-12,44.608834486428954
2016-07-13,53.530601383714746
2016-07-14,52.71953166577967
2016-07-15,47.85311335816924
2016-07-16,47.04204364023417
2016-07-17,50.286322511974454
2016-07-18,48.664183076104315
2016-07-19,47.04204364023417
2016-07-20,52.71953166577967
2016-07-21,51.9084619478446
2016-07-22,59.208089409260246
2016-07-23,47.85311335816924
2016-07-24,38.12027674294838
2016-07-25,51.9084619478446
2016-07-26,52.71953166577967
2016-07-27,49.475252794039385
2016-07-28,51.09739222990953
2016-07-29,57.5859499733901
2016-07-30,40.55348589675359
2016-07-31,42.98669505055881
2016-08-01,49.475252794039385
2016-08-02,57.5859499733901
2016-08-03,56.77488025545503
2016-08-04,56.77488025545503
2016-08-05,46.2309739222991
2016-08-06,37.30920702501331
2016-08-07,42.98669505055881
2016-08-08,50.286322511974454
2016-08-09,49.475252794039385
2016-08-10,47.04204364023417
2016-08-11,51.09739222990953
2016-08-12,40.55348589675359
2016-08-13,37.30920702501331
2016-08-14,46.2309739222991
2016-08-15,50.286322511974454
2016-08-16,43.797764768493884
2016-08-17,38.12027674294838
2016-08-18,47.04204364023417
2016-08-19,46.2309739222991
2016-08-20,36.49813730707823
2016-08-21,38.12027674294838
2016-08-22,45.41990420436402
2016-08-23,44.608834486428954
2016-08-24,42.98669505055881
2016-08-25,43.797764768493884
2016-08-26,45.41990420436402
2016-08-27,39.74241617881852
2016-08-28,35.68706758914316
2016-08-29,40.55348589675359
2016-08-30,51.9084619478446
2016-08-31,59.208089409260246
2016-09-01,57.5859499733901
2016-09-02,53.530601383714746
2016-09-03,46.2309739222991
2016-09-04,44.608834486428954
2016-09-05,48.664183076104315
2016-09-06,57.5859499733901
2016-09-07,56.77488025545503
2016-09-08,52.71953166577967
2016-09-09,51.9084619478446
2016-09-10,47.04204364023417
2016-09-11,40.55348589675359
2016-09-12,56.77488025545503
2016-09-13,54.341671101649816
2016-09-14,49.475252794039385
2016-09-15,55.152740819584885
2016-09-16,55.152740819584885
2016-09-17,43.797764768493884
2016-09-18,43.797764768493884
2016-09-19,50.286322511974454
2016-09-20,48.664183076104315
2016-09-21,51.09739222990953
2016-09-22,55.96381053751996
2016-09-23,49.475252794039385
2016-09-24,43.797764768493884
2016-09-25,42.98669505055881
2016-09-26,55.96381053751996
2016-09-27,65.69664715274082
2016-09-28,61.64129856306546
2016-09-29,51.09739222990953
2016-09-30,51.09739222990953
2016-10-01,37.371208089409265
2016-10-02,42.993347525279404
2016-10-03,56.076370409792446
2016-10-04,56.198509845662585
2016-10-05,54.887440127727515
2016-10-06,50.4542309739223
2016-10-07,50.42655667908462
2016-10-08,38.46567323044172
2016-10-09,42.08781266631187
2016-10-10,49.64316125598722
2016-10-11,53.859765832889835
2016-10-12,53.548696114954765
2016-10-13,45.398882384246946
2016-10-14,48.42655667908462
2016-10-15,33.72139435870144
2016-10-16,43.398882384246946
2016-10-17,47.64316125598722
2016-10-18,50.237626397019696
2016-10-19,57.887440127727515
2016-10-20,58.387440127727515
2016-10-21,43.08781266631187
2016-10-22,39.06013837147419
2016-10-23,38.56013837147419
2016-10-24,48.737626397019696
2016-10-25,53.576370409792446
2016-10-26,44.209952102182015
2016-10-27,52.387440127727515
2016-10-28,43.30441724321447
2016-10-29,37.56013837147419
2016-10-30,44.58781266631187
2016-10-31,53.14316125598722
2016-11-01,54.670835550824904
2016-11-02,48.0
