date,hillary clinton private server
2016-12-20,12.229367631296892
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,13.10289389067524
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,13.10289389067524
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,14.84994640943194
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,12.229367631296892
2017-01-05,12.229367631296892
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,11.355841371918542
2017-01-12,11.355841371918542
2017-01-13,23.585209003215432
2017-01-14,13.10289389067524
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,12.229367631296892
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,11.355841371918542
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,34.941050375133976
2017-01-27,12.229367631296892
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,11.355841371918542
2017-01-31,11.355841371918542
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,13.10289389067524
2017-02-06,11.355841371918542
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,12.229367631296892
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,5.677920685959271
2017-03-03,33.17522580209264
2017-03-04,0.0
2017-03-05,17.69704130926825
2017-03-06,0.0
2017-03-07,10.41098130625858
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,5.649136869389498
2017-03-12,5.649136869389498
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,5.649136869389498
2017-03-19,0.0
2017-03-20,5.677920685959271
2017-03-21,0.0
2017-03-22,5.677920685959271
2017-03-23,0.0
2017-03-24,11.30578256049285
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,10.382197489688807
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,10.076838739992077
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,11.603632488475725
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,9.771479990295347
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,9.771479990295347
2017-05-03,9.771479990295347
2017-05-04,0.0
2017-05-05,10.076838739992077
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,10.076838739992077
2017-05-09,9.771479990295347
2017-05-10,19.848318730287424
