date,fool
2016-05-01,6.06807946642344
2016-05-02,5.994078497320715
2016-05-03,5.994078497320715
2016-05-04,5.994078497320715
2016-05-05,6.438084311937065
2016-05-06,6.36408334283434
2016-05-07,6.51208528103979
2016-05-08,6.142080435526165
2016-05-09,5.772075590012541
2016-05-10,5.698074620909816
2016-05-11,5.846076559115266
2016-05-12,5.994078497320715
2016-05-13,6.06807946642344
2016-05-14,6.21608140462889
2016-05-15,6.80808915745069
2016-05-16,5.92007752821799
2016-05-17,5.92007752821799
2016-05-18,6.2900823737316145
2016-05-19,5.550072682704366
2016-05-20,6.06807946642344
2016-05-21,5.846076559115266
2016-05-22,5.994078497320715
2016-05-23,5.846076559115266
2016-05-24,5.698074620909816
2016-05-25,6.06807946642344
2016-05-26,5.92007752821799
2016-05-27,5.994078497320715
2016-05-28,6.06807946642344
2016-05-29,6.06807946642344
2016-05-30,5.772075590012541
2016-05-31,5.772075590012541
2016-06-01,5.624073651807091
2016-06-02,5.180067837190742
2016-06-03,5.698074620909816
2016-06-04,5.994078497320715
2016-06-05,6.21608140462889
2016-06-06,5.550072682704366
2016-06-07,5.476071713601641
2016-06-08,5.772075590012541
2016-06-09,5.698074620909816
2016-06-10,5.846076559115266
2016-06-11,5.698074620909816
2016-06-12,6.2900823737316145
2016-06-13,5.106066868088017
2016-06-14,5.328069775396192
2016-06-15,6.2900823737316145
2016-06-16,5.550072682704366
2016-06-17,5.772075590012541
2016-06-18,5.772075590012541
2016-06-19,6.2900823737316145
2016-06-20,5.402070744498916
2016-06-21,5.624073651807091
2016-06-22,5.328069775396192
2016-06-23,5.624073651807091
2016-06-24,5.994078497320715
2016-06-25,6.586086250142515
2016-06-26,5.994078497320715
2016-06-27,5.402070744498916
2016-06-28,5.624073651807091
2016-06-29,5.772075590012541
2016-06-30,5.476071713601641
2016-07-01,5.698074620909816
2016-07-02,5.994078497320715
2016-07-03,5.846076559115266
2016-07-04,5.476071713601641
2016-07-05,5.772075590012541
2016-07-06,5.846076559115266
2016-07-07,5.698074620909816
2016-07-08,5.550072682704366
2016-07-09,6.51208528103979
2016-07-10,5.846076559115266
2016-07-11,5.476071713601641
2016-07-12,5.550072682704366
2016-07-13,5.92007752821799
2016-07-14,6.51208528103979
2016-07-15,6.2900823737316145
2016-07-16,6.51208528103979
2016-07-17,6.51208528103979
2016-07-18,5.846076559115266
2016-07-19,6.660087219245239
2016-07-20,6.142080435526165
2016-07-21,6.660087219245239
2016-07-22,6.36408334283434
2016-07-23,6.95609109565614
2016-07-24,6.95609109565614
2016-07-25,6.142080435526165
2016-07-26,6.21608140462889
2016-07-27,6.36408334283434
2016-07-28,6.51208528103979
2016-07-29,6.51208528103979
2016-07-30,7.178094002964313
2016-07-31,6.734088188347965
2016-08-01,5.772075590012541
2016-08-02,6.2900823737316145
2016-08-03,5.772075590012541
2016-08-04,5.92007752821799
2016-08-05,6.2900823737316145
2016-08-06,6.586086250142515
2016-08-07,6.21608140462889
2016-08-08,5.624073651807091
2016-08-09,5.698074620909816
2016-08-10,5.698074620909816
2016-08-11,6.21608140462889
2016-08-12,5.92007752821799
2016-08-13,6.142080435526165
2016-08-14,6.142080435526165
2016-08-15,5.92007752821799
2016-08-16,5.846076559115266
2016-08-17,5.772075590012541
2016-08-18,6.142080435526165
2016-08-19,5.994078497320715
2016-08-20,6.21608140462889
2016-08-21,5.846076559115266
2016-08-22,5.92007752821799
2016-08-23,5.698074620909816
2016-08-24,5.92007752821799
2016-08-25,6.36408334283434
2016-08-26,5.846076559115266
2016-08-27,5.994078497320715
2016-08-28,5.846076559115266
2016-08-29,5.402070744498916
2016-08-30,5.92007752821799
2016-08-31,5.106066868088017
2016-09-01,6.2900823737316145
2016-09-02,5.772075590012541
2016-09-03,6.438084311937065
2016-09-04,6.36408334283434
2016-09-05,5.254068806293467
2016-09-06,5.624073651807091
2016-09-07,5.698074620909816
2016-09-08,6.142080435526165
2016-09-09,5.772075590012541
2016-09-10,6.882090126553414
2016-09-11,6.2900823737316145
2016-09-12,5.994078497320715
2016-09-13,5.994078497320715
2016-09-14,5.698074620909816
2016-09-15,6.36408334283434
2016-09-16,6.586086250142515
2016-09-17,7.400096910272488
2016-09-18,6.142080435526165
2016-09-19,5.550072682704366
2016-09-20,5.772075590012541
2016-09-21,5.698074620909816
2016-09-22,5.994078497320715
2016-09-23,6.06807946642344
2016-09-24,6.2900823737316145
2016-09-25,6.51208528103979
2016-09-26,5.624073651807091
2016-09-27,5.994078497320715
2016-09-28,5.550072682704366
2016-09-29,5.92007752821799
