date,faint
2016-12-14,31.078296146044625
2016-12-15,31.078296146044625
2016-12-16,31.078296146044625
2016-12-17,24.944421906693712
2016-12-18,35.167545638945235
2016-12-19,29.851521298174443
2016-12-20,28.624746450304258
2016-12-21,30.260446247464504
2016-12-22,30.260446247464504
2016-12-23,31.078296146044625
2016-12-24,29.44259634888438
2016-12-25,24.53549695740365
2016-12-26,27.397971602434076
2016-12-27,33.94077079107505
2016-12-28,38.43894523326572
2016-12-29,32.713995943204864
2016-12-30,33.94077079107505
2016-12-31,26.989046653144015
2017-01-01,29.44259634888438
2017-01-02,31.078296146044625
2017-01-03,29.851521298174443
2017-01-04,29.44259634888438
2017-01-05,33.94077079107505
2017-01-06,31.896146044624746
2017-01-07,30.260446247464504
2017-01-08,35.576470588235296
2017-01-09,32.3050709939148
2017-01-10,31.896146044624746
2017-01-11,33.12292089249493
2017-01-12,30.669371196754565
2017-01-13,30.669371196754565
2017-01-14,27.397971602434076
2017-01-15,33.94077079107505
2017-01-16,38.84787018255578
2017-01-17,32.713995943204864
2017-01-18,31.896146044624746
2017-01-19,29.851521298174443
2017-01-20,33.12292089249493
2017-01-21,31.896146044624746
2017-01-22,33.94077079107505
2017-01-23,30.669371196754565
2017-01-24,38.43894523326572
2017-01-25,35.167545638945235
2017-01-26,33.94077079107505
2017-01-27,33.94077079107505
2017-01-28,28.624746450304258
2017-01-29,26.989046653144015
2017-01-30,38.84787018255578
2017-01-31,35.167545638945235
2017-02-01,36.80324543610548
2017-02-02,40.892494929006084
2017-02-03,39.6657200811359
2017-02-04,30.669371196754565
2017-02-05,34.758620689655174
2017-02-06,32.713995943204864
2017-02-07,33.94077079107505
2017-02-08,33.12292089249493
2017-02-09,33.12292089249493
2017-02-10,33.94077079107505
2017-02-11,30.260446247464504
2017-02-12,29.03367139959432
2017-02-13,29.03367139959432
2017-02-14,29.851521298174443
2017-02-15,33.94077079107505
2017-02-16,30.260446247464504
2017-02-17,38.84787018255578
2017-02-18,35.576470588235296
2017-02-19,34.758620689655174
2017-02-20,33.12292089249493
2017-02-21,33.53184584178499
2017-02-22,32.713995943204864
2017-02-23,32.713995943204864
2017-02-24,29.03367139959432
2017-02-25,32.713995943204864
2017-02-26,31.896146044624746
2017-02-27,33.53184584178499
2017-02-28,33.12292089249493
2017-03-01,33.88181635549449
2017-03-02,33.270225327103404
2017-03-03,34.09885359894757
2017-03-04,24.438818215398975
2017-03-05,34.70505544070664
2017-03-06,37.78456732919013
2017-03-07,32.653245112080306
2017-03-08,31.625543552223135
2017-03-09,32.0362648970572
2017-03-10,35.314850073553714
2017-03-11,29.362085166775756
2017-03-12,29.16301187876274
