date,president obama health
2016-05-01,32.93617021276596
2016-05-02,35.86382978723404
2016-05-03,13.906382978723403
2016-05-04,21.225531914893615
2016-05-05,14.638297872340424
2016-05-06,14.638297872340424
2016-05-07,16.834042553191487
2016-05-08,0.0
2016-05-09,27.812765957446807
2016-05-10,13.906382978723403
2016-05-11,13.906382978723403
2016-05-12,28.544680851063827
2016-05-13,21.957446808510635
2016-05-14,0.0
2016-05-15,32.93617021276596
2016-05-16,55.625531914893614
2016-05-17,41.71914893617021
2016-05-18,13.906382978723403
2016-05-19,35.13191489361702
2016-05-20,21.957446808510635
2016-05-21,16.834042553191487
2016-05-22,33.668085106382975
2016-05-23,13.906382978723403
2016-05-24,0.0
2016-05-25,13.906382978723403
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,28.544680851063827
2016-06-01,27.812765957446807
2016-06-02,14.638297872340424
2016-06-03,0.0
2016-06-04,16.834042553191487
2016-06-05,16.834042553191487
2016-06-06,0.0
2016-06-07,13.906382978723403
2016-06-08,13.906382978723403
2016-06-09,14.638297872340424
2016-06-10,30.00851063829787
2016-06-11,16.834042553191487
2016-06-12,16.834042553191487
2016-06-13,41.71914893617021
2016-06-14,13.906382978723403
2016-06-15,21.225531914893615
2016-06-16,14.638297872340424
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,14.638297872340424
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,14.638297872340424
2016-06-30,0.0
2016-07-01,14.638297872340424
2016-07-02,16.834042553191487
2016-07-03,16.834042553191487
2016-07-04,15.370212765957445
2016-07-05,14.638297872340424
2016-07-06,0.0
2016-07-07,14.638297872340424
2016-07-08,15.370212765957445
2016-07-09,34.4
2016-07-10,0.0
2016-07-11,14.638297872340424
2016-07-12,0.0
2016-07-13,14.638297872340424
2016-07-14,21.957446808510635
