date,obama intelligence
2016-05-01,3.8380281690140845
2016-05-02,4.413732394366197
2016-05-03,2.1109154929577465
2016-05-04,2.1109154929577465
2016-05-05,2.3028169014084505
2016-05-06,2.3028169014084505
2016-05-07,2.494718309859155
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,2.1109154929577465
2016-05-12,0.0
2016-05-13,2.3028169014084505
2016-05-14,2.494718309859155
2016-05-15,2.494718309859155
2016-05-16,2.1109154929577465
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,6.332746478873239
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,7.676056338028169
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,2.1109154929577465
2016-05-26,2.3028169014084505
2016-05-27,3.454225352112676
2016-05-28,0.0
2016-05-29,2.494718309859155
2016-05-30,0.0
2016-05-31,2.1109154929577465
2016-06-01,0.0
2016-06-02,2.1109154929577465
2016-06-03,2.3028169014084505
2016-06-04,0.0
2016-06-05,2.494718309859155
2016-06-06,2.1109154929577465
2016-06-07,2.1109154929577465
2016-06-08,4.221830985915493
2016-06-09,4.413732394366197
2016-06-10,3.454225352112676
2016-06-11,0.0
2016-06-12,4.98943661971831
2016-06-13,4.221830985915493
2016-06-14,2.1109154929577465
2016-06-15,3.2623239436619715
2016-06-16,8.63556338028169
2016-06-17,4.413732394366197
2016-06-18,19.19014084507042
2016-06-19,15.160211267605634
2016-06-20,4.221830985915493
2016-06-21,4.221830985915493
2016-06-22,2.1109154929577465
2016-06-23,2.1109154929577465
2016-06-24,4.413732394366197
2016-06-25,2.494718309859155
2016-06-26,0.0
2016-06-27,2.1109154929577465
2016-06-28,5.373239436619718
2016-06-29,2.1109154929577465
2016-06-30,0.0
2016-07-01,2.3028169014084505
2016-07-02,2.686619718309859
2016-07-03,6.524647887323943
2016-07-04,4.605633802816901
2016-07-05,2.3028169014084505
2016-07-06,2.3028169014084505
2016-07-07,4.413732394366197
2016-07-08,6.908450704225352
2016-07-09,0.0
