date,trump russia
2016-05-01,0.37337662337662336
2016-05-02,0.37337662337662336
2016-05-03,0.37337662337662336
2016-05-04,1.12012987012987
2016-05-05,0.7467532467532467
2016-05-06,0.7467532467532467
2016-05-07,0.37337662337662336
2016-05-08,0.7467532467532467
2016-05-09,0.37337662337662336
2016-05-10,0.37337662337662336
2016-05-11,0.37337662337662336
2016-05-12,0.0
2016-05-13,0.37337662337662336
2016-05-14,0.37337662337662336
2016-05-15,0.37337662337662336
2016-05-16,0.37337662337662336
2016-05-17,0.37337662337662336
2016-05-18,0.37337662337662336
2016-05-19,0.37337662337662336
2016-05-20,0.37337662337662336
2016-05-21,0.0
2016-05-22,0.37337662337662336
2016-05-23,0.37337662337662336
2016-05-24,0.0
2016-05-25,0.7467532467532467
2016-05-26,0.37337662337662336
2016-05-27,0.37337662337662336
2016-05-28,0.37337662337662336
2016-05-29,0.37337662337662336
2016-05-30,0.37337662337662336
2016-05-31,0.37337662337662336
2016-06-01,0.37337662337662336
2016-06-02,0.37337662337662336
2016-06-03,0.37337662337662336
2016-06-04,0.37337662337662336
2016-06-05,0.37337662337662336
2016-06-06,0.37337662337662336
2016-06-07,0.37337662337662336
2016-06-08,0.7467532467532467
2016-06-09,0.37337662337662336
2016-06-10,0.0
2016-06-11,0.37337662337662336
2016-06-12,0.37337662337662336
2016-06-13,0.7467532467532467
2016-06-14,0.7467532467532467
2016-06-15,1.12012987012987
2016-06-16,0.37337662337662336
2016-06-17,0.7467532467532467
2016-06-18,0.37337662337662336
2016-06-19,0.37337662337662336
2016-06-20,0.37337662337662336
2016-06-21,0.7467532467532467
2016-06-22,0.37337662337662336
2016-06-23,0.37337662337662336
2016-06-24,0.37337662337662336
2016-06-25,0.37337662337662336
2016-06-26,0.37337662337662336
2016-06-27,0.37337662337662336
2016-06-28,0.37337662337662336
2016-06-29,0.0
2016-06-30,0.37337662337662336
2016-07-01,0.37337662337662336
2016-07-02,0.37337662337662336
2016-07-03,0.37337662337662336
2016-07-04,0.0
2016-07-05,0.37337662337662336
2016-07-06,0.37337662337662336
2016-07-07,0.37337662337662336
2016-07-08,0.37337662337662336
2016-07-09,0.37337662337662336
2016-07-10,0.37337662337662336
2016-07-11,0.37337662337662336
2016-07-12,0.0
2016-07-13,0.37337662337662336
2016-07-14,0.37337662337662336
2016-07-15,0.37337662337662336
2016-07-16,0.37337662337662336
2016-07-17,0.37337662337662336
2016-07-18,0.37337662337662336
2016-07-19,1.12012987012987
2016-07-20,0.7467532467532467
2016-07-21,1.12012987012987
2016-07-22,1.12012987012987
2016-07-23,0.7467532467532467
2016-07-24,2.24025974025974
2016-07-25,4.48051948051948
2016-07-26,4.107142857142857
2016-07-27,37.33766233766234
2016-07-28,27.256493506493506
2016-07-29,8.587662337662337
2016-07-30,6.347402597402597
2016-07-31,4.107142857142857
2016-08-01,3.7337662337662336
2016-08-02,2.6136363636363633
2016-08-03,2.6136363636363633
2016-08-04,1.4935064935064934
2016-08-05,1.4935064935064934
2016-08-06,1.4935064935064934
2016-08-07,1.12012987012987
2016-08-08,1.12012987012987
2016-08-09,1.12012987012987
2016-08-10,1.12012987012987
2016-08-11,0.7467532467532467
2016-08-12,0.7467532467532467
2016-08-13,1.12012987012987
2016-08-14,0.7467532467532467
2016-08-15,1.8668831168831168
2016-08-16,1.4935064935064934
2016-08-17,1.12012987012987
2016-08-18,1.12012987012987
2016-08-19,1.12012987012987
2016-08-20,0.7467532467532467
2016-08-21,0.7467532467532467
2016-08-22,0.7467532467532467
2016-08-23,0.7467532467532467
2016-08-24,0.37337662337662336
2016-08-25,0.7467532467532467
2016-08-26,0.7467532467532467
2016-08-27,0.37337662337662336
2016-08-28,0.37337662337662336
2016-08-29,0.37337662337662336
2016-08-30,0.37337662337662336
2016-08-31,0.7467532467532467
2016-09-01,0.7467532467532467
2016-09-02,0.7467532467532467
2016-09-03,0.37337662337662336
2016-09-04,0.37337662337662336
2016-09-05,0.37337662337662336
2016-09-06,0.7467532467532467
2016-09-07,1.12012987012987
2016-09-08,1.12012987012987
2016-09-09,1.8668831168831168
2016-09-10,1.12012987012987
2016-09-11,1.12012987012987
2016-09-12,0.37337662337662336
2016-09-13,0.37337662337662336
2016-09-14,1.12012987012987
2016-09-15,0.7467532467532467
2016-09-16,0.7467532467532467
2016-09-17,0.7467532467532467
2016-09-18,0.37337662337662336
2016-09-19,0.37337662337662336
2016-09-20,0.37337662337662336
2016-09-21,0.37337662337662336
2016-09-22,0.7467532467532467
2016-09-23,1.4935064935064934
2016-09-24,2.987012987012987
2016-09-25,1.8668831168831168
2016-09-26,1.4935064935064934
2016-09-27,2.24025974025974
2016-09-28,1.12012987012987
2016-09-29,0.7467532467532467
2016-09-30,0.7467532467532467
2016-10-01,1.060064935064935
2016-10-02,1.060064935064935
2016-10-03,0.8733766233766234
2016-10-04,0.8733766233766234
2016-10-05,4.053571428571429
2016-10-06,1.060064935064935
2016-10-07,1.2467532467532467
2016-10-08,2.9935064935064934
2016-10-09,3.4935064935064934
2016-10-10,7.920454545454545
2016-10-11,3.366883116883117
2016-10-12,4.053571428571429
2016-10-13,5.113636363636363
2016-10-14,4.24025974025974
2016-10-15,3.4935064935064934
2016-10-16,3.866883116883117
2016-10-17,2.9935064935064934
2016-10-18,2.9935064935064934
2016-10-19,2.12012987012987
2016-10-20,5.987012987012987
2016-10-21,2.9935064935064934
2016-10-22,2.12012987012987
2016-10-23,2.12012987012987
2016-10-24,2.12012987012987
2016-10-25,1.9334415584415585
2016-10-26,1.9334415584415585
