date,hillary protest
2016-05-01,1.0165745856353592
2016-05-02,0.8895027624309393
2016-05-03,2.668508287292818
2016-05-04,0.8895027624309393
2016-05-05,8.259668508287293
2016-05-06,7.497237569060774
2016-05-07,1.0165745856353592
2016-05-08,1.0165745856353592
2016-05-09,0.8895027624309393
2016-05-10,0.0
2016-05-11,2.668508287292818
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.8895027624309393
2016-05-17,2.668508287292818
2016-05-18,0.0
2016-05-19,0.8895027624309393
2016-05-20,1.7790055248618786
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.8895027624309393
2016-05-25,0.0
2016-05-26,3.6850828729281773
2016-05-27,0.0
2016-05-28,1.0165745856353592
2016-05-29,1.0165745856353592
2016-05-30,0.0
2016-05-31,0.8895027624309393
2016-06-01,0.8895027624309393
2016-06-02,0.0
2016-06-03,4.7016574585635365
2016-06-04,1.0165745856353592
2016-06-05,1.0165745856353592
2016-06-06,2.668508287292818
2016-06-07,1.7790055248618786
2016-06-08,1.7790055248618786
2016-06-09,1.7790055248618786
2016-06-10,0.0
2016-06-11,1.0165745856353592
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.8895027624309393
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.8895027624309393
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,1.9060773480662985
2016-06-25,1.0165745856353592
2016-06-26,1.0165745856353592
2016-06-27,1.7790055248618786
2016-06-28,0.8895027624309393
2016-06-29,0.8895027624309393
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,1.0165745856353592
2016-07-05,2.7955801104972378
2016-07-06,1.9060773480662985
2016-07-07,1.9060773480662985
2016-07-08,6.734806629834255
2016-07-09,4.320441988950277
2016-07-10,1.0165745856353592
2016-07-11,1.7790055248618786
2016-07-12,0.8895027624309393
2016-07-13,1.7790055248618786
2016-07-14,0.8895027624309393
2016-07-15,2.7955801104972378
2016-07-16,1.0165745856353592
2016-07-17,2.1602209944751385
2016-07-18,0.8895027624309393
2016-07-19,2.7955801104972378
2016-07-20,0.0
2016-07-21,2.7955801104972378
2016-07-22,1.9060773480662985
2016-07-23,1.0165745856353592
2016-07-24,6.353591160220995
2016-07-25,9.022099447513813
2016-07-26,1.7790055248618786
2016-07-27,12.70718232044199
2016-07-28,6.353591160220995
2016-07-29,9.530386740331492
2016-07-30,6.480662983425415
2016-07-31,5.337016574585636
2016-08-01,0.0
2016-08-02,1.7790055248618786
2016-08-03,3.6850828729281773
2016-08-04,2.7955801104972378
2016-08-05,1.9060773480662985
2016-08-06,1.143646408839779
2016-08-07,5.464088397790055
2016-08-08,1.7790055248618786
2016-08-09,0.8895027624309393
2016-08-10,0.0
2016-08-11,3.6850828729281773
2016-08-12,0.8895027624309393
2016-08-13,0.0
2016-08-14,1.0165745856353592
2016-08-15,2.7955801104972378
2016-08-16,0.0
2016-08-17,0.8895027624309393
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,1.0165745856353592
2016-08-21,1.0165745856353592
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.8895027624309393
2016-08-25,0.8895027624309393
2016-08-26,1.9060773480662985
2016-08-27,2.1602209944751385
2016-08-28,0.0
2016-08-29,1.7790055248618786
2016-08-30,1.7790055248618786
2016-08-31,0.8895027624309393
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,1.7790055248618786
2016-09-06,1.7790055248618786
2016-09-07,4.447513812154696
2016-09-08,0.8895027624309393
2016-09-09,5.464088397790055
2016-09-10,2.0331491712707184
2016-09-11,8.005524861878454
2016-09-12,6.099447513812155
2016-09-13,4.320441988950277
2016-09-14,3.430939226519337
2016-09-15,2.668508287292818
2016-09-16,1.7790055248618786
2016-09-17,2.0331491712707184
2016-09-18,3.9392265193370166
2016-09-19,2.541436464088398
2016-09-20,1.6519337016574587
2016-09-21,2.668508287292818
2016-09-22,3.430939226519337
2016-09-23,4.574585635359116
2016-09-24,3.0497237569060776
2016-09-25,3.0497237569060776
2016-09-26,1.7790055248618786
2016-09-27,1.6519337016574587
2016-09-28,2.541436464088398
2016-09-29,1.7790055248618786
2016-09-30,3.558011049723757
2016-10-01,1.0165745856353592
2016-10-02,0.0
2016-10-03,2.270718232044199
2016-10-04,1.3259668508287294
2016-10-05,1.9447513812154695
2016-10-06,1.4447513812154695
2016-10-07,0.9447513812154696
2016-10-08,3.4696132596685083
2016-10-09,0.0
2016-10-10,2.270718232044199
2016-10-11,3.270718232044199
2016-10-12,1.9447513812154695
2016-10-13,1.8895027624309393
2016-10-14,1.834254143646409
2016-10-15,2.516574585635359
2016-10-16,0.0
2016-10-17,1.4447513812154695
2016-10-18,10.074585635359117
