date,hillary clinton crooked
2016-12-15,4.385763490241103
2016-12-16,4.385763490241103
2016-12-17,5.2629161882893225
2016-12-18,0.0
2016-12-19,4.385763490241103
2016-12-20,4.385763490241103
2016-12-21,4.385763490241103
2016-12-22,4.385763490241103
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,4.385763490241103
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,4.385763490241103
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,5.2629161882893225
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,4.385763490241103
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,6.140068886337543
2017-01-10,0.0
2017-01-11,7.894374282433985
2017-01-12,7.894374282433985
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,4.385763490241103
2017-01-16,7.894374282433985
2017-01-17,4.385763490241103
2017-01-18,0.0
2017-01-19,4.385763490241103
2017-01-20,12.280137772675086
2017-01-21,7.017221584385764
2017-01-22,4.385763490241103
2017-01-23,3.508610792192882
2017-01-24,6.140068886337543
2017-01-25,7.894374282433985
2017-01-26,6.140068886337543
2017-01-27,4.385763490241103
2017-01-28,9.648679678530426
2017-01-29,8.771526980482205
2017-01-30,4.385763490241103
2017-01-31,4.385763490241103
2017-02-01,3.508610792192882
2017-02-02,0.0
2017-02-03,4.385763490241103
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,3.508610792192882
2017-02-09,3.508610792192882
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,4.385763490241103
2017-02-13,3.508610792192882
2017-02-14,4.385763490241103
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,4.385763490241103
2017-02-19,4.385763490241103
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,3.508610792192882
2017-02-24,4.385763490241103
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,7.894374282433985
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,5.85990807475358
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,5.274650672544149
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,8.419492452837435
2017-03-12,2.1928817451205513
2017-03-13,0.0
2017-03-14,1.754305396096441
2017-03-15,0.0
2017-03-16,1.754305396096441
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,5.274650672544149
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,5.274650672544149
2017-03-29,2.1928817451205513
2017-03-30,5.85990807475358
2017-03-31,0.0
