date,trump fraud
2016-05-01,3.747072599531616
2016-05-02,1.4988290398126465
2016-05-03,0.7494145199063232
2016-05-04,3.3723653395784545
2016-05-05,2.6229508196721314
2016-05-06,0.7494145199063232
2016-05-07,5.620608899297424
2016-05-08,2.6229508196721314
2016-05-09,4.121779859484778
2016-05-10,1.873536299765808
2016-05-11,2.6229508196721314
2016-05-12,2.6229508196721314
2016-05-13,0.3747072599531616
2016-05-14,1.124121779859485
2016-05-15,1.124121779859485
2016-05-16,1.873536299765808
2016-05-17,2.6229508196721314
2016-05-18,1.873536299765808
2016-05-19,2.6229508196721314
2016-05-20,0.7494145199063232
2016-05-21,2.997658079625293
2016-05-22,0.3747072599531616
2016-05-23,0.3747072599531616
2016-05-24,0.7494145199063232
2016-05-25,0.7494145199063232
2016-05-26,0.7494145199063232
2016-05-27,0.3747072599531616
2016-05-28,0.3747072599531616
2016-05-29,1.4988290398126465
2016-05-30,2.997658079625293
2016-05-31,3.3723653395784545
2016-06-01,12.365339578454334
2016-06-02,6.370023419203748
2016-06-03,6.744730679156909
2016-06-04,9.367681498829041
2016-06-05,5.995316159250586
2016-06-06,8.618266978922717
2016-06-07,7.868852459016394
2016-06-08,4.49648711943794
2016-06-09,5.620608899297424
2016-06-10,10.866510538641688
2016-06-11,7.119437939110071
2016-06-12,2.6229508196721314
2016-06-13,2.997658079625293
2016-06-14,2.997658079625293
2016-06-15,0.7494145199063232
2016-06-16,2.997658079625293
2016-06-17,1.4988290398126465
2016-06-18,0.3747072599531616
2016-06-19,1.124121779859485
2016-06-20,1.124121779859485
2016-06-21,1.124121779859485
2016-06-22,2.6229508196721314
2016-06-23,1.873536299765808
2016-06-24,0.3747072599531616
2016-06-25,4.121779859484778
2016-06-26,1.124121779859485
2016-06-27,2.997658079625293
2016-06-28,2.6229508196721314
2016-06-29,2.6229508196721314
2016-06-30,1.4988290398126465
2016-07-01,0.7494145199063232
2016-07-02,0.0
2016-07-03,2.6229508196721314
2016-07-04,1.4988290398126465
2016-07-05,1.873536299765808
2016-07-06,4.121779859484778
2016-07-07,0.7494145199063232
2016-07-08,2.997658079625293
2016-07-09,1.124121779859485
2016-07-10,1.4988290398126465
2016-07-11,1.4988290398126465
2016-07-12,1.124121779859485
2016-07-13,1.4988290398126465
2016-07-14,2.24824355971897
2016-07-15,2.6229508196721314
2016-07-16,0.0
2016-07-17,4.871194379391101
2016-07-18,2.24824355971897
2016-07-19,1.873536299765808
2016-07-20,4.871194379391101
2016-07-21,6.744730679156909
2016-07-22,7.119437939110071
2016-07-23,2.6229508196721314
2016-07-24,2.997658079625293
2016-07-25,2.997658079625293
2016-07-26,5.620608899297424
2016-07-27,2.997658079625293
2016-07-28,2.997658079625293
2016-07-29,5.995316159250586
2016-07-30,4.871194379391101
2016-07-31,1.124121779859485
2016-08-01,4.121779859484778
2016-08-02,2.6229508196721314
2016-08-03,11.61592505854801
2016-08-04,8.243559718969555
2016-08-05,4.871194379391101
2016-08-06,2.24824355971897
2016-08-07,3.3723653395784545
2016-08-08,1.873536299765808
2016-08-09,5.245901639344263
2016-08-10,4.121779859484778
2016-08-11,2.6229508196721314
2016-08-12,1.4988290398126465
2016-08-13,7.494145199063232
2016-08-14,4.871194379391101
2016-08-15,2.6229508196721314
2016-08-16,3.747072599531616
2016-08-17,1.873536299765808
2016-08-18,0.7494145199063232
2016-08-19,3.3723653395784545
2016-08-20,1.873536299765808
2016-08-21,1.124121779859485
2016-08-22,1.873536299765808
2016-08-23,2.997658079625293
2016-08-24,2.24824355971897
2016-08-25,2.6229508196721314
2016-08-26,4.49648711943794
2016-08-27,2.24824355971897
2016-08-28,1.4988290398126465
2016-08-29,2.6229508196721314
2016-08-30,1.873536299765808
2016-08-31,2.997658079625293
2016-09-01,2.6229508196721314
2016-09-02,2.997658079625293
2016-09-03,1.873536299765808
2016-09-04,2.997658079625293
2016-09-05,0.7494145199063232
2016-09-06,1.124121779859485
2016-09-07,0.7494145199063232
2016-09-08,2.997658079625293
2016-09-09,2.6229508196721314
2016-09-10,3.3723653395784545
2016-09-11,3.3723653395784545
2016-09-12,1.124121779859485
2016-09-13,2.24824355971897
2016-09-14,3.3723653395784545
2016-09-15,3.3723653395784545
2016-09-16,2.997658079625293
2016-09-17,4.121779859484778
2016-09-18,3.747072599531616
2016-09-19,1.4988290398126465
2016-09-20,2.997658079625293
2016-09-21,4.871194379391101
2016-09-22,1.873536299765808
2016-09-23,2.6229508196721314
2016-09-24,1.873536299765808
2016-09-25,1.124121779859485
2016-09-26,2.997658079625293
2016-09-27,4.871194379391101
2016-09-28,4.49648711943794
2016-09-29,3.3723653395784545
2016-09-30,4.871194379391101
2016-10-01,3.6861826697892273
2016-10-02,4.8103044496487115
2016-10-03,7.1850117096018735
2016-10-04,7.9344262295081975
2016-10-05,3.6861826697892273
2016-10-06,2.624121779859485
2016-10-07,3.124121779859485
2016-10-08,2.8114754098360657
2016-10-09,2.6861826697892273
2016-10-10,4.186182669789227
2016-10-11,6.9976580796252925
2016-10-12,8.433255269320844
2016-10-13,4.24824355971897
2016-10-14,5.43559718969555
2016-10-15,3.9355971896955504
2016-10-16,3.624121779859485
2016-10-17,7.122950819672131
2016-10-18,16.494145199063233
2016-10-19,11.307962529274004
2016-10-20,21.49063231850117
2016-10-21,7.9344262295081975
2016-10-22,10.058548009367682
2016-10-23,2.749414519906323
2016-10-24,9.183840749414522
2016-10-25,10.307962529274004
2016-10-26,10.433255269320844
2016-10-27,10.057377049180328
2016-10-28,14.806791569086652
2016-10-29,35.735362997658086
