date,wikileaks hacked
2016-12-17,22.88450704225352
2016-12-18,7.6281690140845075
2016-12-19,9.535211267605634
2016-12-20,6.356807511737089
2016-12-21,20.341784037558686
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,8.263849765258216
2016-12-25,0.0
2016-12-26,6.992488262910798
2016-12-27,0.0
2016-12-28,6.992488262910798
2016-12-29,10.170892018779343
2016-12-30,10.806572769953052
2016-12-31,15.892018779342724
2017-01-01,8.263849765258216
2017-01-02,6.992488262910798
2017-01-03,6.356807511737089
2017-01-04,9.535211267605634
2017-01-05,6.356807511737089
2017-01-06,16.527699530516433
2017-01-07,14.620657276995304
2017-01-08,10.806572769953052
2017-01-09,6.356807511737089
2017-01-10,12.713615023474178
2017-01-11,9.535211267605634
2017-01-12,0.0
2017-01-13,6.356807511737089
2017-01-14,0.0
2017-01-15,6.992488262910798
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,6.992488262910798
2017-01-22,13.984976525821596
2017-01-23,6.356807511737089
2017-01-24,6.356807511737089
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,6.992488262910798
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,6.992488262910798
2017-02-06,6.356807511737089
2017-02-07,6.356807511737089
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,12.07793427230047
2017-02-14,6.356807511737089
2017-02-15,0.0
2017-02-16,12.713615023474178
2017-02-17,0.0
2017-02-18,14.620657276995304
2017-02-19,6.992488262910798
2017-02-20,6.356807511737089
2017-02-21,0.0
2017-02-22,6.356807511737089
2017-02-23,6.356807511737089
2017-02-24,6.356807511737089
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,6.356807511737089
2017-03-01,2.4971198203715046
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,9.873780363339456
2017-03-05,6.377536231884058
2017-03-06,2.4971198203715046
2017-03-07,16.464131455399063
2017-03-08,50.99265156154317
2017-03-09,29.66279853031231
2017-03-10,8.80141457440294
2017-03-11,11.357956725862422
2017-03-12,0.0
2017-03-13,21.597944478464992
2017-03-14,2.4971198203715046
2017-03-15,5.6755235762400496
2017-03-16,5.8676097162686265
2017-03-17,0.0
2017-03-18,2.881292100428659
2017-03-19,10.065866503368035
2017-03-20,12.814494794856094
2017-03-21,8.36472953664013
2017-03-22,11.033206776893245
2017-03-23,9.953931414574402
2017-03-24,8.748901816697286
2017-03-25,6.569622371912635
2017-03-26,0.0
2017-03-27,8.046889161053276
2017-03-28,0.0
2017-03-29,3.1784037558685445
2017-03-30,2.6892059604000815
2017-03-31,0.0
2017-04-01,6.569622371912635
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,5.378411920800163
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,5.378411920800163
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,6.530928760971627
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,5.378411920800163
2017-04-19,5.378411920800163
2017-04-20,5.378411920800163
2017-04-21,0.0
2017-04-22,6.146756480914473
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,5.378411920800163
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,5.762584200857318
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,31.117954684629517
2017-05-07,12.293512961828945
2017-05-08,5.378411920800163
2017-05-09,0.0
2017-05-10,10.372651561543172
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,6.146756480914473
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,5.378411920800163
2017-05-18,5.378411920800163
2017-05-19,5.378411920800163
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,5.378411920800163
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,6.146756480914473
