date,jill stein putin
2016-12-13,7.0
2016-12-14,0.0
2016-12-15,15.0
2016-12-16,23.0
2016-12-17,8.0
2016-12-18,8.0
2016-12-19,7.0
2016-12-20,7.0
2016-12-21,8.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,16.0
2016-12-31,9.0
2017-01-01,0.0
2017-01-02,8.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,8.0
2017-01-08,8.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,10.0
2017-01-12,0.0
2017-01-13,14.0
2017-01-14,24.0
2017-01-15,12.0
2017-01-16,14.0
2017-01-17,7.0
2017-01-18,7.0
2017-01-19,7.0
2017-01-20,7.0
2017-01-21,8.0
2017-01-22,0.0
2017-01-23,7.0
2017-01-24,14.0
2017-01-25,0.0
2017-01-26,7.0
2017-01-27,14.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,7.0
2017-01-31,7.0
2017-02-01,14.0
2017-02-02,10.0
2017-02-03,0.0
2017-02-04,8.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,34.0
2017-02-08,7.0
2017-02-09,21.0
2017-02-10,14.0
2017-02-11,28.0
2017-02-12,12.0
2017-02-13,27.0
2017-02-14,92.0
2017-02-15,100.0
2017-02-16,69.0
2017-02-17,46.0
2017-02-18,36.0
2017-02-19,20.0
2017-02-20,17.0
2017-02-21,41.0
2017-02-22,27.0
2017-02-23,17.0
2017-02-24,14.0
2017-02-25,12.0
2017-02-26,28.0
2017-02-27,14.0
2017-02-28,0.0
2017-03-01,10.778337531486146
2017-03-02,15.964735516372796
2017-03-03,12.633501259445843
2017-03-04,0.0
2017-03-05,7.355163727959698
2017-03-06,6.482367758186398
2017-03-07,0.0
2017-03-08,9.295969773299749
2017-03-09,0.0
2017-03-10,13.482367758186399
2017-03-11,18.210327455919398
2017-03-12,7.355163727959698
2017-03-13,6.482367758186398
2017-03-14,0.0
2017-03-15,9.278337531486146
2017-03-16,19.269521410579344
2017-03-17,9.651133501259446
2017-03-18,12.710327455919396
2017-03-19,17.565491183879093
2017-03-20,2.982367758186398
2017-03-21,6.482367758186398
2017-03-22,12.074307304785895
2017-03-23,6.482367758186398
2017-03-24,3.168765743073048
2017-03-25,4.0
2017-03-26,14.896725440806046
2017-03-27,6.482367758186398
2017-03-28,5.778337531486146
2017-03-29,2.982367758186398
2017-03-30,7.973551637279597
2017-03-31,34.63979848866499
2017-04-01,11.541561712846349
2017-04-02,27.959697732997483
2017-04-03,17.894206549118387
2017-04-04,0.0
2017-04-05,5.964735516372796
2017-04-06,12.302267002518892
2017-04-07,6.337531486146096
2017-04-08,7.083123425692696
2017-04-09,7.083123425692696
2017-04-10,5.964735516372796
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,7.083123425692696
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,23.486146095717885
2017-04-19,35.41561712846348
2017-04-20,5.964735516372796
2017-04-21,0.0
2017-04-22,14.166246851385392
2017-04-23,6.710327455919396
2017-04-24,8.947103274559193
2017-04-25,11.929471032745592
2017-04-26,11.556675062972293
2017-04-27,11.929471032745592
2017-04-28,18.639798488664987
2017-04-29,27.959697732997483
2017-04-30,7.083123425692696
2017-05-01,6.710327455919396
2017-05-02,5.964735516372796
2017-05-03,5.964735516372796
2017-05-04,5.964735516372796
2017-05-05,0.0
2017-05-06,10.438287153652393
2017-05-07,7.083123425692696
2017-05-08,11.929471032745592
2017-05-09,11.929471032745592
2017-05-10,17.894206549118387
2017-05-11,5.964735516372796
2017-05-12,0.0
2017-05-13,7.083123425692696
2017-05-14,14.166246851385392
2017-05-15,11.929471032745592
2017-05-16,5.964735516372796
2017-05-17,0.0
2017-05-18,8.947103274559193
2017-05-19,6.337531486146096
2017-05-20,7.083123425692696
2017-05-21,0.0
2017-05-22,8.947103274559193
2017-05-23,20.503778337531486
2017-05-24,5.964735516372796
2017-05-25,12.675062972292192
2017-05-26,0.0
2017-05-27,7.455919395465996
2017-05-28,10.811083123425693
2017-05-29,12.675062972292192
2017-05-30,5.964735516372796
2017-05-31,12.302267002518892
2017-06-01,5.964735516372796
2017-06-02,22.367758186397985
2017-06-03,7.083123425692696
