date,hillary emails
2016-05-01,1.9575757575757575
2016-05-02,3.915151515151515
2016-05-03,1.9575757575757575
2016-05-04,4.893939393939394
2016-05-05,6.851515151515152
2016-05-06,6.851515151515152
2016-05-07,3.915151515151515
2016-05-08,3.915151515151515
2016-05-09,2.9363636363636365
2016-05-10,9.787878787878787
2016-05-11,6.851515151515152
2016-05-12,3.915151515151515
2016-05-13,4.893939393939394
2016-05-14,2.9363636363636365
2016-05-15,2.9363636363636365
2016-05-16,1.9575757575757575
2016-05-17,2.9363636363636365
2016-05-18,3.915151515151515
2016-05-19,2.9363636363636365
2016-05-20,2.9363636363636365
2016-05-21,1.9575757575757575
2016-05-22,1.9575757575757575
2016-05-23,2.9363636363636365
2016-05-24,1.9575757575757575
2016-05-25,7.83030303030303
2016-05-26,23.490909090909092
2016-05-27,7.83030303030303
2016-05-28,5.872727272727273
2016-05-29,6.851515151515152
2016-05-30,5.872727272727273
2016-05-31,5.872727272727273
2016-06-01,4.893939393939394
2016-06-02,4.893939393939394
2016-06-03,4.893939393939394
2016-06-04,2.9363636363636365
2016-06-05,3.915151515151515
2016-06-06,2.9363636363636365
2016-06-07,2.9363636363636365
2016-06-08,5.872727272727273
2016-06-09,7.83030303030303
2016-06-10,30.34242424242424
2016-06-11,22.51212121212121
2016-06-12,10.766666666666666
2016-06-13,6.851515151515152
2016-06-14,8.809090909090909
2016-06-15,6.851515151515152
2016-06-16,6.851515151515152
2016-06-17,4.893939393939394
2016-06-18,4.893939393939394
2016-06-19,10.766666666666666
2016-06-20,6.851515151515152
2016-06-21,3.915151515151515
2016-06-22,5.872727272727273
2016-06-23,3.915151515151515
2016-06-24,4.893939393939394
2016-06-25,4.893939393939394
2016-06-26,3.915151515151515
2016-06-27,4.893939393939394
2016-06-28,5.872727272727273
2016-06-29,3.915151515151515
2016-06-30,2.9363636363636365
2016-07-01,5.872727272727273
2016-07-02,6.851515151515152
2016-07-03,4.893939393939394
2016-07-04,4.893939393939394
2016-07-05,25.44848484848485
2016-07-06,23.490909090909092
2016-07-07,19.575757575757574
2016-07-08,14.681818181818182
2016-07-09,5.872727272727273
2016-07-10,3.915151515151515
2016-07-11,5.872727272727273
2016-07-12,4.893939393939394
2016-07-13,2.9363636363636365
2016-07-14,3.915151515151515
2016-07-15,3.915151515151515
2016-07-16,2.9363636363636365
2016-07-17,1.9575757575757575
2016-07-18,1.9575757575757575
2016-07-19,3.915151515151515
2016-07-20,6.851515151515152
2016-07-21,5.872727272727273
2016-07-22,7.83030303030303
2016-07-23,10.766666666666666
2016-07-24,12.724242424242425
2016-07-25,19.575757575757574
2016-07-26,18.596969696969698
2016-07-27,21.53333333333333
2016-07-28,17.618181818181817
2016-07-29,17.618181818181817
2016-07-30,11.745454545454546
2016-07-31,8.809090909090909
2016-08-01,9.787878787878787
2016-08-02,9.787878787878787
2016-08-03,9.787878787878787
2016-08-04,7.83030303030303
2016-08-05,5.872727272727273
2016-08-06,6.851515151515152
2016-08-07,5.872727272727273
2016-08-08,4.893939393939394
2016-08-09,4.893939393939394
2016-08-10,11.745454545454546
2016-08-11,9.787878787878787
2016-08-12,5.872727272727273
2016-08-13,5.872727272727273
2016-08-14,4.893939393939394
2016-08-15,3.915151515151515
2016-08-16,4.893939393939394
2016-08-17,5.872727272727273
2016-08-18,2.9363636363636365
2016-08-19,2.9363636363636365
2016-08-20,2.9363636363636365
2016-08-21,2.9363636363636365
2016-08-22,36.21515151515151
2016-08-23,22.51212121212121
2016-08-24,9.787878787878787
2016-08-25,7.83030303030303
2016-08-26,10.766666666666666
2016-08-27,4.893939393939394
2016-08-28,4.893939393939394
2016-08-29,3.915151515151515
2016-08-30,5.872727272727273
2016-08-31,7.83030303030303
2016-09-01,4.893939393939394
2016-09-02,6.851515151515152
2016-09-03,5.872727272727273
2016-09-04,4.893939393939394
2016-09-05,4.893939393939394
2016-09-06,4.893939393939394
2016-09-07,7.83030303030303
2016-09-08,8.809090909090909
2016-09-09,8.809090909090909
2016-09-10,3.915151515151515
2016-09-11,3.915151515151515
2016-09-12,4.893939393939394
2016-09-13,5.872727272727273
2016-09-14,10.766666666666666
2016-09-15,7.83030303030303
2016-09-16,3.915151515151515
2016-09-17,3.915151515151515
2016-09-18,2.9363636363636365
2016-09-19,3.915151515151515
2016-09-20,5.872727272727273
2016-09-21,4.893939393939394
2016-09-22,1.9575757575757575
2016-09-23,6.851515151515152
2016-09-24,5.872727272727273
2016-09-25,5.872727272727273
2016-09-26,5.872727272727273
2016-09-27,42.087878787878786
2016-09-28,15.66060606060606
2016-09-29,11.745454545454546
2016-09-30,8.809090909090909
2016-10-01,7.915151515151515
2016-10-02,6.4363636363636365
2016-10-03,7.415151515151515
2016-10-04,7.904545454545454
2016-10-05,7.415151515151515
2016-10-06,7.415151515151515
2016-10-07,9.893939393939394
2016-10-08,26.703030303030303
2016-10-09,24.724242424242426
2016-10-10,60.342424242424244
2016-10-11,34.11818181818182
2016-10-12,41.5439393939394
2016-10-13,45.50151515151515
2016-10-14,32.65
2016-10-15,27.703030303030303
2016-10-16,24.245454545454546
2016-10-17,24.245454545454546
2016-10-18,23.745454545454546
2016-10-19,22.756060606060608
2016-10-20,32.628787878787875
2016-10-21,16.798484848484847
2016-10-22,11.872727272727273
2016-10-23,8.415151515151514
2016-10-24,10.383333333333333
2016-10-25,12.362121212121213
2016-10-26,11.372727272727273
2016-10-27,12.383333333333333
2016-10-28,75.67272727272727
2016-10-29,98.93939393939394
2016-10-30,85.56666666666666
2016-10-31,84.60909090909091
