date,putin
2016-05-01,10.88449266113593
2016-05-02,7.95405232929164
2016-05-03,8.372686662412253
2016-05-04,9.209955328653479
2016-05-05,8.372686662412253
2016-05-06,7.95405232929164
2016-05-07,7.95405232929164
2016-05-08,7.95405232929164
2016-05-09,10.047223994894704
2016-05-10,8.791320995532866
2016-05-11,8.791320995532866
2016-05-12,9.209955328653479
2016-05-13,10.465858328015317
2016-05-14,11.30312699425654
2016-05-15,11.721761327377154
2016-05-16,10.047223994894704
2016-05-17,8.791320995532866
2016-05-18,8.791320995532866
2016-05-19,8.791320995532866
2016-05-20,8.372686662412253
2016-05-21,8.791320995532866
2016-05-22,10.465858328015317
2016-05-23,8.791320995532866
2016-05-24,8.791320995532866
2016-05-25,8.372686662412253
2016-05-26,8.791320995532866
2016-05-27,10.047223994894704
2016-05-28,12.140395660497767
2016-05-29,10.047223994894704
2016-05-30,9.209955328653479
2016-05-31,7.95405232929164
2016-06-01,7.95405232929164
2016-06-02,8.372686662412253
2016-06-03,7.95405232929164
2016-06-04,7.95405232929164
2016-06-05,8.372686662412253
2016-06-06,7.116783663050415
2016-06-07,7.535417996171028
2016-06-08,8.372686662412253
2016-06-09,8.372686662412253
2016-06-10,7.95405232929164
2016-06-11,10.465858328015317
2016-06-12,9.209955328653479
2016-06-13,8.372686662412253
2016-06-14,9.628589661774091
2016-06-15,9.628589661774091
2016-06-16,9.209955328653479
2016-06-17,11.30312699425654
2016-06-18,12.977664326738992
2016-06-19,14.652201659221443
2016-06-20,10.88449266113593
2016-06-21,8.791320995532866
2016-06-22,7.95405232929164
2016-06-23,7.95405232929164
2016-06-24,14.23356732610083
2016-06-25,10.88449266113593
2016-06-26,9.628589661774091
2016-06-27,9.209955328653479
2016-06-28,9.628589661774091
2016-06-29,11.30312699425654
2016-06-30,10.465858328015317
2016-07-01,10.88449266113593
2016-07-02,9.209955328653479
2016-07-03,7.535417996171028
2016-07-04,8.372686662412253
2016-07-05,8.372686662412253
2016-07-06,8.372686662412253
2016-07-07,7.95405232929164
2016-07-08,8.372686662412253
2016-07-09,10.047223994894704
2016-07-10,9.628589661774091
2016-07-11,8.372686662412253
2016-07-12,8.372686662412253
2016-07-13,8.791320995532866
2016-07-14,9.209955328653479
2016-07-15,18.838544990427568
2016-07-16,15.070835992342056
2016-07-17,12.140395660497767
2016-07-18,10.047223994894704
2016-07-19,10.047223994894704
2016-07-20,8.791320995532866
2016-07-21,10.88449266113593
2016-07-22,9.209955328653479
2016-07-23,10.047223994894704
2016-07-24,12.977664326738992
2016-07-25,14.652201659221443
2016-07-26,15.489470325462669
2016-07-27,21.76898532227186
2016-07-28,25.955328653477984
2016-07-29,21.76898532227186
2016-07-30,24.280791320995533
2016-07-31,17.16400765794512
2016-08-01,15.489470325462669
2016-08-02,14.23356732610083
2016-08-03,12.55902999361838
2016-08-04,10.465858328015317
2016-08-05,11.30312699425654
2016-08-06,10.88449266113593
2016-08-07,10.88449266113593
2016-08-08,10.88449266113593
2016-08-09,22.60625398851308
2016-08-10,16.745373324824506
2016-08-11,12.977664326738992
2016-08-12,12.977664326738992
2016-08-13,10.465858328015317
2016-08-14,9.628589661774091
2016-08-15,13.814932992980218
2016-08-16,12.55902999361838
2016-08-17,10.465858328015317
2016-08-18,10.465858328015317
2016-08-19,11.30312699425654
2016-08-20,10.465858328015317
2016-08-21,10.88449266113593
2016-08-22,10.047223994894704
2016-08-23,9.628589661774091
2016-08-24,11.30312699425654
2016-08-25,11.30312699425654
2016-08-26,10.465858328015317
2016-08-27,9.628589661774091
2016-08-28,10.465858328015317
2016-08-29,8.791320995532866
2016-08-30,10.465858328015317
2016-08-31,12.140395660497767
2016-09-01,10.047223994894704
2016-09-02,11.30312699425654
2016-09-03,10.88449266113593
2016-09-04,12.55902999361838
2016-09-05,16.326738991703895
2016-09-06,20.931716656030634
2016-09-07,24.280791320995533
2016-09-08,23.443522654754307
2016-09-09,19.675813656668794
2016-09-10,16.745373324824506
2016-09-11,15.90810465858328
2016-09-12,11.30312699425654
2016-09-13,11.721761327377154
2016-09-14,12.140395660497767
2016-09-15,11.721761327377154
2016-09-16,11.30312699425654
2016-09-17,11.721761327377154
2016-09-18,12.55902999361838
2016-09-19,13.814932992980218
2016-09-20,12.140395660497767
2016-09-21,12.55902999361838
2016-09-22,11.30312699425654
2016-09-23,10.88449266113593
2016-09-24,10.88449266113593
2016-09-25,11.721761327377154
2016-09-26,10.465858328015317
2016-09-27,12.140395660497767
2016-09-28,10.88449266113593
2016-09-29,10.465858328015317
2016-09-30,11.30312699425654
2016-10-01,9.814294830887047
2016-10-02,10.023611997447352
2016-10-03,10.442246330567965
2016-10-04,11.860880663688576
2016-10-05,20.047223994894704
2016-10-06,14.116783663050416
2016-10-07,22.30312699425654
2016-10-08,18.00063816209317
2016-10-09,15.535417996171027
2016-10-10,21.88449266113593
2016-10-11,20.047223994894704
2016-10-12,30.98947032546267
2016-10-13,40.09444798978941
2016-10-14,31.198787492022973
2016-10-15,36.29195915762604
2016-10-16,25.977664326738992
2016-10-17,23.221761327377152
2016-10-18,22.30312699425654
2016-10-19,23.931078493937463
2016-10-20,41.93171665603063
2016-10-21,24.849712827058074
2016-10-22,20.465858328015315
2016-10-23,17.791320995532864
2016-10-24,17.08200382897256
2016-10-25,15.95405232929164
2016-10-26,17.291320995532864
2016-10-27,18.00063816209317
2016-10-28,17.08200382897256
2016-10-29,14.616783663050416
2016-10-30,14.116783663050416
2016-10-31,13.698149329929802
2016-11-01,15.035417996171027
2016-11-02,15.0
