date,hillary clinton intelligence
2016-11-24,5.0
2016-11-25,9.0
2016-11-26,5.0
2016-11-27,5.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,5.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,5.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,5.0
2016-12-07,0.0
2016-12-08,5.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,5.0
2016-12-12,5.0
2016-12-13,9.0
2016-12-14,0.0
2016-12-15,5.0
2016-12-16,5.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,6.0
2017-01-02,0.0
2017-01-03,5.0
2017-01-04,0.0
2017-01-05,5.0
2017-01-06,100.0
2017-01-07,62.0
2017-01-08,16.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,9.0
2017-01-12,4.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,5.0
2017-01-28,5.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,5.0
2017-02-06,9.0
2017-02-07,0.0
2017-02-08,4.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,9.0
2017-02-16,4.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,3.4728110599078343
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,4.160829493087558
2017-03-05,1.6608294930875578
2017-03-06,1.4414746543778802
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,1.4728110599078341
2017-03-10,1.504147465437788
2017-03-11,0.0
2017-03-12,2.5
2017-03-13,1.4414746543778802
2017-03-14,1.4414746543778802
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,1.535483870967742
2017-03-18,4.160829493087558
2017-03-19,1.6608294930875578
2017-03-20,3.4728110599078343
2017-03-21,3.4414746543778802
2017-03-22,3.4414746543778802
2017-03-23,3.4728110599078343
2017-03-24,0.0
2017-03-25,1.7235023041474655
2017-03-26,4.223502304147465
2017-03-27,0.0
2017-03-28,2.0
2017-03-29,4.976958525345623
2017-03-30,4.0041474654377875
2017-03-31,4.066820276497696
2017-04-01,6.723502304147465
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,3.070967741935484
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,2.9456221198156682
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,3.509677419354839
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,5.828571428571429
2017-05-04,3.008294930875576
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,5.953917050691245
2017-05-11,3.008294930875576
2017-05-12,3.070967741935484
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,4.449769585253456
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,6.267281105990784
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,3.008294930875576
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
