date,trump hand
2016-05-01,0.6145021645021645
2016-05-02,0.6145021645021645
2016-05-03,0.7820936639118458
2016-05-04,1.6759149940968123
2016-05-05,0.8938213301849666
2016-05-06,1.2848681621408895
2016-05-07,0.7820936639118458
2016-05-08,0.5027744982290437
2016-05-09,0.4469106650924833
2016-05-10,0.7262298307752854
2016-05-11,0.7262298307752854
2016-05-12,0.670365997638725
2016-05-13,0.7262298307752854
2016-05-14,0.670365997638725
2016-05-15,0.5027744982290437
2016-05-16,0.670365997638725
2016-05-17,0.6145021645021645
2016-05-18,0.4469106650924833
2016-05-19,0.3910468319559229
2016-05-20,0.3351829988193625
2016-05-21,0.7820936639118458
2016-05-22,0.5586383313656041
2016-05-23,0.3910468319559229
2016-05-24,0.5027744982290437
2016-05-25,0.22345533254624164
2016-05-26,0.5027744982290437
2016-05-27,0.7262298307752854
2016-05-28,0.670365997638725
2016-05-29,0.5027744982290437
2016-05-30,0.3910468319559229
2016-05-31,0.5027744982290437
2016-06-01,0.670365997638725
2016-06-02,0.949685163321527
2016-06-03,0.3910468319559229
2016-06-04,0.4469106650924833
2016-06-05,0.5586383313656041
2016-06-06,0.5586383313656041
2016-06-07,0.670365997638725
2016-06-08,0.949685163321527
2016-06-09,0.8379574970484062
2016-06-10,0.5027744982290437
2016-06-11,0.6145021645021645
2016-06-12,0.5027744982290437
2016-06-13,0.4469106650924833
2016-06-14,0.8379574970484062
2016-06-15,0.7262298307752854
2016-06-16,0.949685163321527
2016-06-17,0.2793191656828021
2016-06-18,1.1731404958677687
2016-06-19,0.5027744982290437
2016-06-20,0.5586383313656041
2016-06-21,1.5641873278236915
2016-06-22,0.8938213301849666
2016-06-23,0.8379574970484062
2016-06-24,1.0055489964580875
2016-06-25,0.670365997638725
2016-06-26,0.2793191656828021
2016-06-27,0.4469106650924833
2016-06-28,0.16759149940968124
2016-06-29,0.5586383313656041
2016-06-30,0.670365997638725
2016-07-01,0.3910468319559229
2016-07-02,0.22345533254624164
2016-07-03,0.22345533254624164
2016-07-04,0.22345533254624164
2016-07-05,0.5586383313656041
2016-07-06,0.670365997638725
2016-07-07,0.4469106650924833
2016-07-08,0.5027744982290437
2016-07-09,0.22345533254624164
2016-07-10,0.3351829988193625
2016-07-11,0.6145021645021645
2016-07-12,0.2793191656828021
2016-07-13,0.8379574970484062
2016-07-14,0.3910468319559229
2016-07-15,0.949685163321527
2016-07-16,0.8938213301849666
2016-07-17,0.8379574970484062
2016-07-18,0.670365997638725
2016-07-19,3.2401023219205043
2016-07-20,1.6759149940968123
2016-07-21,1.6759149940968123
2016-07-22,3.5194214876033056
2016-07-23,1.6759149940968123
2016-07-24,1.229004329004329
2016-07-25,1.1731404958677687
2016-07-26,1.1172766627312083
2016-07-27,0.949685163321527
2016-07-28,1.4524596615505707
2016-07-29,1.8435064935064938
2016-07-30,1.229004329004329
2016-07-31,0.949685163321527
2016-08-01,1.4524596615505707
2016-08-02,1.1731404958677687
2016-08-03,2.569736324281779
2016-08-04,3.1842384887839437
2016-08-05,2.849055489964581
2016-08-06,1.2848681621408895
2016-08-07,1.899370326643054
2016-08-08,1.0614128295946479
2016-08-09,1.4524596615505707
2016-08-10,2.458008658008658
2016-08-11,2.6814639905549
2016-08-12,1.8435064935064938
2016-08-13,1.7876426603699331
2016-08-14,1.1172766627312083
2016-08-15,2.178689492325856
2016-08-16,1.4524596615505707
2016-08-17,1.7317788272333725
2016-08-18,1.229004329004329
2016-08-19,1.6200511609602521
2016-08-20,2.0669618260527356
2016-08-21,1.7317788272333725
2016-08-22,1.0614128295946479
2016-08-23,1.1731404958677687
2016-08-24,0.670365997638725
2016-08-25,0.670365997638725
2016-08-26,0.7820936639118458
2016-08-27,1.0614128295946479
2016-08-28,1.6200511609602521
2016-08-29,3.1842384887839437
2016-08-30,3.4076938213301853
2016-08-31,1.899370326643054
2016-09-01,2.178689492325856
2016-09-02,1.4524596615505707
2016-09-03,1.0055489964580875
2016-09-04,0.670365997638725
2016-09-05,0.7820936639118458
2016-09-06,0.670365997638725
2016-09-07,0.7262298307752854
2016-09-08,0.7820936639118458
2016-09-09,0.5586383313656041
2016-09-10,1.9552341597796143
2016-09-11,0.7820936639118458
2016-09-12,0.6145021645021645
2016-09-13,0.7820936639118458
2016-09-14,1.0055489964580875
2016-09-15,1.229004329004329
2016-09-16,1.5083234946871311
2016-09-17,1.1172766627312083
2016-09-18,0.8379574970484062
2016-09-19,0.670365997638725
2016-09-20,0.4469106650924833
2016-09-21,0.7820936639118458
2016-09-22,0.949685163321527
2016-09-23,0.6145021645021645
2016-09-24,0.3351829988193625
2016-09-25,1.1731404958677687
2016-09-26,1.0055489964580875
2016-09-27,5.586383313656041
2016-09-28,2.178689492325856
2016-09-29,2.1228256591892958
2016-09-30,1.4524596615505707
2016-10-01,1.4582300275482094
2016-10-02,1.1381837859110586
2016-10-03,1.3872294372294371
2016-10-04,1.2778433687524597
2016-10-05,1.0823199527744982
2016-10-06,1.3313656040928767
2016-10-07,1.09745670995671
2016-10-08,3.2493014561196376
2016-10-09,3.1910960251869347
2016-10-10,5.111373475009839
2016-10-11,3.208574380165289
2016-10-12,2.3042994883903978
2016-10-13,2.332231404958678
2016-10-14,2.0831857536402993
2016-10-15,1.775934671389217
2016-10-16,1.8469352617079888
2016-10-17,1.1812524596615506
2016-10-18,2.4160271546635186
2016-10-19,1.3185704447068083
2016-10-20,5.233554702872884
2016-10-21,2.1646399055489964
2016-10-22,1.5117522628886264
2016-10-23,1.1533205430932705
2016-10-24,1.262706611570248
