date,obama cake
2016-05-01,8.695652173913043
2016-05-02,3.217391304347826
2016-05-03,2.0869565217391304
2016-05-04,2.0869565217391304
2016-05-05,1.1304347826086956
2016-05-06,2.260869565217391
2016-05-07,2.5217391304347827
2016-05-08,0.0
2016-05-09,2.0869565217391304
2016-05-10,1.0434782608695652
2016-05-11,2.0869565217391304
2016-05-12,0.0
2016-05-13,1.1304347826086956
2016-05-14,3.7391304347826084
2016-05-15,0.0
2016-05-16,1.0434782608695652
2016-05-17,0.0
2016-05-18,2.0869565217391304
2016-05-19,1.0434782608695652
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,1.2173913043478262
2016-05-23,0.0
2016-05-24,2.0869565217391304
2016-05-25,1.0434782608695652
2016-05-26,1.1304347826086956
2016-05-27,0.0
2016-05-28,2.5217391304347827
2016-05-29,6.260869565217391
2016-05-30,0.0
2016-05-31,2.0869565217391304
2016-06-01,1.0434782608695652
2016-06-02,1.0434782608695652
2016-06-03,0.0
2016-06-04,2.5217391304347827
2016-06-05,2.5217391304347827
2016-06-06,1.0434782608695652
2016-06-07,1.0434782608695652
2016-06-08,0.0
2016-06-09,4.3478260869565215
2016-06-10,5.565217391304348
2016-06-11,4.956521739130435
2016-06-12,2.4347826086956523
2016-06-13,2.0869565217391304
2016-06-14,1.0434782608695652
2016-06-15,2.0869565217391304
2016-06-16,0.0
2016-06-17,1.1304347826086956
2016-06-18,2.5217391304347827
2016-06-19,1.2173913043478262
2016-06-20,1.0434782608695652
2016-06-21,3.1304347826086953
2016-06-22,0.0
2016-06-23,4.260869565217392
2016-06-24,1.1304347826086956
2016-06-25,1.3043478260869565
2016-06-26,2.5217391304347827
2016-06-27,2.0869565217391304
2016-06-28,1.0434782608695652
2016-06-29,2.1739130434782608
2016-06-30,4.3478260869565215
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,2.608695652173913
2016-07-04,1.1304347826086956
2016-07-05,1.1304347826086956
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,2.260869565217391
2016-07-09,0.0
2016-07-10,5.130434782608695
2016-07-11,1.0434782608695652
2016-07-12,2.0869565217391304
2016-07-13,1.1304347826086956
2016-07-14,0.0
2016-07-15,1.1304347826086956
2016-07-16,1.3043478260869565
2016-07-17,0.0
2016-07-18,2.1739130434782608
2016-07-19,2.1739130434782608
2016-07-20,1.1304347826086956
2016-07-21,3.3043478260869565
2016-07-22,4.521739130434782
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,1.0434782608695652
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,4.3478260869565215
2016-07-29,2.260869565217391
2016-07-30,2.608695652173913
2016-07-31,0.0
2016-08-01,2.1739130434782608
2016-08-02,3.217391304347826
2016-08-03,0.0
2016-08-04,6.608695652173913
2016-08-05,2.260869565217391
2016-08-06,1.3043478260869565
2016-08-07,0.0
2016-08-08,1.0434782608695652
2016-08-09,1.0434782608695652
2016-08-10,1.1304347826086956
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,1.3043478260869565
2016-08-14,5.130434782608695
2016-08-15,0.0
2016-08-16,1.0434782608695652
2016-08-17,2.1739130434782608
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,1.1304347826086956
2016-08-27,0.0
2016-08-28,1.2173913043478262
2016-08-29,3.1304347826086953
2016-08-30,1.0434782608695652
2016-08-31,0.0
2016-09-01,2.0869565217391304
2016-09-02,1.1304347826086956
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,1.1304347826086956
2016-09-06,1.0434782608695652
2016-09-07,1.0434782608695652
2016-09-08,1.0434782608695652
2016-09-09,0.0
2016-09-10,1.2173913043478262
2016-09-11,1.2173913043478262
2016-09-12,1.0434782608695652
2016-09-13,0.0
2016-09-14,2.0869565217391304
2016-09-15,1.0434782608695652
2016-09-16,0.0
2016-09-17,4.869565217391305
2016-09-18,0.0
2016-09-19,3.043478260869565
2016-09-20,1.0434782608695652
2016-09-21,3.1304347826086953
2016-09-22,3.1304347826086953
2016-09-23,2.1739130434782608
2016-09-24,2.4347826086956523
2016-09-25,0.0
2016-09-26,2.0869565217391304
2016-09-27,1.0434782608695652
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,1.0434782608695652
2016-10-01,0.0
2016-10-02,3.2391304347826084
2016-10-03,2.0217391304347827
2016-10-04,2.0
2016-10-05,1.5
2016-10-06,0.0
2016-10-07,1.0
2016-10-08,1.108695652173913
2016-10-09,2.1739130434782608
2016-10-10,1.5217391304347827
2016-10-11,0.5
2016-10-12,1.0217391304347827
2016-10-13,2.5217391304347827
2016-10-14,3.5869565217391304
2016-10-15,2.782608695652174
2016-10-16,3.2391304347826084
2016-10-17,0.9782608695652174
2016-10-18,1.0
2016-10-19,1.9782608695652173
2016-10-20,0.5
2016-10-21,2.0434782608695654
2016-10-22,1.6739130434782608
2016-10-23,3.3478260869565215
2016-10-24,3.0
2016-10-25,2.0
2016-10-26,1.4782608695652173
2016-10-27,1.0217391304347827
2016-10-28,2.0434782608695654
2016-10-29,1.1739130434782608
2016-10-30,0.5
2016-10-31,1.5
2016-11-01,1.5434782608695652
2016-11-02,2.0
2016-11-03,1.0
2016-11-04,3.0
2016-11-05,3.0
2016-11-06,2.0
2016-11-07,1.0
2016-11-08,1.0
2016-11-09,7.0
2016-11-10,6.0
2016-11-11,6.0
2016-11-12,4.0
2016-11-13,5.0
2016-11-14,3.0
2016-11-15,3.0
