date,putin bus
2016-12-24,0.0
2016-12-25,24.742459396751737
2016-12-26,0.0
2016-12-27,20.13921113689095
2016-12-28,20.13921113689095
2016-12-29,20.13921113689095
2016-12-30,31.64733178654292
2016-12-31,23.016241299303942
2017-01-01,23.591647331786543
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,21.290023201856147
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,36.25058004640371
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,18.412993039443155
2017-01-17,17.837587006960558
2017-01-18,0.0
2017-01-19,18.412993039443155
2017-01-20,0.0
2017-01-21,20.71461716937355
2017-01-22,20.71461716937355
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,18.412993039443155
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,21.290023201856147
2017-01-30,0.0
2017-01-31,18.412993039443155
2017-02-01,0.0
2017-02-02,36.25058004640371
2017-02-03,18.412993039443155
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,17.837587006960558
2017-02-08,0.0
2017-02-09,17.837587006960558
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,17.837587006960558
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,18.412993039443155
2017-02-21,17.837587006960558
2017-02-22,36.25058004640371
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,15.55339942346903
2017-03-04,0.0
2017-03-05,7.323349504323983
2017-03-06,0.0
2017-03-07,8.918793503480279
2017-03-08,0.0
2017-03-09,18.683259509245588
2017-03-10,0.0
2017-03-11,7.323349504323983
2017-03-12,10.740912606341842
2017-03-13,8.918793503480279
2017-03-14,8.918793503480279
2017-03-15,15.26569640722773
2017-03-16,8.918793503480279
2017-03-17,13.182029107783169
2017-03-18,27.75026365745623
2017-03-19,7.323349504323983
2017-03-20,6.346902903747452
2017-03-21,0.0
2017-03-22,8.631090487238978
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,6.346902903747452
2017-03-29,0.0
2017-03-30,53.98354777473107
2017-03-31,16.329325739998595
2017-04-01,7.323349504323983
2017-04-02,0.0
2017-04-03,12.693805807494904
2017-04-04,12.693805807494904
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,53.70456303170921
2017-04-08,15.623145609224498
2017-04-09,15.623145609224498
2017-04-10,26.364058215566338
2017-04-11,52.728116431132676
2017-04-12,40.03431062363777
2017-04-13,13.670252408071436
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,15.623145609224498
2017-04-17,0.0
2017-04-18,25.387611614989808
2017-04-19,0.0
2017-04-20,97.64466005765311
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,12.693805807494904
2017-04-26,12.693805807494904
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,12.693805807494904
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,12.693805807494904
2017-05-09,0.0
2017-05-10,12.693805807494904
2017-05-11,12.693805807494904
2017-05-12,13.670252408071436
2017-05-13,0.0
2017-05-14,0.0
2017-05-15,12.693805807494904
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,12.693805807494904
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,12.693805807494904
2017-05-23,0.0
2017-05-24,25.387611614989808
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,0.0
2017-05-28,15.623145609224498
2017-05-29,27.34050481614287
2017-05-30,0.0
2017-05-31,26.364058215566338
2017-06-01,0.0
2017-06-02,34.175631020178585
2017-06-03,0.0
