date,redpill
2016-05-01,50.0
2016-05-02,59.0
2016-05-03,50.0
2016-05-04,50.0
2016-05-05,56.0
2016-05-06,45.0
2016-05-07,56.0
2016-05-08,51.0
2016-05-09,35.0
2016-05-10,31.0
2016-05-11,50.0
2016-05-12,43.0
2016-05-13,40.0
2016-05-14,86.0
2016-05-15,68.0
2016-05-16,62.0
2016-05-17,38.0
2016-05-18,57.0
2016-05-19,58.0
2016-05-20,20.0
2016-05-21,28.0
2016-05-22,41.0
2016-05-23,42.0
2016-05-24,19.0
2016-05-25,62.0
2016-05-26,44.0
2016-05-27,33.0
2016-05-28,60.0
2016-05-29,60.0
2016-05-30,20.0
2016-05-31,43.0
2016-06-01,77.0
2016-06-02,71.0
2016-06-03,57.0
2016-06-04,79.0
2016-06-05,59.0
2016-06-06,47.0
2016-06-07,35.0
2016-06-08,47.0
2016-06-09,48.0
2016-06-10,12.0
2016-06-11,73.0
2016-06-12,49.0
2016-06-13,31.0
2016-06-14,54.0
2016-06-15,50.0
2016-06-16,79.0
2016-06-17,28.0
2016-06-18,70.0
2016-06-19,59.0
2016-06-20,38.0
2016-06-21,62.0
2016-06-22,51.0
2016-06-23,75.0
2016-06-24,33.0
2016-06-25,42.0
2016-06-26,55.0
2016-06-27,54.0
2016-06-28,47.0
2016-06-29,51.0
2016-06-30,48.0
2016-07-01,49.0
2016-07-02,33.0
2016-07-03,62.0
2016-07-04,42.0
2016-07-05,49.0
2016-07-06,53.0
2016-07-07,82.0
2016-07-08,50.0
2016-07-09,66.0
2016-07-10,51.0
2016-07-11,52.0
2016-07-12,50.0
2016-07-13,48.0
2016-07-14,56.0
2016-07-15,49.0
2016-07-16,70.0
2016-07-17,62.0
2016-07-18,40.0
2016-07-19,44.0
2016-07-20,44.0
2016-07-21,64.0
2016-07-22,33.0
2016-07-23,70.0
2016-07-24,60.0
2016-07-25,51.0
2016-07-26,67.0
2016-07-27,44.0
2016-07-28,56.0
2016-07-29,42.0
2016-07-30,52.0
2016-07-31,37.0
2016-08-01,43.0
2016-08-02,91.0
2016-08-03,60.0
2016-08-04,80.0
2016-08-05,50.0
2016-08-06,62.0
2016-08-07,43.0
2016-08-08,32.0
2016-08-09,67.0
2016-08-10,88.0
2016-08-11,49.0
2016-08-12,53.0
2016-08-13,19.0
2016-08-14,61.0
2016-08-15,58.0
2016-08-16,40.0
2016-08-17,59.0
2016-08-18,48.0
2016-08-19,62.0
2016-08-20,55.0
2016-08-21,100.0
2016-08-22,66.0
2016-08-23,35.0
2016-08-24,55.0
2016-08-25,20.0
2016-08-26,33.0
2016-08-27,28.0
2016-08-28,50.0
2016-08-29,68.0
2016-08-30,46.0
2016-08-31,61.0
2016-09-01,59.0
2016-09-02,36.0
2016-09-03,50.0
2016-09-04,27.0
2016-09-05,56.0
2016-09-06,19.0
2016-09-07,35.0
2016-09-08,39.0
2016-09-09,44.0
2016-09-10,45.0
2016-09-11,31.0
2016-09-12,58.0
2016-09-13,61.0
2016-09-14,46.0
2016-09-15,47.0
2016-09-16,51.0
2016-09-17,36.0
2016-09-18,47.0
2016-09-19,41.0
2016-09-20,30.0
2016-09-21,80.0
2016-09-22,57.0
2016-09-23,56.0
2016-09-24,53.0
2016-09-25,70.0
