date,hillary car
2016-05-01,2.63855421686747
2016-05-02,7.036144578313253
2016-05-03,7.9156626506024095
2016-05-04,13.192771084337348
2016-05-05,8.795180722891565
2016-05-06,7.036144578313253
2016-05-07,9.674698795180722
2016-05-08,6.156626506024096
2016-05-09,4.397590361445783
2016-05-10,4.397590361445783
2016-05-11,12.313253012048191
2016-05-12,7.9156626506024095
2016-05-13,9.674698795180722
2016-05-14,3.5180722891566263
2016-05-15,5.27710843373494
2016-05-16,7.036144578313253
2016-05-17,7.036144578313253
2016-05-18,5.27710843373494
2016-05-19,7.036144578313253
2016-05-20,8.795180722891565
2016-05-21,3.5180722891566263
2016-05-22,7.036144578313253
2016-05-23,5.27710843373494
2016-05-24,5.27710843373494
2016-05-25,5.27710843373494
2016-05-26,7.9156626506024095
2016-05-27,3.5180722891566263
2016-05-28,4.397590361445783
2016-05-29,7.036144578313253
2016-05-30,7.9156626506024095
2016-05-31,4.397590361445783
2016-06-01,7.036144578313253
2016-06-02,7.9156626506024095
2016-06-03,7.9156626506024095
2016-06-04,7.036144578313253
2016-06-05,8.795180722891565
2016-06-06,3.5180722891566263
2016-06-07,11.433734939759036
2016-06-08,22.867469879518072
2016-06-09,16.710843373493976
2016-06-10,13.192771084337348
2016-06-11,14.951807228915662
2016-06-12,9.674698795180722
2016-06-13,7.036144578313253
2016-06-14,6.156626506024096
2016-06-15,3.5180722891566263
2016-06-16,6.156626506024096
2016-06-17,3.5180722891566263
2016-06-18,8.795180722891565
2016-06-19,2.63855421686747
2016-06-20,9.674698795180722
2016-06-21,14.951807228915662
2016-06-22,9.674698795180722
2016-06-23,5.27710843373494
2016-06-24,6.156626506024096
2016-06-25,4.397590361445783
2016-06-26,2.63855421686747
2016-06-27,3.5180722891566263
2016-06-28,7.036144578313253
2016-06-29,4.397590361445783
2016-06-30,5.27710843373494
2016-07-01,6.156626506024096
2016-07-02,5.27710843373494
2016-07-03,4.397590361445783
2016-07-04,7.036144578313253
2016-07-05,15.831325301204819
2016-07-06,16.710843373493976
2016-07-07,14.072289156626505
2016-07-08,14.072289156626505
2016-07-09,8.795180722891565
2016-07-10,7.036144578313253
2016-07-11,6.156626506024096
2016-07-12,5.27710843373494
2016-07-13,8.795180722891565
2016-07-14,7.9156626506024095
2016-07-15,8.795180722891565
2016-07-16,8.795180722891565
2016-07-17,8.795180722891565
2016-07-18,5.27710843373494
2016-07-19,11.433734939759036
2016-07-20,10.55421686746988
2016-07-21,8.795180722891565
2016-07-22,21.10843373493976
2016-07-23,21.10843373493976
2016-07-24,15.831325301204819
2016-07-25,16.710843373493976
2016-07-26,15.831325301204819
2016-07-27,29.024096385542165
2016-07-28,23.746987951807228
2016-07-29,46.614457831325296
2016-07-30,21.10843373493976
2016-07-31,13.192771084337348
2016-08-01,12.313253012048191
2016-08-02,12.313253012048191
2016-08-03,7.036144578313253
2016-08-04,13.192771084337348
2016-08-05,8.795180722891565
2016-08-06,8.795180722891565
2016-08-07,12.313253012048191
2016-08-08,6.156626506024096
2016-08-09,5.27710843373494
2016-08-10,11.433734939759036
2016-08-11,4.397590361445783
2016-08-12,8.795180722891565
2016-08-13,12.313253012048191
2016-08-14,7.036144578313253
2016-08-15,7.9156626506024095
2016-08-16,9.674698795180722
2016-08-17,7.9156626506024095
2016-08-18,7.9156626506024095
2016-08-19,7.9156626506024095
2016-08-20,7.036144578313253
2016-08-21,9.674698795180722
2016-08-22,7.9156626506024095
2016-08-23,12.313253012048191
2016-08-24,5.27710843373494
2016-08-25,10.55421686746988
2016-08-26,7.9156626506024095
2016-08-27,7.9156626506024095
2016-08-28,7.9156626506024095
2016-08-29,9.674698795180722
2016-08-30,7.9156626506024095
2016-08-31,11.433734939759036
2016-09-01,9.674698795180722
2016-09-02,7.036144578313253
2016-09-03,9.674698795180722
2016-09-04,5.27710843373494
2016-09-05,9.674698795180722
2016-09-06,10.55421686746988
2016-09-07,7.036144578313253
2016-09-08,12.313253012048191
2016-09-09,9.674698795180722
2016-09-10,10.55421686746988
2016-09-11,50.132530120481924
2016-09-12,87.95180722891565
2016-09-13,65.08433734939759
2016-09-14,29.024096385542165
2016-09-15,19.349397590361445
2016-09-16,17.59036144578313
2016-09-17,17.59036144578313
2016-09-18,17.59036144578313
2016-09-19,14.072289156626505
2016-09-20,9.674698795180722
2016-09-21,20.2289156626506
2016-09-22,26.385542168674696
2016-09-23,15.831325301204819
2016-09-24,12.313253012048191
2016-09-25,11.433734939759036
2016-09-26,21.10843373493976
2016-09-27,41.33734939759036
2016-09-28,21.987951807228914
2016-09-29,13.192771084337348
2016-09-30,21.987951807228914
2016-10-01,11.656626506024097
2016-10-02,10.018072289156626
2016-10-03,13.536144578313252
2016-10-04,12.975903614457831
2016-10-05,13.596385542168674
2016-10-06,11.77710843373494
2016-10-07,8.397590361445783
2016-10-08,14.656626506024097
2016-10-09,16.295180722891565
2016-10-10,29.451807228915662
2016-10-11,19.493975903614455
2016-10-12,16.91566265060241
2016-10-13,20.05421686746988
2016-10-14,14.096385542168674
2016-10-15,19.234939759036145
2016-10-16,18.295180722891565
2016-10-17,17.234939759036145
2016-10-18,12.096385542168674
2016-10-19,17.855421686746986
2016-10-20,29.132530120481928
2016-10-21,19.6144578313253
2016-10-22,17.6144578313253
2016-10-23,14.91566265060241
2016-10-24,16.355421686746986
2016-10-25,14.975903614457831
2016-10-26,18.355421686746986
2016-10-27,17.47590361445783
2016-10-28,24.69277108433735
2016-10-29,38.84939759036145
2016-10-30,23.813253012048193
2016-10-31,26.19277108433735
