date,trump imbecile
2017-02-02,0.0
2017-02-03,21.0
2017-02-04,24.0
2017-02-05,23.0
2017-02-06,0.0
2017-02-07,21.0
2017-02-08,21.0
2017-02-09,21.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,41.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,54.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,21.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,24.0
2017-02-26,24.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,29.08880778588808
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,10.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,20.912408759124087
2017-03-13,10.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,10.5
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,10.0
2017-03-23,18.58880778588808
2017-03-24,11.0
2017-03-25,12.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,18.356447688564476
2017-03-29,10.5
2017-03-30,19.05352798053528
2017-03-31,11.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,38.10705596107056
2017-04-11,38.571776155717764
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,38.10705596107056
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,43.21897810218978
2017-04-24,0.0
2017-04-25,37.17761557177616
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,39.03649635036496
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,37.64233576642336
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,39.03649635036496
2017-05-13,0.0
2017-05-14,44.148418491484186
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,39.50121654501216
2017-05-26,40.89537712895377
2017-05-27,0.0
2017-05-28,46.47201946472019
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-03,0.0
