date,trump narcissist
2016-05-01,7.4423791821561345
2016-05-02,2.12639405204461
2016-05-03,7.4423791821561345
2016-05-04,6.3791821561338296
2016-05-05,4.607187112763321
2016-05-06,4.607187112763321
2016-05-07,7.796778190830236
2016-05-08,3.898389095415118
2016-05-09,2.12639405204461
2016-05-10,4.25278810408922
2016-05-11,2.12639405204461
2016-05-12,10.98636926889715
2016-05-13,3.1895910780669148
2016-05-14,2.480793060718711
2016-05-15,3.898389095415118
2016-05-16,6.3791821561338296
2016-05-17,2.12639405204461
2016-05-18,4.25278810408922
2016-05-19,4.25278810408922
2016-05-20,6.733581164807931
2016-05-21,4.961586121437422
2016-05-22,3.898389095415118
2016-05-23,3.1895910780669148
2016-05-24,8.50557620817844
2016-05-25,2.12639405204461
2016-05-26,4.607187112763321
2016-05-27,2.12639405204461
2016-05-28,0.0
2016-05-29,3.898389095415118
2016-05-30,4.25278810408922
2016-05-31,4.25278810408922
2016-06-01,5.315985130111525
2016-06-02,8.85997521685254
2016-06-03,5.670384138785626
2016-06-04,7.796778190830236
2016-06-05,4.961586121437422
2016-06-06,4.25278810408922
2016-06-07,4.25278810408922
2016-06-08,2.12639405204461
2016-06-09,3.1895910780669148
2016-06-10,5.670384138785626
2016-06-11,0.0
2016-06-12,2.480793060718711
2016-06-13,6.3791821561338296
2016-06-14,5.315985130111525
2016-06-15,2.12639405204461
2016-06-16,6.733581164807931
2016-06-17,0.0
2016-06-18,2.480793060718711
2016-06-19,4.961586121437422
2016-06-20,3.1895910780669148
2016-06-21,2.12639405204461
2016-06-22,3.1895910780669148
2016-06-23,4.25278810408922
2016-06-24,2.12639405204461
2016-06-25,2.480793060718711
2016-06-26,2.480793060718711
2016-06-27,2.12639405204461
2016-06-28,0.0
2016-06-29,2.12639405204461
2016-06-30,2.12639405204461
2016-07-01,0.0
2016-07-02,7.796778190830236
2016-07-03,2.480793060718711
2016-07-04,3.543990086741016
2016-07-05,2.12639405204461
2016-07-06,4.607187112763321
2016-07-07,3.543990086741016
2016-07-08,3.543990086741016
2016-07-09,0.0
2016-07-10,2.480793060718711
2016-07-11,5.315985130111525
2016-07-12,2.12639405204461
2016-07-13,6.733581164807931
2016-07-14,2.12639405204461
2016-07-15,2.12639405204461
2016-07-16,6.3791821561338296
2016-07-17,0.0
2016-07-18,3.1895910780669148
2016-07-19,7.796778190830236
2016-07-20,10.98636926889715
2016-07-21,7.796778190830236
2016-07-22,13.467162329615862
2016-07-23,6.3791821561338296
2016-07-24,7.796778190830236
2016-07-25,5.315985130111525
2016-07-26,5.315985130111525
2016-07-27,8.85997521685254
2016-07-28,8.85997521685254
2016-07-29,6.733581164807931
2016-07-30,7.796778190830236
2016-07-31,7.796778190830236
2016-08-01,13.11276332094176
2016-08-02,26.579925650557623
2016-08-03,35.43990086741016
2016-08-04,25.516728624535318
2016-08-05,15.947955390334574
2016-08-06,7.796778190830236
2016-08-07,6.3791821561338296
2016-08-08,6.733581164807931
2016-08-09,6.3791821561338296
2016-08-10,6.733581164807931
2016-08-11,8.85997521685254
2016-08-12,2.12639405204461
2016-08-13,7.796778190830236
2016-08-14,5.315985130111525
2016-08-15,6.733581164807931
2016-08-16,3.1895910780669148
2016-08-17,3.1895910780669148
2016-08-18,4.25278810408922
2016-08-19,2.12639405204461
2016-08-20,6.3791821561338296
2016-08-21,4.961586121437422
2016-08-22,2.12639405204461
2016-08-23,4.25278810408922
2016-08-24,2.12639405204461
2016-08-25,2.12639405204461
2016-08-26,4.607187112763321
2016-08-27,7.4423791821561345
2016-08-28,7.4423791821561345
2016-08-29,4.25278810408922
2016-08-30,4.25278810408922
2016-08-31,2.12639405204461
2016-09-01,4.25278810408922
2016-09-02,2.12639405204461
2016-09-03,2.480793060718711
2016-09-04,2.480793060718711
2016-09-05,2.12639405204461
2016-09-06,2.12639405204461
2016-09-07,3.1895910780669148
2016-09-08,2.12639405204461
2016-09-09,3.1895910780669148
2016-09-10,2.480793060718711
2016-09-11,7.4423791821561345
2016-09-12,6.3791821561338296
2016-09-13,4.25278810408922
2016-09-14,4.25278810408922
2016-09-15,3.1895910780669148
2016-09-16,2.12639405204461
2016-09-17,6.024783147459727
2016-09-18,2.480793060718711
2016-09-19,6.024783147459727
2016-09-20,8.151177199504337
2016-09-21,2.12639405204461
2016-09-22,3.1895910780669148
2016-09-23,4.25278810408922
2016-09-24,4.961586121437422
2016-09-25,2.480793060718711
2016-09-26,2.12639405204461
2016-09-27,21.6183395291202
2016-09-28,11.340768277571252
2016-09-29,4.25278810408922
2016-09-30,4.25278810408922
2016-10-01,12.315985130111525
2016-10-02,5.3351920693928125
2016-10-03,6.543990086741016
2016-10-04,3.5947955390334574
2016-10-05,3.0947955390334574
2016-10-06,6.689591078066915
2016-10-07,3.5947955390334574
2016-10-08,12.524783147459727
2016-10-09,18.296778190830235
2016-10-10,19.891573729863694
2016-10-11,15.619578686493185
2016-10-12,9.73358116480793
2016-10-13,11.73358116480793
2016-10-14,12.347583643122677
2016-10-15,12.087980173482032
2016-10-16,12.847583643122677
2016-10-17,12.087980173482032
2016-10-18,6.480793060718711
2016-10-19,6.043990086741016
2016-10-20,17.119578686493185
2016-10-21,12.20198265179678
2016-10-22,6.043990086741016
2016-10-23,10.07558859975217
2016-10-24,2.063197026022305
2016-10-25,6.512391573729864
2016-10-26,3.9491945477075587
2016-10-27,4.12639405204461
2016-10-28,5.157992565055762
2016-10-29,4.512391573729864
2016-10-30,13.087980173482032
2016-10-31,3.0947955390334574
2016-11-01,7.189591078066915
2016-11-02,2.0
