date,alfa bank
2016-05-01,8.619436158490748
2016-05-02,19.824703164528717
2016-05-03,25.858308475472242
2016-05-04,21.54859039622687
2016-05-05,23.27247762792502
2016-05-06,26.720252091321317
2016-05-07,20.686646780377792
2016-05-08,13.791097853585196
2016-05-09,15.514985085283346
2016-05-10,24.134421243774096
2016-05-11,27.582195707170392
2016-05-12,26.720252091321317
2016-05-13,22.410534012075946
2016-05-14,22.410534012075946
2016-05-15,12.067210621887048
2016-05-16,21.54859039622687
2016-05-17,20.686646780377792
2016-05-18,31.89191378641577
2016-05-19,31.89191378641577
2016-05-20,25.858308475472242
2016-05-21,24.996364859623167
2016-05-22,18.10081593283057
2016-05-23,35.33968824981206
2016-05-24,25.858308475472242
2016-05-25,29.306082938868542
2016-05-26,33.61580101811391
2016-05-27,37.06357548151021
2016-05-28,15.514985085283346
2016-05-29,14.653041469434271
2016-05-30,23.27247762792502
2016-05-31,34.47774463396299
2016-06-01,31.89191378641577
2016-06-02,24.134421243774096
2016-06-03,17.238872316981496
2016-06-04,20.686646780377792
2016-06-05,18.962759548679646
2016-06-06,21.54859039622687
2016-06-07,30.168026554717617
2016-06-08,22.410534012075946
2016-06-09,21.54859039622687
2016-06-10,32.75385740226484
2016-06-11,18.962759548679646
2016-06-12,15.514985085283346
2016-06-13,22.410534012075946
2016-06-14,29.306082938868542
2016-06-15,27.582195707170392
2016-06-16,22.410534012075946
2016-06-17,21.54859039622687
2016-06-18,14.653041469434271
2016-06-19,12.929154237736121
2016-06-20,24.996364859623167
2016-06-21,26.720252091321317
2016-06-22,29.306082938868542
2016-06-23,29.306082938868542
2016-06-24,25.858308475472242
2016-06-25,17.238872316981496
2016-06-26,16.37692870113242
2016-06-27,21.54859039622687
2016-06-28,21.54859039622687
2016-06-29,24.134421243774096
2016-06-30,21.54859039622687
2016-07-01,20.686646780377792
2016-07-02,21.54859039622687
2016-07-03,11.205267006037973
2016-07-04,34.47774463396299
2016-07-05,32.75385740226484
2016-07-06,29.306082938868542
2016-07-07,33.61580101811391
2016-07-08,36.20163186566114
2016-07-09,12.067210621887048
2016-07-10,15.514985085283346
2016-07-11,24.996364859623167
2016-07-12,24.134421243774096
2016-07-13,25.858308475472242
2016-07-14,37.06357548151021
2016-07-15,23.27247762792502
2016-07-16,18.10081593283057
2016-07-17,15.514985085283346
2016-07-18,24.996364859623167
2016-07-19,30.168026554717617
2016-07-20,30.168026554717617
2016-07-21,24.996364859623167
2016-07-22,31.029970170566692
2016-07-23,25.858308475472242
2016-07-24,16.37692870113242
2016-07-25,34.47774463396299
2016-07-26,31.029970170566692
2016-07-27,28.444139323019467
2016-07-28,28.444139323019467
2016-07-29,32.75385740226484
2016-07-30,25.858308475472242
2016-07-31,16.37692870113242
2016-08-01,26.720252091321317
2016-08-02,20.686646780377792
2016-08-03,22.410534012075946
2016-08-04,20.686646780377792
2016-08-05,40.51134994490651
2016-08-06,16.37692870113242
2016-08-07,17.238872316981496
2016-08-08,36.20163186566114
2016-08-09,34.47774463396299
2016-08-10,24.996364859623167
2016-08-11,30.168026554717617
2016-08-12,23.27247762792502
2016-08-13,22.410534012075946
2016-08-14,17.238872316981496
2016-08-15,24.134421243774096
2016-08-16,30.168026554717617
2016-08-17,24.134421243774096
2016-08-18,31.029970170566692
2016-08-19,22.410534012075946
2016-08-20,16.37692870113242
2016-08-21,12.929154237736121
2016-08-22,18.962759548679646
2016-08-23,19.824703164528717
2016-08-24,20.686646780377792
2016-08-25,34.47774463396299
2016-08-26,24.134421243774096
2016-08-27,15.514985085283346
2016-08-28,18.962759548679646
2016-08-29,24.996364859623167
2016-08-30,24.134421243774096
2016-08-31,28.444139323019467
2016-09-01,27.582195707170392
2016-09-02,27.582195707170392
2016-09-03,23.27247762792502
2016-09-04,16.37692870113242
