date,trump mafia
2016-05-01,15.003663003663004
2016-05-02,6.564102564102564
2016-05-03,4.688644688644689
2016-05-04,15.941391941391942
2016-05-05,8.43956043956044
2016-05-06,14.065934065934066
2016-05-07,3.750915750915751
2016-05-08,3.750915750915751
2016-05-09,4.688644688644689
2016-05-10,2.813186813186813
2016-05-11,9.377289377289378
2016-05-12,4.688644688644689
2016-05-13,6.564102564102564
2016-05-14,9.377289377289378
2016-05-15,5.626373626373626
2016-05-16,4.688644688644689
2016-05-17,7.501831501831502
2016-05-18,14.065934065934066
2016-05-19,14.065934065934066
2016-05-20,4.688644688644689
2016-05-21,7.501831501831502
2016-05-22,3.750915750915751
2016-05-23,9.377289377289378
2016-05-24,30.007326007326007
2016-05-25,8.43956043956044
2016-05-26,10.315018315018316
2016-05-27,10.315018315018316
2016-05-28,11.252747252747252
2016-05-29,11.252747252747252
2016-05-30,3.750915750915751
2016-05-31,4.688644688644689
2016-06-01,4.688644688644689
2016-06-02,4.688644688644689
2016-06-03,8.43956043956044
2016-06-04,7.501831501831502
2016-06-05,3.750915750915751
2016-06-06,2.813186813186813
2016-06-07,6.564102564102564
2016-06-08,8.43956043956044
2016-06-09,6.564102564102564
2016-06-10,12.19047619047619
2016-06-11,3.750915750915751
2016-06-12,11.252747252747252
2016-06-13,4.688644688644689
2016-06-14,9.377289377289378
2016-06-15,2.813186813186813
2016-06-16,9.377289377289378
2016-06-17,13.128205128205128
2016-06-18,11.252747252747252
2016-06-19,3.750915750915751
2016-06-20,9.377289377289378
2016-06-21,6.564102564102564
2016-06-22,6.564102564102564
2016-06-23,6.564102564102564
2016-06-24,3.750915750915751
2016-06-25,3.750915750915751
2016-06-26,3.750915750915751
2016-06-27,2.813186813186813
2016-06-28,2.813186813186813
2016-06-29,6.564102564102564
2016-06-30,2.813186813186813
2016-07-01,4.688644688644689
2016-07-02,7.501831501831502
2016-07-03,7.501831501831502
2016-07-04,5.626373626373626
2016-07-05,8.43956043956044
2016-07-06,12.19047619047619
2016-07-07,6.564102564102564
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,3.750915750915751
2016-07-11,3.750915750915751
2016-07-12,8.43956043956044
2016-07-13,2.813186813186813
2016-07-14,6.564102564102564
2016-07-15,6.564102564102564
2016-07-16,7.501831501831502
2016-07-17,7.501831501831502
2016-07-18,10.315018315018316
2016-07-19,8.43956043956044
2016-07-20,11.252747252747252
2016-07-21,16.87912087912088
2016-07-22,16.87912087912088
2016-07-23,14.065934065934066
2016-07-24,7.501831501831502
2016-07-25,6.564102564102564
2016-07-26,15.003663003663004
2016-07-27,16.87912087912088
2016-07-28,11.252747252747252
