date,clinton email server
2016-05-01,4.0
2016-05-02,9.0
2016-05-03,10.0
2016-05-04,14.0
2016-05-05,41.0
2016-05-06,24.0
2016-05-07,12.0
2016-05-08,14.0
2016-05-09,10.0
2016-05-10,22.0
2016-05-11,20.0
2016-05-12,12.0
2016-05-13,4.0
2016-05-14,6.0
2016-05-15,4.0
2016-05-16,7.0
2016-05-17,7.0
2016-05-18,3.0
2016-05-19,9.0
2016-05-20,12.0
2016-05-21,0.0
2016-05-22,4.0
2016-05-23,8.0
2016-05-24,3.0
2016-05-25,38.0
2016-05-26,45.0
2016-05-27,40.0
2016-05-28,20.0
2016-05-29,22.0
2016-05-30,16.0
2016-05-31,24.0
2016-06-01,19.0
2016-06-02,19.0
2016-06-03,11.0
2016-06-04,10.0
2016-06-05,8.0
2016-06-06,5.0
2016-06-07,15.0
2016-06-08,19.0
2016-06-09,16.0
2016-06-10,27.0
2016-06-11,24.0
2016-06-12,14.0
2016-06-13,7.0
2016-06-14,10.0
2016-06-15,14.0
2016-06-16,5.0
2016-06-17,5.0
2016-06-18,10.0
2016-06-19,8.0
2016-06-20,10.0
2016-06-21,3.0
2016-06-22,16.0
2016-06-23,24.0
2016-06-24,18.0
2016-06-25,20.0
2016-06-26,16.0
2016-06-27,3.0
2016-06-28,10.0
2016-06-29,3.0
2016-06-30,25.0
2016-07-01,29.0
2016-07-02,39.0
2016-07-03,40.0
2016-07-04,5.0
2016-07-05,100.0
2016-07-06,81.0
2016-07-07,61.0
2016-07-08,46.0
2016-07-09,17.0
2016-07-10,4.0
2016-07-11,9.0
2016-07-12,16.0
2016-07-13,11.0
2016-07-14,11.0
2016-07-15,7.0
2016-07-16,12.0
2016-07-17,8.0
2016-07-18,7.0
2016-07-19,11.0
2016-07-20,11.0
2016-07-21,9.0
2016-07-22,16.0
2016-07-23,17.0
2016-07-24,10.0
2016-07-25,14.0
2016-07-26,14.0
2016-07-27,26.0
2016-07-28,28.0
2016-07-29,35.0
2016-07-30,19.0
2016-07-31,17.0
2016-08-01,9.0
2016-08-02,9.0
2016-08-03,7.0
2016-08-04,5.0
2016-08-05,15.0
2016-08-06,15.0
2016-08-07,4.0
2016-08-08,14.0
2016-08-09,7.0
2016-08-10,5.0
2016-08-11,11.0
2016-08-12,7.0
2016-08-13,4.0
2016-08-14,4.0
2016-08-15,5.0
2016-08-16,11.0
2016-08-17,5.0
2016-08-18,4.0
2016-08-19,13.0
2016-08-20,10.0
