date,alec baldwin
2016-05-01,4.14043583535109
2016-05-02,3.3123486682808716
2016-05-03,3.3123486682808716
2016-05-04,3.3123486682808716
2016-05-05,6.624697336561743
2016-05-06,4.14043583535109
2016-05-07,4.968523002421307
2016-05-08,6.624697336561743
2016-05-09,3.3123486682808716
2016-05-10,3.3123486682808716
2016-05-11,2.4842615012106535
2016-05-12,9.108958837772397
2016-05-13,5.796610169491525
2016-05-14,4.968523002421307
2016-05-15,4.968523002421307
2016-05-16,4.14043583535109
2016-05-17,3.3123486682808716
2016-05-18,3.3123486682808716
2016-05-19,4.14043583535109
2016-05-20,4.14043583535109
2016-05-21,4.14043583535109
2016-05-22,4.14043583535109
2016-05-23,3.3123486682808716
2016-05-24,4.14043583535109
2016-05-25,3.3123486682808716
2016-05-26,3.3123486682808716
2016-05-27,4.14043583535109
2016-05-28,4.14043583535109
2016-05-29,8.28087167070218
2016-05-30,4.14043583535109
2016-05-31,4.14043583535109
2016-06-01,4.14043583535109
2016-06-02,3.3123486682808716
2016-06-03,4.968523002421307
2016-06-04,5.796610169491525
2016-06-05,5.796610169491525
2016-06-06,4.14043583535109
2016-06-07,4.968523002421307
2016-06-08,4.14043583535109
2016-06-09,4.14043583535109
2016-06-10,10.765133171912833
2016-06-11,6.624697336561743
2016-06-12,4.968523002421307
2016-06-13,3.3123486682808716
2016-06-14,4.14043583535109
2016-06-15,4.14043583535109
2016-06-16,4.14043583535109
2016-06-17,4.968523002421307
2016-06-18,4.14043583535109
2016-06-19,4.968523002421307
2016-06-20,4.968523002421307
2016-06-21,4.14043583535109
2016-06-22,4.968523002421307
2016-06-23,3.3123486682808716
2016-06-24,4.14043583535109
2016-06-25,4.968523002421307
2016-06-26,4.968523002421307
2016-06-27,7.452784503631961
2016-06-28,4.968523002421307
2016-06-29,3.3123486682808716
2016-06-30,4.968523002421307
2016-07-01,4.968523002421307
2016-07-02,4.14043583535109
2016-07-03,4.14043583535109
2016-07-04,8.28087167070218
2016-07-05,3.3123486682808716
2016-07-06,4.968523002421307
2016-07-07,3.3123486682808716
2016-07-08,4.968523002421307
2016-07-09,4.968523002421307
2016-07-10,5.796610169491525
2016-07-11,8.28087167070218
2016-07-12,4.14043583535109
2016-07-13,4.14043583535109
2016-07-14,6.624697336561743
2016-07-15,7.452784503631961
2016-07-16,5.796610169491525
2016-07-17,5.796610169491525
2016-07-18,5.796610169491525
2016-07-19,4.968523002421307
2016-07-20,4.14043583535109
2016-07-21,4.968523002421307
