date,kompromat
2016-05-01,0.0
2016-05-02,1.686832740213523
2016-05-03,0.8434163701067615
2016-05-04,1.686832740213523
2016-05-05,0.8434163701067615
2016-05-06,1.9679715302491103
2016-05-07,1.1245551601423487
2016-05-08,0.0
2016-05-09,0.8434163701067615
2016-05-10,0.8434163701067615
2016-05-11,1.686832740213523
2016-05-12,0.8434163701067615
2016-05-13,1.686832740213523
2016-05-14,1.1245551601423487
2016-05-15,1.1245551601423487
2016-05-16,4.217081850533807
2016-05-17,1.686832740213523
2016-05-18,4.217081850533807
2016-05-19,2.5302491103202844
2016-05-20,1.686832740213523
2016-05-21,3.092526690391459
2016-05-22,1.1245551601423487
2016-05-23,4.217081850533807
2016-05-24,4.217081850533807
2016-05-25,2.5302491103202844
2016-05-26,1.686832740213523
2016-05-27,0.8434163701067615
2016-05-28,1.9679715302491103
2016-05-29,0.0
2016-05-30,0.8434163701067615
2016-05-31,0.8434163701067615
2016-06-01,1.686832740213523
2016-06-02,2.5302491103202844
2016-06-03,1.686832740213523
2016-06-04,3.092526690391459
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.8434163701067615
2016-06-08,1.686832740213523
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,2.5302491103202844
2016-06-14,2.5302491103202844
2016-06-15,1.686832740213523
2016-06-16,1.686832740213523
2016-06-17,0.0
2016-06-18,5.341637010676156
2016-06-19,1.1245551601423487
2016-06-20,0.0
2016-06-21,0.8434163701067615
2016-06-22,0.0
2016-06-23,0.8434163701067615
2016-06-24,0.0
2016-06-25,1.1245551601423487
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,2.5302491103202844
2016-06-29,3.373665480427046
2016-06-30,0.8434163701067615
2016-07-01,0.0
2016-07-02,3.092526690391459
2016-07-03,2.2491103202846974
2016-07-04,0.8434163701067615
2016-07-05,0.8434163701067615
2016-07-06,0.8434163701067615
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,2.5302491103202844
2016-07-12,1.686832740213523
2016-07-13,1.686832740213523
2016-07-14,0.8434163701067615
2016-07-15,1.9679715302491103
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,1.686832740213523
2016-07-20,0.8434163701067615
2016-07-21,0.8434163701067615
2016-07-22,0.0
2016-07-23,1.9679715302491103
2016-07-24,1.1245551601423487
2016-07-25,2.5302491103202844
2016-07-26,0.0
2016-07-27,1.686832740213523
2016-07-28,1.686832740213523
2016-07-29,1.9679715302491103
2016-07-30,0.0
2016-07-31,3.092526690391459
2016-08-01,0.0
2016-08-02,0.8434163701067615
2016-08-03,2.8113879003558715
2016-08-04,0.8434163701067615
2016-08-05,1.9679715302491103
2016-08-06,2.2491103202846974
2016-08-07,1.1245551601423487
2016-08-08,0.8434163701067615
2016-08-09,0.0
2016-08-10,0.8434163701067615
2016-08-11,0.8434163701067615
2016-08-12,2.8113879003558715
2016-08-13,1.1245551601423487
2016-08-14,0.0
2016-08-15,2.8113879003558715
2016-08-16,3.654804270462633
2016-08-17,1.686832740213523
2016-08-18,0.0
2016-08-19,0.8434163701067615
2016-08-20,3.092526690391459
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,3.654804270462633
2016-08-24,0.8434163701067615
2016-08-25,1.686832740213523
2016-08-26,2.8113879003558715
2016-08-27,1.1245551601423487
2016-08-28,3.092526690391459
2016-08-29,0.0
2016-08-30,1.686832740213523
2016-08-31,0.0
2016-09-01,0.0
2016-09-02,0.8434163701067615
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.8434163701067615
2016-09-07,0.8434163701067615
2016-09-08,0.8434163701067615
2016-09-09,0.0
2016-09-10,0.0
2016-09-11,0.8434163701067615
2016-09-12,0.0
2016-09-13,2.5302491103202844
2016-09-14,3.373665480427046
2016-09-15,0.0
2016-09-16,1.686832740213523
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.8434163701067615
2016-09-20,1.686832740213523
2016-09-21,0.8434163701067615
2016-09-22,1.686832740213523
2016-09-23,0.8434163701067615
2016-09-24,2.8113879003558715
2016-09-25,3.9359430604982206
2016-09-26,0.0
2016-09-27,5.060498220640569
2016-09-28,0.0
2016-09-29,2.5302491103202844
2016-09-30,3.373665480427046
2016-10-01,0.0
2016-10-02,1.4839857651245552
2016-10-03,3.1085409252669036
2016-10-04,3.1868327402135233
2016-10-05,1.4217081850533808
2016-10-06,1.3434163701067616
2016-10-07,0.9217081850533808
2016-10-08,1.4217081850533808
2016-10-09,1.5
2016-10-10,3.1868327402135233
2016-10-11,1.9217081850533808
2016-10-12,26.05693950177936
2016-10-13,2.1868327402135233
2016-10-14,4.186832740213523
2016-10-15,0.5
2016-10-16,0.5
2016-10-17,1.3434163701067616
2016-10-18,1.0
2016-10-19,2.265124555160142
2016-10-20,1.3434163701067616
2016-10-21,2.265124555160142
2016-10-22,0.42170818505338076
2016-10-23,0.9217081850533808
2016-10-24,2.265124555160142
2016-10-25,1.8434163701067616
2016-10-26,1.8434163701067616
2016-10-27,0.9217081850533808
2016-10-28,1.4217081850533808
2016-10-29,0.5
2016-10-30,0.42170818505338076
2016-10-31,0.5
2016-11-01,6.795373665480427
2016-11-02,1.0
2016-11-03,2.0
2016-11-04,3.0
2016-11-05,1.0
2016-11-06,2.0
2016-11-07,2.0
2016-11-08,1.0
2016-11-09,2.0
2016-11-10,3.0
2016-11-11,2.0
2016-11-12,0.0
2016-11-13,1.0
2016-11-14,3.0
