date,pussy
2016-05-01,88.02662490211434
2016-05-02,75.31166797180893
2016-05-03,74.33359436178543
2016-05-04,73.35552075176194
2016-05-05,75.31166797180893
2016-05-06,76.28974158183242
2016-05-07,89.00469851213782
2016-05-08,86.07047768206735
2016-05-09,75.31166797180893
2016-05-10,73.35552075176194
2016-05-11,74.33359436178543
2016-05-12,75.31166797180893
2016-05-13,78.2458888018794
2016-05-14,85.09240407204385
2016-05-15,86.07047768206735
2016-05-16,74.33359436178543
2016-05-17,74.33359436178543
2016-05-18,73.35552075176194
2016-05-19,72.37744714173846
2016-05-20,75.31166797180893
2016-05-21,86.07047768206735
2016-05-22,85.09240407204385
2016-05-23,73.35552075176194
2016-05-24,74.33359436178543
2016-05-25,72.37744714173846
2016-05-26,77.26781519185592
2016-05-27,77.26781519185592
2016-05-28,85.09240407204385
2016-05-29,88.02662490211434
2016-05-30,77.26781519185592
2016-05-31,75.31166797180893
2016-06-01,76.28974158183242
2016-06-02,77.26781519185592
2016-06-03,78.2458888018794
2016-06-04,89.00469851213782
2016-06-05,85.09240407204385
2016-06-06,72.37744714173846
2016-06-07,68.46515270164448
2016-06-08,69.44322631166797
2016-06-09,71.39937353171496
2016-06-10,72.37744714173846
2016-06-11,81.18010963194989
2016-06-12,82.15818324197338
2016-06-13,70.42129992169147
2016-06-14,72.37744714173846
2016-06-15,71.39937353171496
2016-06-16,73.35552075176194
2016-06-17,76.28974158183242
2016-06-18,84.11433046202036
2016-06-19,82.15818324197338
2016-06-20,72.37744714173846
2016-06-21,74.33359436178543
2016-06-22,74.33359436178543
2016-06-23,74.33359436178543
2016-06-24,75.31166797180893
2016-06-25,87.04855129209083
2016-06-26,86.07047768206735
2016-06-27,74.33359436178543
2016-06-28,74.33359436178543
2016-06-29,73.35552075176194
2016-06-30,73.35552075176194
2016-07-01,76.28974158183242
2016-07-02,86.07047768206735
2016-07-03,86.07047768206735
2016-07-04,78.2458888018794
2016-07-05,77.26781519185592
2016-07-06,81.18010963194989
2016-07-07,81.18010963194989
2016-07-08,82.15818324197338
2016-07-09,92.9169929522318
2016-07-10,89.98277212216132
2016-07-11,79.2239624119029
2016-07-12,75.31166797180893
2016-07-13,77.26781519185592
2016-07-14,78.2458888018794
2016-07-15,78.2458888018794
2016-07-16,89.00469851213782
2016-07-17,90.96084573218481
2016-07-18,77.26781519185592
2016-07-19,78.2458888018794
2016-07-20,78.2458888018794
2016-07-21,79.2239624119029
2016-07-22,79.2239624119029
2016-07-23,91.93891934220831
2016-07-24,91.93891934220831
2016-07-25,77.26781519185592
2016-07-26,78.2458888018794
2016-07-27,76.28974158183242
2016-07-28,79.2239624119029
2016-07-29,81.18010963194989
2016-07-30,89.98277212216132
2016-07-31,89.98277212216132
2016-08-01,76.28974158183242
2016-08-02,77.26781519185592
2016-08-03,76.28974158183242
2016-08-04,78.2458888018794
2016-08-05,79.2239624119029
2016-08-06,89.98277212216132
2016-08-07,91.93891934220831
2016-08-08,78.2458888018794
2016-08-09,77.26781519185592
2016-08-10,77.26781519185592
2016-08-11,77.26781519185592
2016-08-12,79.2239624119029
2016-08-13,89.00469851213782
2016-08-14,88.02662490211434
2016-08-15,81.18010963194989
2016-08-16,75.31166797180893
2016-08-17,76.28974158183242
2016-08-18,77.26781519185592
