date,obama steak
2016-05-01,100.0
2016-05-02,49.0
2016-05-03,24.0
2016-05-04,48.0
2016-05-05,25.0
2016-05-06,39.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,12.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,0.0
2016-05-14,14.0
2016-05-15,0.0
2016-05-16,12.0
2016-05-17,12.0
2016-05-18,12.0
2016-05-19,0.0
2016-05-20,13.0
2016-05-21,14.0
2016-05-22,0.0
2016-05-23,12.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,13.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,15.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,12.0
2016-06-09,12.0
2016-06-10,13.0
2016-06-11,14.0
2016-06-12,14.0
2016-06-13,12.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,29.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,15.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,12.0
2016-06-29,12.0
2016-06-30,0.0
2016-07-01,13.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,25.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,15.0
2016-07-10,0.0
2016-07-11,0.0
2016-07-12,12.0
2016-07-13,13.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,15.0
2016-07-18,0.0
2016-07-19,25.0
2016-07-20,13.0
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,12.0
2016-07-26,0.0
2016-07-27,50.0
2016-07-28,0.0
2016-07-29,26.0
2016-07-30,0.0
2016-07-31,29.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,13.0
2016-08-04,13.0
2016-08-05,0.0
2016-08-06,30.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,13.0
2016-08-16,12.0
2016-08-17,25.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,0.0
2016-08-24,12.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,14.0
2016-08-28,43.0
2016-08-29,0.0
2016-08-30,48.0
2016-08-31,12.0
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,14.0
2016-09-04,0.0
2016-09-05,13.0
2016-09-06,12.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,0.0
2016-09-10,14.0
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,0.0
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,14.0
2016-09-19,0.0
2016-09-20,12.0
2016-09-21,0.0
2016-09-22,12.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,12.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,16.624688279301743
2016-10-03,14.859102244389028
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,4.556109725685785
2016-10-11,0.0
2016-10-12,10.556109725685786
2016-10-13,4.302992518703242
2016-10-14,4.556109725685785
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,9.802992518703242
2016-10-18,6.581047381546135
2016-10-19,22.384039900249377
2016-10-20,28.384039900249377
2016-10-21,6.0
2016-10-22,6.5
2016-10-23,6.5
2016-10-24,10.302992518703242
2016-10-25,9.802992518703242
2016-10-26,4.302992518703242
2016-10-27,6.0
2016-10-28,15.365336658354115
2016-10-29,5.062344139650873
2016-10-30,0.0
2016-10-31,4.556109725685785
2016-11-01,6.0
2016-11-02,13.16209476309227
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,10.124688279301745
2016-11-06,0.0
2016-11-07,17.211970074812967
2016-11-08,8.605985037406484
2016-11-09,12.149625935162096
2016-11-10,34.930174563591024
2016-11-11,13.668329177057357
2016-11-12,15.187032418952619
2016-11-13,24.805486284289277
2016-11-14,8.605985037406484
2016-11-15,13.16209476309227
2016-11-16,17.211970074812967
2016-11-17,22.27431421446384
2016-11-18,9.11221945137157
2016-11-19,0.0
2016-11-20,14.680798004987532
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,9.11221945137157
2016-11-26,0.0
2016-11-27,29.361596009975063
2016-11-28,16.705735660847882
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,9.11221945137157
2016-12-03,9.618453865336658
2016-12-04,9.618453865336658
2016-12-05,8.605985037406484
2016-12-06,8.605985037406484
2016-12-07,8.605985037406484
2016-12-08,17.718204488778056
2016-12-09,9.11221945137157
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,13.16209476309227
2016-12-16,27.8428927680798
2016-12-17,20.75561097256858
2016-12-18,10.124688279301745
2016-12-19,13.16209476309227
2016-12-20,9.11221945137157
2016-12-21,27.8428927680798
2016-12-22,9.11221945137157
2016-12-23,9.618453865336658
2016-12-24,11.13715710723192
2016-12-25,22.780548628428928
2016-12-26,9.618453865336658
2016-12-27,9.11221945137157
2016-12-28,9.11221945137157
2016-12-29,0.0
2016-12-30,19.236907730673316
2016-12-31,32.399002493765586
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,8.605985037406484
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,9.11221945137157
2017-01-07,19.236907730673316
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,12.655860349127183
2017-01-11,50.62344139650873
2017-01-12,16.705735660847882
2017-01-13,25.81795511221945
2017-01-14,9.618453865336658
2017-01-15,19.236907730673316
2017-01-16,12.655860349127183
2017-01-17,8.099750623441397
2017-01-18,24.805486284289277
2017-01-19,16.705735660847882
2017-01-20,47.079800498753116
2017-01-21,48.59850374064838
2017-01-22,14.174563591022444
2017-01-23,8.099750623441397
2017-01-24,12.655860349127183
