date,hillary hand
2016-05-01,0.801980198019802
2016-05-02,1.0693069306930694
2016-05-03,0.5346534653465347
2016-05-04,2.9405940594059405
2016-05-05,0.801980198019802
2016-05-06,0.801980198019802
2016-05-07,0.5346534653465347
2016-05-08,1.0693069306930694
2016-05-09,0.801980198019802
2016-05-10,0.5346534653465347
2016-05-11,1.0693069306930694
2016-05-12,1.3366336633663367
2016-05-13,0.5346534653465347
2016-05-14,0.5346534653465347
2016-05-15,1.0693069306930694
2016-05-16,2.1386138613861387
2016-05-17,0.801980198019802
2016-05-18,0.801980198019802
2016-05-19,0.5346534653465347
2016-05-20,0.801980198019802
2016-05-21,1.0693069306930694
2016-05-22,0.0
2016-05-23,0.5346534653465347
2016-05-24,0.5346534653465347
2016-05-25,0.801980198019802
2016-05-26,0.5346534653465347
2016-05-27,0.801980198019802
2016-05-28,0.5346534653465347
2016-05-29,1.603960396039604
2016-05-30,1.3366336633663367
2016-05-31,0.801980198019802
2016-06-01,1.603960396039604
2016-06-02,1.3366336633663367
2016-06-03,0.801980198019802
2016-06-04,0.801980198019802
2016-06-05,1.0693069306930694
2016-06-06,1.0693069306930694
2016-06-07,1.603960396039604
2016-06-08,2.1386138613861387
2016-06-09,2.1386138613861387
2016-06-10,2.6732673267326734
2016-06-11,1.0693069306930694
2016-06-12,1.0693069306930694
2016-06-13,1.3366336633663367
2016-06-14,0.5346534653465347
2016-06-15,1.0693069306930694
2016-06-16,0.801980198019802
2016-06-17,0.801980198019802
2016-06-18,0.5346534653465347
2016-06-19,1.3366336633663367
2016-06-20,0.5346534653465347
2016-06-21,1.8712871287128714
2016-06-22,0.801980198019802
2016-06-23,0.801980198019802
2016-06-24,2.9405940594059405
2016-06-25,1.0693069306930694
2016-06-26,1.0693069306930694
2016-06-27,1.3366336633663367
2016-06-28,1.8712871287128714
2016-06-29,1.3366336633663367
2016-06-30,0.801980198019802
2016-07-01,0.801980198019802
2016-07-02,1.0693069306930694
2016-07-03,1.8712871287128714
2016-07-04,1.0693069306930694
2016-07-05,2.6732673267326734
2016-07-06,2.4059405940594063
2016-07-07,2.1386138613861387
2016-07-08,1.0693069306930694
2016-07-09,0.5346534653465347
2016-07-10,0.801980198019802
2016-07-11,1.3366336633663367
2016-07-12,1.603960396039604
2016-07-13,1.603960396039604
2016-07-14,1.0693069306930694
2016-07-15,1.603960396039604
2016-07-16,0.801980198019802
2016-07-17,1.0693069306930694
2016-07-18,0.5346534653465347
2016-07-19,2.6732673267326734
2016-07-20,1.3366336633663367
2016-07-21,1.3366336633663367
2016-07-22,2.4059405940594063
2016-07-23,2.6732673267326734
2016-07-24,1.603960396039604
2016-07-25,1.3366336633663367
2016-07-26,2.9405940594059405
2016-07-27,4.00990099009901
2016-07-28,3.207920792079208
2016-07-29,7.217821782178218
2016-07-30,2.9405940594059405
2016-07-31,2.6732673267326734
2016-08-01,2.6732673267326734
2016-08-02,2.4059405940594063
2016-08-03,0.801980198019802
2016-08-04,2.9405940594059405
2016-08-05,2.1386138613861387
2016-08-06,2.1386138613861387
2016-08-07,2.1386138613861387
2016-08-08,0.5346534653465347
2016-08-09,1.8712871287128714
2016-08-10,2.4059405940594063
2016-08-11,2.1386138613861387
2016-08-12,2.4059405940594063
2016-08-13,2.1386138613861387
2016-08-14,1.8712871287128714
2016-08-15,0.801980198019802
2016-08-16,1.3366336633663367
2016-08-17,1.0693069306930694
2016-08-18,2.1386138613861387
2016-08-19,0.801980198019802
2016-08-20,3.4752475247524757
2016-08-21,1.603960396039604
2016-08-22,1.603960396039604
2016-08-23,2.6732673267326734
2016-08-24,1.3366336633663367
2016-08-25,0.801980198019802
2016-08-26,1.0693069306930694
2016-08-27,1.3366336633663367
2016-08-28,1.3366336633663367
2016-08-29,1.8712871287128714
2016-08-30,1.603960396039604
2016-08-31,1.0693069306930694
2016-09-01,0.801980198019802
2016-09-02,1.0693069306930694
2016-09-03,0.5346534653465347
2016-09-04,1.3366336633663367
2016-09-05,0.5346534653465347
2016-09-06,1.8712871287128714
2016-09-07,1.3366336633663367
2016-09-08,1.8712871287128714
2016-09-09,1.8712871287128714
2016-09-10,1.0693069306930694
2016-09-11,4.811881188118813
2016-09-12,4.00990099009901
2016-09-13,6.683168316831684
2016-09-14,3.742574257425743
2016-09-15,2.1386138613861387
2016-09-16,2.6732673267326734
2016-09-17,2.4059405940594063
2016-09-18,2.1386138613861387
2016-09-19,1.603960396039604
2016-09-20,1.0693069306930694
2016-09-21,1.603960396039604
2016-09-22,1.603960396039604
2016-09-23,2.1386138613861387
2016-09-24,1.0693069306930694
2016-09-25,0.5346534653465347
2016-09-26,2.1386138613861387
2016-09-27,6.148514851485149
2016-09-28,14.970297029702971
2016-09-29,26.732673267326735
2016-09-30,15.237623762376238
2016-10-01,5.608910891089109
2016-10-02,4.603960396039604
2016-10-03,3.103960396039604
2016-10-04,1.7029702970297032
2016-10-05,2.9702970297029703
2016-10-06,1.9702970297029703
2016-10-07,2.4356435643564356
2016-10-08,4.5049504950495045
2016-10-09,1.5346534653465347
2016-10-10,6.50990099009901
2016-10-11,3.9059405940594063
2016-10-12,2.336633663366337
2016-10-13,2.4702970297029703
2016-10-14,1.7029702970297032
2016-10-15,3.237623762376238
2016-10-16,6.306930693069307
2016-10-17,2.9702970297029703
2016-10-18,3.0693069306930694
2016-10-19,2.603960396039604
2016-10-20,7.108910891089109
2016-10-21,4.237623762376238
2016-10-22,2.5693069306930694
2016-10-23,1.6683168316831685
2016-10-24,2.202970297029703
2016-10-25,2.5693069306930694
