date,obamacare
2016-05-01,3.5533553355335536
2016-05-02,4.619361936193619
2016-05-03,4.974697469746975
2016-05-04,5.33003300330033
2016-05-05,4.974697469746975
2016-05-06,3.198019801980198
2016-05-07,2.132013201320132
2016-05-08,3.198019801980198
2016-05-09,4.264026402640264
2016-05-10,4.264026402640264
2016-05-11,3.5533553355335536
2016-05-12,7.817381738173817
2016-05-13,7.106710671067107
2016-05-14,3.198019801980198
2016-05-15,3.5533553355335536
2016-05-16,5.33003300330033
2016-05-17,4.974697469746975
2016-05-18,3.9086908690869087
2016-05-19,4.264026402640264
2016-05-20,3.5533553355335536
2016-05-21,2.8426842684268427
2016-05-22,2.4873487348734873
2016-05-23,3.9086908690869087
2016-05-24,4.619361936193619
2016-05-25,4.619361936193619
2016-05-26,3.198019801980198
2016-05-27,3.5533553355335536
2016-05-28,2.4873487348734873
2016-05-29,2.132013201320132
2016-05-30,2.132013201320132
2016-05-31,4.264026402640264
2016-06-01,4.264026402640264
2016-06-02,6.040704070407041
2016-06-03,4.264026402640264
2016-06-04,2.132013201320132
2016-06-05,3.198019801980198
2016-06-06,3.198019801980198
2016-06-07,4.264026402640264
2016-06-08,3.5533553355335536
2016-06-09,4.264026402640264
2016-06-10,3.9086908690869087
2016-06-11,2.132013201320132
2016-06-12,2.4873487348734873
2016-06-13,3.198019801980198
2016-06-14,3.5533553355335536
2016-06-15,3.9086908690869087
2016-06-16,3.5533553355335536
2016-06-17,2.8426842684268427
2016-06-18,2.8426842684268427
2016-06-19,2.132013201320132
2016-06-20,2.8426842684268427
2016-06-21,3.9086908690869087
2016-06-22,4.974697469746975
2016-06-23,4.264026402640264
2016-06-24,2.8426842684268427
2016-06-25,2.8426842684268427
2016-06-26,2.4873487348734873
2016-06-27,3.5533553355335536
2016-06-28,2.8426842684268427
2016-06-29,3.5533553355335536
2016-06-30,3.198019801980198
2016-07-01,3.5533553355335536
2016-07-02,1.7766776677667768
2016-07-03,2.132013201320132
2016-07-04,1.7766776677667768
2016-07-05,3.198019801980198
2016-07-06,4.264026402640264
2016-07-07,3.198019801980198
2016-07-08,2.8426842684268427
2016-07-09,1.7766776677667768
2016-07-10,2.132013201320132
2016-07-11,3.5533553355335536
2016-07-12,3.5533553355335536
2016-07-13,3.5533553355335536
2016-07-14,3.5533553355335536
2016-07-15,2.8426842684268427
2016-07-16,2.4873487348734873
2016-07-17,2.4873487348734873
2016-07-18,3.5533553355335536
2016-07-19,3.5533553355335536
2016-07-20,4.264026402640264
2016-07-21,3.9086908690869087
2016-07-22,4.974697469746975
2016-07-23,2.4873487348734873
2016-07-24,2.8426842684268427
2016-07-25,3.9086908690869087
2016-07-26,4.264026402640264
2016-07-27,4.619361936193619
2016-07-28,4.974697469746975
2016-07-29,3.9086908690869087
2016-07-30,3.198019801980198
2016-07-31,3.198019801980198
2016-08-01,13.147414741474147
2016-08-02,6.040704070407041
2016-08-03,5.33003300330033
2016-08-04,4.619361936193619
2016-08-05,4.264026402640264
2016-08-06,7.106710671067107
2016-08-07,4.619361936193619
2016-08-08,4.264026402640264
2016-08-09,4.619361936193619
2016-08-10,3.9086908690869087
2016-08-11,4.619361936193619
2016-08-12,4.619361936193619
2016-08-13,3.5533553355335536
2016-08-14,4.974697469746975
2016-08-15,4.619361936193619
2016-08-16,9.94939493949395
2016-08-17,7.462046204620462
2016-08-18,6.751375137513752
2016-08-19,5.6853685368536855
2016-08-20,3.198019801980198
2016-08-21,4.264026402640264
2016-08-22,4.264026402640264
2016-08-23,4.974697469746975
2016-08-24,4.974697469746975
2016-08-25,4.264026402640264
2016-08-26,3.5533553355335536
2016-08-27,2.8426842684268427
2016-08-28,3.5533553355335536
2016-08-29,4.619361936193619
2016-08-30,4.974697469746975
2016-08-31,4.619361936193619
2016-09-01,3.9086908690869087
2016-09-02,4.619361936193619
2016-09-03,3.9086908690869087
2016-09-04,2.8426842684268427
2016-09-05,2.4873487348734873
2016-09-06,4.619361936193619
2016-09-07,4.264026402640264
2016-09-08,3.9086908690869087
2016-09-09,3.9086908690869087
2016-09-10,2.8426842684268427
2016-09-11,2.4873487348734873
2016-09-12,4.264026402640264
2016-09-13,4.974697469746975
2016-09-14,4.619361936193619
2016-09-15,4.264026402640264
2016-09-16,3.9086908690869087
2016-09-17,2.4873487348734873
2016-09-18,3.198019801980198
2016-09-19,4.619361936193619
2016-09-20,3.9086908690869087
2016-09-21,4.619361936193619
2016-09-22,3.9086908690869087
2016-09-23,3.5533553355335536
2016-09-24,2.132013201320132
2016-09-25,2.4873487348734873
2016-09-26,7.106710671067107
2016-09-27,5.6853685368536855
2016-09-28,5.33003300330033
2016-09-29,5.33003300330033
2016-09-30,4.619361936193619
2016-10-01,3.776677667766777
2016-10-02,2.7436743674367436
2016-10-03,5.165016501650165
2016-10-04,10.474697469746975
2016-10-05,13.073707370737074
2016-10-06,9.974697469746975
2016-10-07,7.053355335533554
2016-10-08,4.632013201320132
2016-10-09,3.9543454345434546
2016-10-10,13.396039603960396
2016-10-11,6.8756875687568755
2016-10-12,7.053355335533554
2016-10-13,7.408690869086909
2016-10-14,7.231023102310231
2016-10-15,5.342684268426843
2016-10-16,4.632013201320132
2016-10-17,6.698019801980198
2016-10-18,10.33003300330033
2016-10-19,7.408690869086909
2016-10-20,11.007700770077008
2016-10-21,6.8756875687568755
2016-10-22,5.342684268426843
2016-10-23,5.842684268426843
2016-10-24,10.83003300330033
2016-10-25,35.266776677667764
2016-10-26,27.18041804180418
2016-10-27,19.27172717271727
2016-10-28,14.63971397139714
