date,donald trump rally
2016-05-01,21.37243047158404
2016-05-02,16.487303506650544
2016-05-03,4.274486094316808
2016-05-04,7.938331318016928
2016-05-05,11.60217654171705
2016-05-06,14.655380894800484
2016-05-07,61.06408706166868
2016-05-08,48.851269649334945
2016-05-09,21.983071342200724
2016-05-10,6.106408706166868
2016-05-11,5.495767835550181
2016-05-12,3.663845223700121
2016-05-13,3.053204353083434
2016-05-14,3.663845223700121
2016-05-15,5.495767835550181
2016-05-16,1.8319226118500604
2016-05-17,4.274486094316808
2016-05-18,4.274486094316808
2016-05-19,4.8851269649334945
2016-05-20,6.717049576783555
2016-05-21,6.106408706166868
2016-05-22,4.8851269649334945
2016-05-23,4.8851269649334945
2016-05-24,6.717049576783555
2016-05-25,27.478839177750906
2016-05-26,19.540507859733978
2016-05-27,21.983071342200724
2016-05-28,16.487303506650544
2016-05-29,8.548972188633616
2016-05-30,7.327690447400242
2016-05-31,6.106408706166868
2016-06-01,7.938331318016928
2016-06-02,16.487303506650544
2016-06-03,20.151148730350666
2016-06-04,12.823458282950423
2016-06-05,10.991535671100362
2016-06-06,6.106408706166868
2016-06-07,6.717049576783555
2016-06-08,7.327690447400242
2016-06-09,5.495767835550181
2016-06-10,7.938331318016928
2016-06-11,20.76178960096735
2016-06-12,4.8851269649334945
2016-06-13,6.717049576783555
2016-06-14,9.770253929866989
2016-06-15,20.151148730350666
2016-06-16,22.59371221281741
2016-06-17,23.814993954050784
2016-06-18,17.097944377267233
2016-06-19,12.212817412333736
2016-06-20,32.97460701330109
2016-06-21,29.310761789600967
2016-06-22,3.663845223700121
2016-06-23,1.8319226118500604
2016-06-24,2.4425634824667473
2016-06-25,3.053204353083434
2016-06-26,2.4425634824667473
2016-06-27,2.4425634824667473
2016-06-28,4.274486094316808
2016-06-29,4.8851269649334945
2016-06-30,6.106408706166868
2016-07-01,4.274486094316808
2016-07-02,5.495767835550181
2016-07-03,4.274486094316808
2016-07-04,1.8319226118500604
2016-07-05,8.548972188633616
2016-07-06,9.159613059250303
2016-07-07,4.274486094316808
2016-07-08,3.053204353083434
2016-07-09,1.8319226118500604
2016-07-10,2.4425634824667473
2016-07-11,3.663845223700121
2016-07-12,5.495767835550181
2016-07-13,9.770253929866989
2016-07-14,3.663845223700121
2016-07-15,1.8319226118500604
2016-07-16,3.053204353083434
2016-07-17,1.8319226118500604
2016-07-18,3.053204353083434
2016-07-19,6.106408706166868
2016-07-20,3.663845223700121
2016-07-21,3.053204353083434
2016-07-22,5.495767835550181
2016-07-23,1.8319226118500604
2016-07-24,3.053204353083434
2016-07-25,4.8851269649334945
2016-07-26,9.159613059250303
2016-07-27,6.717049576783555
2016-07-28,10.380894800483675
2016-07-29,10.991535671100362
2016-07-30,9.770253929866989
2016-07-31,4.274486094316808
2016-08-01,7.938331318016928
2016-08-02,20.151148730350666
2016-08-03,25.646916565900845
2016-08-04,18.92986698911729
2016-08-05,15.26602176541717
2016-08-06,13.43409915356711
2016-08-07,6.106408706166868
2016-08-08,6.717049576783555
2016-08-09,13.43409915356711
2016-08-10,9.770253929866989
2016-08-11,12.823458282950423
2016-08-12,12.823458282950423
2016-08-13,10.991535671100362
2016-08-14,9.770253929866989
2016-08-15,6.106408706166868
2016-08-16,7.938331318016928
2016-08-17,10.380894800483675
2016-08-18,7.327690447400242
2016-08-19,10.380894800483675
2016-08-20,10.991535671100362
2016-08-21,7.938331318016928
2016-08-22,7.938331318016928
2016-08-23,9.159613059250303
2016-08-24,12.212817412333736
2016-08-25,13.43409915356711
2016-08-26,4.8851269649334945
2016-08-27,4.8851269649334945
2016-08-28,5.495767835550181
2016-08-29,4.274486094316808
2016-08-30,6.106408706166868
2016-08-31,12.212817412333736
2016-09-01,9.770253929866989
2016-09-02,3.053204353083434
2016-09-03,5.495767835550181
2016-09-04,2.4425634824667473
2016-09-05,6.717049576783555
2016-09-06,5.495767835550181
2016-09-07,6.717049576783555
2016-09-08,3.053204353083434
2016-09-09,9.159613059250303
2016-09-10,3.663845223700121
2016-09-11,4.8851269649334945
2016-09-12,10.380894800483675
2016-09-13,7.938331318016928
2016-09-14,11.60217654171705
2016-09-15,10.991535671100362
2016-09-16,7.938331318016928
2016-09-17,7.938331318016928
2016-09-18,5.495767835550181
2016-09-19,8.548972188633616
2016-09-20,12.823458282950423
2016-09-21,9.159613059250303
2016-09-22,10.380894800483675
2016-09-23,6.106408706166868
2016-09-24,10.380894800483675
2016-09-25,3.053204353083434
2016-09-26,3.053204353083434
2016-09-27,12.823458282950423
2016-09-28,11.60217654171705
2016-09-29,10.380894800483675
2016-09-30,9.770253929866989
2016-10-01,10.690447400241837
2016-10-02,10.801088270858525
2016-10-03,9.079806529625152
2016-10-04,9.495767835550181
2016-10-05,10.885126964933495
2016-10-06,6.663845223700121
2016-10-07,9.495767835550181
2016-10-08,8.469165659008464
2016-10-09,4.137243047158404
2016-10-10,15.827690447400242
2016-10-11,17.659613059250304
2016-10-12,22.380894800483674
2016-10-13,22.35429262394196
2016-10-14,15.743651753325272
2016-10-15,23.10217654171705
2016-10-16,9.079806529625152
2016-10-17,11.411729141475211
2016-10-18,17.438331318016928
2016-10-19,9.774486094316808
2016-10-20,22.10217654171705
2016-10-21,18.27025392986699
2016-10-22,15.827690447400242
2016-10-23,16.438331318016928
2016-10-24,16.633010882708586
2016-10-25,22.796856106408704
2016-10-26,17.548972188633616
2016-10-27,19.68621523579202
2016-10-28,23.628778718258765
2016-10-29,27.85006045949214
2016-10-30,19.048972188633616
2016-10-31,21.296856106408704
