date,trump depressed
2016-05-01,0.0
2016-05-02,3.8029850746268656
2016-05-03,0.0
2016-05-04,7.424875621890547
2016-05-05,0.0
2016-05-06,0.0
2016-05-07,4.527363184079602
2016-05-08,4.3462686567164175
2016-05-09,0.0
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,5.613930348258706
2016-05-13,0.0
2016-05-14,4.3462686567164175
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,3.8029850746268656
2016-05-20,0.0
2016-05-21,4.3462686567164175
2016-05-22,4.3462686567164175
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,7.605970149253731
2016-05-26,3.9840796019900497
2016-05-27,5.976119402985074
2016-05-28,4.527363184079602
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,3.6218905472636815
2016-06-01,3.8029850746268656
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,4.3462686567164175
2016-06-06,3.8029850746268656
2016-06-07,3.6218905472636815
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,4.3462686567164175
2016-06-12,4.3462686567164175
2016-06-13,3.6218905472636815
2016-06-14,3.8029850746268656
2016-06-15,0.0
2016-06-16,3.8029850746268656
2016-06-17,0.0
2016-06-18,4.527363184079602
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,3.8029850746268656
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,3.9840796019900497
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,5.613930348258706
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,3.9840796019900497
2016-07-05,7.787064676616915
2016-07-06,3.9840796019900497
2016-07-07,3.9840796019900497
2016-07-08,3.9840796019900497
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,3.8029850746268656
2016-07-12,0.0
2016-07-13,3.8029850746268656
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,4.527363184079602
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,11.59004975124378
2016-07-20,3.8029850746268656
2016-07-21,0.0
2016-07-22,3.9840796019900497
2016-07-23,0.0
2016-07-24,18.109452736318406
2016-07-25,0.0
2016-07-26,3.8029850746268656
2016-07-27,0.0
2016-07-28,3.8029850746268656
2016-07-29,7.9681592039800995
2016-07-30,4.527363184079602
2016-07-31,9.054726368159203
2016-08-01,3.8029850746268656
2016-08-02,0.0
2016-08-03,3.8029850746268656
2016-08-04,3.8029850746268656
2016-08-05,0.0
2016-08-06,4.527363184079602
2016-08-07,4.527363184079602
2016-08-08,5.79502487562189
2016-08-09,11.408955223880596
2016-08-10,7.605970149253731
2016-08-11,3.9840796019900497
2016-08-12,3.9840796019900497
2016-08-13,0.0
2016-08-14,13.582089552238806
2016-08-15,3.9840796019900497
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,3.8029850746268656
2016-08-23,0.0
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,3.9840796019900497
2016-08-27,4.3462686567164175
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,3.8029850746268656
2016-09-01,3.6218905472636815
2016-09-02,0.0
2016-09-03,4.3462686567164175
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,3.8029850746268656
2016-09-08,3.8029850746268656
2016-09-09,7.605970149253731
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,3.8029850746268656
2016-09-13,5.432835820895522
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,5.79502487562189
2016-09-17,4.165174129353233
2016-09-18,4.165174129353233
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,4.165174129353233
