date,paul ryan
2016-05-01,12.110304789550073
2016-05-02,9.515239477503629
2016-05-03,6.055152394775036
2016-05-04,9.515239477503629
2016-05-05,26.81567489114659
2016-05-06,44.11611030478955
2016-05-07,21.6255442670537
2016-05-08,25.085631349782293
2016-05-09,31.14078374455733
2016-05-10,19.895500725689406
2016-05-11,18.16545718432511
2016-05-12,41.52104499274311
2016-05-13,21.6255442670537
2016-05-14,10.380261248185777
2016-05-15,7.785195936139332
2016-05-16,6.055152394775036
2016-05-17,6.055152394775036
2016-05-18,5.190130624092888
2016-05-19,4.3251088534107405
2016-05-20,5.190130624092888
2016-05-21,4.3251088534107405
2016-05-22,3.460087082728592
2016-05-23,4.3251088534107405
2016-05-24,4.3251088534107405
2016-05-25,6.920174165457184
2016-05-26,8.650217706821481
2016-05-27,5.190130624092888
2016-05-28,4.3251088534107405
2016-05-29,4.3251088534107405
2016-05-30,3.460087082728592
2016-05-31,3.460087082728592
2016-06-01,4.3251088534107405
2016-06-02,19.895500725689406
2016-06-03,24.220609579100145
2016-06-04,10.380261248185777
2016-06-05,6.920174165457184
2016-06-06,6.055152394775036
2016-06-07,19.030478955007258
2016-06-08,15.570391872278664
2016-06-09,11.245283018867925
2016-06-10,9.515239477503629
2016-06-11,8.650217706821481
2016-06-12,6.920174165457184
2016-06-13,6.920174165457184
2016-06-14,12.97532656023222
2016-06-15,9.515239477503629
2016-06-16,11.245283018867925
2016-06-17,9.515239477503629
2016-06-18,8.650217706821481
2016-06-19,8.650217706821481
2016-06-20,8.650217706821481
2016-06-21,6.920174165457184
2016-06-22,12.97532656023222
2016-06-23,26.81567489114659
2016-06-24,10.380261248185777
2016-06-25,6.055152394775036
2016-06-26,5.190130624092888
2016-06-27,5.190130624092888
2016-06-28,5.190130624092888
2016-06-29,5.190130624092888
2016-06-30,5.190130624092888
2016-07-01,5.190130624092888
2016-07-02,4.3251088534107405
2016-07-03,4.3251088534107405
2016-07-04,4.3251088534107405
2016-07-05,6.920174165457184
2016-07-06,12.110304789550073
2016-07-07,9.515239477503629
2016-07-08,8.650217706821481
2016-07-09,5.190130624092888
2016-07-10,6.055152394775036
2016-07-11,6.920174165457184
2016-07-12,6.055152394775036
2016-07-13,18.16545718432511
2016-07-14,6.920174165457184
2016-07-15,6.055152394775036
2016-07-16,5.190130624092888
2016-07-17,12.110304789550073
2016-07-18,20.760522496371554
2016-07-19,28.545718432510885
2016-07-20,45.84615384615385
2016-07-21,29.410740203193033
2016-07-22,12.110304789550073
2016-07-23,7.785195936139332
2016-07-24,6.055152394775036
2016-07-25,5.190130624092888
2016-07-26,6.055152394775036
2016-07-27,7.785195936139332
2016-07-28,9.515239477503629
2016-07-29,6.055152394775036
2016-07-30,7.785195936139332
2016-07-31,12.97532656023222
2016-08-01,12.110304789550073
2016-08-02,23.355587808417997
2016-08-03,47.57619738751814
2016-08-04,32.00580551523948
2016-08-05,27.680696661828737
2016-08-06,25.95065312046444
2016-08-07,10.380261248185777
2016-08-08,9.515239477503629
2016-08-09,19.030478955007258
2016-08-10,45.84615384615385
2016-08-11,10.380261248185777
2016-08-12,6.920174165457184
2016-08-13,5.190130624092888
2016-08-14,4.3251088534107405
2016-08-15,5.190130624092888
2016-08-16,4.3251088534107405
2016-08-17,3.460087082728592
2016-08-18,5.190130624092888
2016-08-19,4.3251088534107405
2016-08-20,3.460087082728592
2016-08-21,4.3251088534107405
2016-08-22,3.460087082728592
2016-08-23,3.460087082728592
2016-08-24,2.595065312046444
2016-08-25,3.460087082728592
2016-08-26,4.3251088534107405
2016-08-27,3.460087082728592
2016-08-28,3.460087082728592
2016-08-29,3.460087082728592
2016-08-30,2.595065312046444
2016-08-31,3.460087082728592
2016-09-01,2.595065312046444
2016-09-02,2.595065312046444
2016-09-03,3.460087082728592
2016-09-04,2.595065312046444
2016-09-05,1.730043541364296
2016-09-06,2.595065312046444
2016-09-07,3.460087082728592
2016-09-08,3.460087082728592
2016-09-09,3.460087082728592
2016-09-10,2.595065312046444
2016-09-11,2.595065312046444
2016-09-12,2.595065312046444
2016-09-13,3.460087082728592
2016-09-14,2.595065312046444
2016-09-15,3.460087082728592
2016-09-16,3.460087082728592
2016-09-17,2.595065312046444
2016-09-18,2.595065312046444
2016-09-19,2.595065312046444
2016-09-20,4.3251088534107405
2016-09-21,2.595065312046444
2016-09-22,3.460087082728592
2016-09-23,3.460087082728592
2016-09-24,3.460087082728592
2016-09-25,3.460087082728592
2016-09-26,3.460087082728592
2016-09-27,6.055152394775036
2016-09-28,10.380261248185777
2016-09-29,7.785195936139332
2016-09-30,6.055152394775036
2016-10-01,4.66255442670537
2016-10-02,4.16255442670537
2016-10-03,4.595065312046444
2016-10-04,5.095065312046444
2016-10-05,5.595065312046444
2016-10-06,6.027576197387518
2016-10-07,8.82510885341074
2016-10-08,75.69593613933236
2016-10-09,33.367924528301884
2016-10-10,86.2510885341074
2016-10-11,71.33091436865021
2016-10-12,50.58563134978229
2016-10-13,23.677793904208997
2016-10-14,21.380261248185775
2016-10-15,16.717706821480405
2016-10-16,14.785195936139331
2016-10-17,14.852685050798257
2016-10-18,15.285195936139331
2016-10-19,9.690130624092888
2016-10-20,19.515239477503627
2016-10-21,11.555152394775035
2016-10-22,9.257619738751814
2016-10-23,7.392597968069666
2016-10-24,8.82510885341074
2016-10-25,7.460087082728592
2016-10-26,8.392597968069666
2016-10-27,7.892597968069666
2016-10-28,9.257619738751814
2016-10-29,7.892597968069666
2016-10-30,7.460087082728592
2016-10-31,7.392597968069666
2016-11-01,11.122641509433961
