date,donald trump traitor
2016-12-19,0.0
2016-12-20,34.320388349514566
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,0.0
2016-12-24,43.14563106796116
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,41.18446601941748
2017-01-01,42.16504854368932
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,33.33980582524272
2017-01-11,32.359223300970875
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,38.24271844660194
2017-01-15,37.262135922330096
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,33.33980582524272
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,32.359223300970875
2017-01-24,0.0
2017-01-25,32.359223300970875
2017-01-26,98.05825242718447
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,37.262135922330096
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,32.359223300970875
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,31.37864077669903
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,37.262135922330096
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,65.69902912621359
2017-02-16,0.0
2017-02-17,34.320388349514566
2017-02-18,0.0
2017-02-19,38.24271844660194
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,33.33980582524272
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,16.179611650485437
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,14.5
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,28.189320388349515
2017-03-08,0.0
2017-03-09,41.67961165048544
2017-03-10,42.66990291262136
2017-03-11,32.640776699029125
2017-03-12,51.271844660194176
2017-03-13,12.5
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,13.0
2017-03-18,0.0
2017-03-19,32.640776699029125
2017-03-20,0.0
2017-03-21,97.55825242718447
2017-03-22,28.189320388349515
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,15.0
2017-03-26,0.0
2017-03-27,16.179611650485437
2017-03-28,28.679611650485437
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,34.12135922330097
2017-04-02,0.0
2017-04-03,26.0
2017-04-04,0.0
2017-04-05,26.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-08,0.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,31.0
2017-04-16,0.0
2017-04-17,27.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,26.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,30.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,25.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,30.0
2017-05-14,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,51.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,30.0
2017-05-22,0.0
2017-05-23,26.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-27,31.0
2017-05-28,32.0
2017-05-29,27.0
2017-05-30,0.0
2017-05-31,26.0
2017-06-01,79.0
2017-06-02,27.0
2017-06-03,0.0
