date,weiner anthony
2016-12-10,0.7531806615776081
2016-12-11,0.7531806615776081
2016-12-12,0.7531806615776081
2016-12-13,0.7531806615776081
2016-12-14,1.5063613231552162
2016-12-15,0.7531806615776081
2016-12-16,1.5063613231552162
2016-12-17,0.7531806615776081
2016-12-18,0.7531806615776081
2016-12-19,0.7531806615776081
2016-12-20,1.5063613231552162
2016-12-21,1.5063613231552162
2016-12-22,1.5063613231552162
2016-12-23,0.7531806615776081
2016-12-24,0.7531806615776081
2016-12-25,0.7531806615776081
2016-12-26,0.7531806615776081
2016-12-27,0.7531806615776081
2016-12-28,0.7531806615776081
2016-12-29,1.5063613231552162
2016-12-30,0.7531806615776081
2016-12-31,0.7531806615776081
2017-01-01,1.5063613231552162
2017-01-02,0.7531806615776081
2017-01-03,0.7531806615776081
2017-01-04,0.7531806615776081
2017-01-05,0.7531806615776081
2017-01-06,0.7531806615776081
2017-01-07,0.7531806615776081
2017-01-08,0.7531806615776081
2017-01-09,0.7531806615776081
2017-01-10,0.7531806615776081
2017-01-11,0.7531806615776081
2017-01-12,0.7531806615776081
2017-01-13,0.7531806615776081
2017-01-14,0.7531806615776081
2017-01-15,1.5063613231552162
2017-01-16,3.0127226463104324
2017-01-17,1.5063613231552162
2017-01-18,0.7531806615776081
2017-01-19,0.7531806615776081
2017-01-20,1.5063613231552162
2017-01-21,1.5063613231552162
2017-01-22,0.7531806615776081
2017-01-23,0.7531806615776081
2017-01-24,0.7531806615776081
2017-01-25,0.7531806615776081
2017-01-26,0.7531806615776081
2017-01-27,0.7531806615776081
2017-01-28,0.7531806615776081
2017-01-29,0.7531806615776081
2017-01-30,0.7531806615776081
2017-01-31,0.7531806615776081
2017-02-01,3.0127226463104324
2017-02-02,2.259541984732824
2017-02-03,1.5063613231552162
2017-02-04,1.5063613231552162
2017-02-05,3.0127226463104324
2017-02-06,0.7531806615776081
2017-02-07,1.5063613231552162
2017-02-08,0.7531806615776081
2017-02-09,0.7531806615776081
2017-02-10,0.7531806615776081
2017-02-11,0.7531806615776081
2017-02-12,0.7531806615776081
2017-02-13,0.7531806615776081
2017-02-14,0.7531806615776081
2017-02-15,0.7531806615776081
2017-02-16,0.7531806615776081
2017-02-17,0.0
2017-02-18,0.7531806615776081
2017-02-19,0.7531806615776081
2017-02-20,1.5063613231552162
2017-02-21,0.7531806615776081
2017-02-22,0.7531806615776081
2017-02-23,0.7531806615776081
2017-02-24,0.7531806615776081
2017-02-25,1.5063613231552162
2017-02-26,0.7531806615776081
2017-02-27,0.0
2017-02-28,0.7531806615776081
2017-03-01,0.7427198190556968
2017-03-02,0.5596550749222504
2017-03-03,0.7427198190556968
2017-03-04,1.1088493073225896
2017-03-05,0.9257845631891433
2017-03-06,0.7427198190556968
2017-03-07,0.7427198190556968
2017-03-08,0.7427198190556968
2017-03-09,0.7427198190556968
2017-03-10,0.7427198190556968
2017-03-11,0.7427198190556968
2017-03-12,0.7427198190556968
2017-03-13,0.7427198190556968
2017-03-14,0.9257845631891433
2017-03-15,0.5596550749222504
2017-03-16,0.5596550749222504
2017-03-17,0.7427198190556968
2017-03-18,0.7427198190556968
2017-03-19,0.7427198190556968
2017-03-20,1.6685043822448402
2017-03-21,0.9257845631891433
2017-03-22,0.7427198190556968
2017-03-23,0.7427198190556968
2017-03-24,0.7427198190556968
2017-03-25,0.7427198190556968
2017-03-26,1.3023748939779471
2017-03-27,1.4854396381113937
2017-03-28,1.3023748939779471
2017-03-29,0.7427198190556968
2017-03-30,0.7427198190556968
2017-03-31,0.5596550749222504
2017-04-01,0.3661294882668928
2017-04-02,0.3661294882668928
2017-04-03,0.3661294882668928
2017-04-04,0.3661294882668928
2017-04-05,0.3661294882668928
2017-04-06,0.3661294882668928
2017-04-07,0.3661294882668928
2017-04-08,0.3661294882668928
2017-04-09,0.3661294882668928
2017-04-10,0.3661294882668928
2017-04-11,0.3661294882668928
2017-04-12,0.3661294882668928
2017-04-13,0.3661294882668928
2017-04-14,0.3661294882668928
2017-04-15,0.3661294882668928
2017-04-16,0.3661294882668928
2017-04-17,0.3661294882668928
2017-04-18,0.3661294882668928
2017-04-19,0.7322589765337856
2017-04-20,0.7322589765337856
2017-04-21,0.7322589765337856
2017-04-22,0.3661294882668928
2017-04-23,0.3661294882668928
2017-04-24,0.3661294882668928
2017-04-25,0.3661294882668928
2017-04-26,0.3661294882668928
2017-04-27,0.3661294882668928
2017-04-28,0.3661294882668928
2017-04-29,0.3661294882668928
2017-04-30,0.7322589765337856
2017-05-01,0.7322589765337856
2017-05-02,0.3661294882668928
2017-05-03,2.1967769296013566
2017-05-04,1.4645179530675712
2017-05-05,0.7322589765337856
2017-05-06,0.7322589765337856
2017-05-07,0.7322589765337856
2017-05-08,0.3661294882668928
2017-05-09,1.4645179530675712
2017-05-10,1.4645179530675712
2017-05-11,0.7322589765337856
2017-05-12,0.7322589765337856
2017-05-13,0.7322589765337856
2017-05-14,0.3661294882668928
2017-05-15,0.7322589765337856
2017-05-16,0.3661294882668928
2017-05-17,0.3661294882668928
2017-05-18,0.7322589765337856
2017-05-19,36.612948826689276
2017-05-20,25.2629346904156
