date,donald trump dementia
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,27.925925925925924
2017-01-09,24.555555555555554
2017-01-10,12.037037037037036
2017-01-11,36.11111111111111
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,12.518518518518517
2017-01-21,27.925925925925924
2017-01-22,13.962962962962962
2017-01-23,35.629629629629626
2017-01-24,23.59259259259259
2017-01-25,24.074074074074073
2017-01-26,36.59259259259259
2017-01-27,0.0
2017-01-28,27.925925925925924
2017-01-29,13.962962962962962
2017-01-30,48.148148148148145
2017-01-31,24.074074074074073
2017-02-01,36.11111111111111
2017-02-02,23.59259259259259
2017-02-03,12.518518518518517
2017-02-04,13.962962962962962
2017-02-05,26.962962962962962
2017-02-06,23.59259259259259
2017-02-07,0.0
2017-02-08,23.59259259259259
2017-02-09,35.629629629629626
2017-02-10,12.518518518518517
2017-02-11,0.0
2017-02-12,13.962962962962962
2017-02-13,11.555555555555555
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,12.037037037037036
2017-02-17,38.03703703703704
2017-02-18,13.962962962962962
2017-02-19,13.962962962962962
2017-02-20,12.037037037037036
2017-02-21,12.037037037037036
2017-02-22,47.666666666666664
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,13.962962962962962
2017-02-26,27.444444444444443
2017-02-27,12.037037037037036
2017-02-28,12.037037037037036
2017-03-01,7.486386386386387
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,12.931031031031033
2017-03-05,12.590740740740742
2017-03-06,18.70165165165165
2017-03-07,3.7431931931931937
2017-03-08,9.761711711711712
2017-03-09,3.7431931931931937
2017-03-10,3.7431931931931937
2017-03-11,4.083483483483484
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,9.761711711711712
2017-03-17,10.002452452452452
2017-03-18,6.7407407407407405
2017-03-19,4.083483483483484
2017-03-20,6.018518518518518
2017-03-21,0.0
2017-03-22,3.7431931931931937
2017-03-23,7.486386386386387
2017-03-24,23.102002002002003
2017-03-25,8.84754754754755
2017-03-26,4.423773773773775
2017-03-27,6.018518518518518
2017-03-28,6.018518518518518
2017-03-29,9.761711711711712
2017-03-30,9.761711711711712
2017-03-31,24.803453453453454
2017-04-01,34.45650650650651
2017-04-02,8.84754754754755
2017-04-03,11.569869869869871
2017-04-04,10.889289289289291
2017-04-05,14.972772772772775
2017-04-06,0.0
2017-04-07,8.166966966966967
2017-04-08,0.0
2017-04-09,18.37567567567568
2017-04-10,23.139739739739742
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,19.73683683683684
2017-04-14,8.84754754754755
2017-04-15,0.0
2017-04-16,13.611611611611615
2017-04-17,8.166966966966967
2017-04-18,14.972772772772775
2017-04-19,11.569869869869871
2017-04-20,7.486386386386387
2017-04-21,23.820320320320324
2017-04-22,8.84754754754755
2017-04-23,8.84754754754755
2017-04-24,19.05625625625626
2017-04-25,10.889289289289291
2017-04-26,7.486386386386387
2017-04-27,14.972772772772775
2017-04-28,8.166966966966967
2017-04-29,0.0
2017-04-30,13.611611611611615
2017-05-01,8.166966966966967
2017-05-02,44.91831831831833
2017-05-03,14.972772772772775
2017-05-04,14.972772772772775
2017-05-05,23.139739739739742
2017-05-06,8.84754754754755
2017-05-07,12.931031031031033
2017-05-08,7.486386386386387
2017-05-09,7.486386386386387
2017-05-10,11.569869869869871
2017-05-11,7.486386386386387
2017-05-12,15.653353353353356
2017-05-13,17.6950950950951
2017-05-14,8.84754754754755
2017-05-15,0.0
2017-05-16,22.459159159159164
2017-05-17,26.542642642642647
2017-05-18,22.459159159159164
2017-05-19,23.820320320320324
2017-05-20,0.0
2017-05-21,22.459159159159164
2017-05-22,68.05805805805807
2017-05-23,11.569869869869871
2017-05-24,14.972772772772775
2017-05-25,15.653353353353356
2017-05-26,12.250450450450453
2017-05-27,18.37567567567568
2017-05-28,36.75135135135136
2017-05-29,16.333933933933935
2017-05-30,19.05625625625626
2017-05-31,26.542642642642647
2017-06-01,15.653353353353356
2017-06-02,19.73683683683684
2017-06-03,8.84754754754755
