date,golf
2016-05-01,63.0
2016-05-02,60.0
2016-05-03,57.0
2016-05-04,57.0
2016-05-05,60.0
2016-05-06,62.0
2016-05-07,63.0
2016-05-08,65.0
2016-05-09,63.0
2016-05-10,58.0
2016-05-11,58.0
2016-05-12,62.0
2016-05-13,65.0
2016-05-14,72.0
2016-05-15,73.0
2016-05-16,65.0
2016-05-17,60.0
2016-05-18,60.0
2016-05-19,63.0
2016-05-20,65.0
2016-05-21,69.0
2016-05-22,74.0
2016-05-23,65.0
2016-05-24,61.0
2016-05-25,61.0
2016-05-26,64.0
2016-05-27,65.0
2016-05-28,68.0
2016-05-29,73.0
2016-05-30,68.0
2016-05-31,68.0
2016-06-01,70.0
2016-06-02,69.0
2016-06-03,69.0
2016-06-04,73.0
2016-06-05,76.0
2016-06-06,68.0
2016-06-07,63.0
2016-06-08,63.0
2016-06-09,64.0
2016-06-10,66.0
2016-06-11,68.0
2016-06-12,71.0
2016-06-13,69.0
2016-06-14,66.0
2016-06-15,68.0
2016-06-16,77.0
2016-06-17,78.0
2016-06-18,89.0
2016-06-19,99.0
2016-06-20,75.0
2016-06-21,63.0
2016-06-22,63.0
2016-06-23,63.0
2016-06-24,65.0
2016-06-25,71.0
2016-06-26,71.0
2016-06-27,63.0
2016-06-28,63.0
2016-06-29,63.0
2016-06-30,64.0
2016-07-01,67.0
2016-07-02,70.0
2016-07-03,78.0
2016-07-04,68.0
2016-07-05,64.0
2016-07-06,63.0
2016-07-07,65.0
2016-07-08,66.0
2016-07-09,72.0
2016-07-10,72.0
2016-07-11,68.0
2016-07-12,66.0
2016-07-13,67.0
2016-07-14,76.0
2016-07-15,77.0
2016-07-16,85.0
2016-07-17,99.0
2016-07-18,71.0
2016-07-19,65.0
2016-07-20,64.0
2016-07-21,65.0
2016-07-22,65.0
2016-07-23,71.0
2016-07-24,72.0
2016-07-25,67.0
2016-07-26,66.0
2016-07-27,63.0
2016-07-28,68.0
2016-07-29,71.0
2016-07-30,77.0
2016-07-31,86.0
2016-08-01,71.0
2016-08-02,65.0
2016-08-03,65.0
2016-08-04,71.0
2016-08-05,69.0
2016-08-06,72.0
2016-08-07,72.0
2016-08-08,66.0
2016-08-09,64.0
2016-08-10,63.0
2016-08-11,85.0
2016-08-12,79.0
2016-08-13,86.0
2016-08-14,100.0
2016-08-15,70.0
2016-08-16,63.0
2016-08-17,67.0
2016-08-18,70.0
2016-08-19,78.0
2016-08-20,88.0
2016-08-21,71.0
2016-08-22,63.0
2016-08-23,59.0
2016-08-24,58.0
2016-08-25,60.0
2016-08-26,62.0
2016-08-27,65.0
2016-08-28,67.0
2016-08-29,60.0
2016-08-30,57.0
2016-08-31,56.0
2016-09-01,55.0
2016-09-02,59.0
2016-09-03,63.0
2016-09-04,68.0
2016-09-05,63.0
2016-09-06,57.0
2016-09-07,54.0
2016-09-08,56.0
2016-09-09,58.0
2016-09-10,61.0
2016-09-11,60.0
2016-09-12,58.0
2016-09-13,54.0
2016-09-14,53.0
2016-09-15,54.0
2016-09-16,57.0
2016-09-17,59.0
2016-09-18,57.0
2016-09-19,54.0
2016-09-20,51.0
2016-09-21,50.0
2016-09-22,53.0
