date,hate
2016-05-01,59.694456569183764
2016-05-02,56.939327804452205
2016-05-03,52.34744652989961
2016-05-04,54.184199039720646
2016-05-05,56.939327804452205
2016-05-06,57.857704059362725
2016-05-07,58.776080314273244
2016-05-08,57.857704059362725
2016-05-09,53.265822784810126
2016-05-10,54.184199039720646
2016-05-11,54.184199039720646
2016-05-12,55.102575294631166
2016-05-13,54.184199039720646
2016-05-14,57.857704059362725
2016-05-15,57.857704059362725
2016-05-16,51.42907027498909
2016-05-17,54.184199039720646
2016-05-18,52.34744652989961
2016-05-19,55.102575294631166
2016-05-20,56.020951549541685
2016-05-21,61.5312090790048
2016-05-22,65.20471409864687
2016-05-23,55.102575294631166
2016-05-24,57.857704059362725
2016-05-25,57.857704059362725
2016-05-26,59.694456569183764
2016-05-27,58.776080314273244
2016-05-28,61.5312090790048
2016-05-29,64.28633784373636
2016-05-30,56.939327804452205
2016-05-31,56.020951549541685
2016-06-01,56.939327804452205
2016-06-02,57.857704059362725
2016-06-03,56.939327804452205
2016-06-04,62.44958533391532
2016-06-05,64.28633784373636
2016-06-06,55.102575294631166
2016-06-07,54.184199039720646
2016-06-08,56.939327804452205
2016-06-09,56.939327804452205
2016-06-10,58.776080314273244
2016-06-11,59.694456569183764
2016-06-12,75.3068529026626
2016-06-13,71.63334788302052
2016-06-14,64.28633784373636
2016-06-15,60.61283282409428
2016-06-16,58.776080314273244
2016-06-17,59.694456569183764
2016-06-18,62.44958533391532
2016-06-19,64.28633784373636
2016-06-20,57.857704059362725
2016-06-21,55.102575294631166
2016-06-22,57.857704059362725
2016-06-23,56.939327804452205
2016-06-24,56.020951549541685
2016-06-25,60.61283282409428
2016-06-26,66.1230903535574
2016-06-27,57.857704059362725
2016-06-28,61.5312090790048
2016-06-29,56.939327804452205
2016-06-30,57.857704059362725
2016-07-01,56.020951549541685
2016-07-02,62.44958533391532
2016-07-03,66.1230903535574
2016-07-04,56.020951549541685
2016-07-05,56.020951549541685
2016-07-06,58.776080314273244
2016-07-07,57.857704059362725
2016-07-08,69.79659537319948
2016-07-09,70.71497162810999
2016-07-10,69.79659537319948
2016-07-11,61.5312090790048
2016-07-12,59.694456569183764
2016-07-13,59.694456569183764
2016-07-14,59.694456569183764
2016-07-15,64.28633784373636
2016-07-16,66.1230903535574
2016-07-17,68.87821911828895
2016-07-18,57.857704059362725
2016-07-19,63.36796158882584
2016-07-20,63.36796158882584
2016-07-21,64.28633784373636
2016-07-22,65.20471409864687
2016-07-23,76.22522915757311
2016-07-24,67.95984286337844
2016-07-25,61.5312090790048
2016-07-26,63.36796158882584
2016-07-27,68.87821911828895
2016-07-28,64.28633784373636
2016-07-29,65.20471409864687
2016-07-30,67.95984286337844
2016-07-31,68.87821911828895
2016-08-01,59.694456569183764
2016-08-02,58.776080314273244
2016-08-03,57.857704059362725
2016-08-04,58.776080314273244
2016-08-05,60.61283282409428
2016-08-06,66.1230903535574
2016-08-07,67.04146660846791
2016-08-08,56.939327804452205
2016-08-09,56.020951549541685
2016-08-10,58.776080314273244
2016-08-11,57.857704059362725
2016-08-12,59.694456569183764
2016-08-13,66.1230903535574
2016-08-14,74.38847664775207
2016-08-15,62.44958533391532
2016-08-16,59.694456569183764
2016-08-17,58.776080314273244
2016-08-18,57.857704059362725
2016-08-19,59.694456569183764
2016-08-20,67.95984286337844
2016-08-21,67.95984286337844
2016-08-22,58.776080314273244
2016-08-23,58.776080314273244
2016-08-24,57.857704059362725
2016-08-25,61.5312090790048
2016-08-26,59.694456569183764
2016-08-27,66.1230903535574
2016-08-28,68.87821911828895
