date,donald trump scandal
2016-05-01,2.0
2016-05-02,3.0
2016-05-03,3.0
2016-05-04,4.0
2016-05-05,3.0
2016-05-06,8.0
2016-05-07,7.0
2016-05-08,6.0
2016-05-09,8.0
2016-05-10,3.0
2016-05-11,5.0
2016-05-12,6.0
2016-05-13,2.0
2016-05-14,5.0
2016-05-15,3.0
2016-05-16,5.0
2016-05-17,5.0
2016-05-18,4.0
2016-05-19,4.0
2016-05-20,3.0
2016-05-21,4.0
2016-05-22,3.0
2016-05-23,2.0
2016-05-24,2.0
2016-05-25,3.0
2016-05-26,5.0
2016-05-27,6.0
2016-05-28,3.0
2016-05-29,4.0
2016-05-30,2.0
2016-05-31,4.0
2016-06-01,4.0
2016-06-02,3.0
2016-06-03,3.0
2016-06-04,5.0
2016-06-05,3.0
2016-06-06,4.0
2016-06-07,4.0
2016-06-08,4.0
2016-06-09,5.0
2016-06-10,2.0
2016-06-11,4.0
2016-06-12,4.0
2016-06-13,3.0
2016-06-14,7.0
2016-06-15,3.0
2016-06-16,5.0
2016-06-17,2.0
2016-06-18,2.0
2016-06-19,3.0
2016-06-20,2.0
2016-06-21,4.0
2016-06-22,4.0
2016-06-23,4.0
2016-06-24,6.0
2016-06-25,3.0
2016-06-26,4.0
2016-06-27,2.0
2016-06-28,4.0
2016-06-29,2.0
2016-06-30,3.0
2016-07-01,2.0
2016-07-02,3.0
2016-07-03,3.0
2016-07-04,4.0
2016-07-05,5.0
2016-07-06,4.0
2016-07-07,2.0
2016-07-08,4.0
2016-07-09,3.0
2016-07-10,3.0
2016-07-11,3.0
2016-07-12,4.0
2016-07-13,3.0
2016-07-14,3.0
2016-07-15,3.0
2016-07-16,2.0
2016-07-17,4.0
2016-07-18,2.0
2016-07-19,6.0
2016-07-20,9.0
2016-07-21,6.0
2016-07-22,6.0
2016-07-23,9.0
2016-07-24,8.0
2016-07-25,11.0
2016-07-26,8.0
2016-07-27,10.0
2016-07-28,13.0
2016-07-29,5.0
2016-07-30,7.0
2016-07-31,8.0
2016-08-01,7.0
2016-08-02,8.0
2016-08-03,5.0
2016-08-04,6.0
2016-08-05,7.0
2016-08-06,4.0
2016-08-07,5.0
2016-08-08,3.0
2016-08-09,2.0
2016-08-10,4.0
2016-08-11,2.0
2016-08-12,2.0
2016-08-13,5.0
2016-08-14,3.0
2016-08-15,4.0
2016-08-16,2.0
2016-08-17,2.0
2016-08-18,3.0
2016-08-19,3.0
2016-08-20,3.0
2016-08-21,0.0
2016-08-22,2.0
2016-08-23,6.0
2016-08-24,6.0
2016-08-25,5.0
2016-08-26,2.0
2016-08-27,3.0
2016-08-28,4.0
2016-08-29,5.0
2016-08-30,5.0
2016-08-31,3.0
2016-09-01,6.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,3.0
2016-09-05,2.0
2016-09-06,4.0
2016-09-07,5.0
2016-09-08,5.0
2016-09-09,6.0
2016-09-10,5.0
2016-09-11,2.0
2016-09-12,5.0
2016-09-13,5.0
2016-09-14,4.0
2016-09-15,4.0
2016-09-16,5.0
2016-09-17,2.0
2016-09-18,6.0
2016-09-19,3.0
2016-09-20,3.0
2016-09-21,3.0
2016-09-22,4.0
2016-09-23,3.0
2016-09-24,1.0
2016-09-25,3.0
2016-09-26,6.0
2016-09-27,12.0
2016-09-28,8.0
2016-09-29,7.0
2016-09-30,11.0
2016-10-01,9.483844911147012
2016-10-02,4.991922455573506
2016-10-03,4.490306946688207
2016-10-04,5.490306946688207
2016-10-05,4.991922455573506
2016-10-06,5.490306946688207
2016-10-07,12.977382875605816
2016-10-08,85.8642972536349
2016-10-09,99.83844911147011
2016-10-10,83.86752827140549
2016-10-11,33.94345718901454
2016-10-12,22.464458804523424
2016-10-13,24.96122778675283
2016-10-14,19.46122778675283
2016-10-15,17.96930533117932
2016-10-16,12.482229402261712
2016-10-17,11.482229402261712
2016-10-18,11.482229402261712
2016-10-19,8.982229402261712
2016-10-20,16.474151857835217
2016-10-21,8.985460420032311
2016-10-22,5.991922455573506
2016-10-23,5.990306946688207
2016-10-24,8.488691437802908
2016-10-25,11.978998384491113
2016-10-26,4.993537964458804
2016-10-27,7.488691437802908
2016-10-28,10.982229402261712
2016-10-29,15.974151857835217
2016-10-30,11.483844911147012
2016-10-31,13.474151857835217
2016-11-01,13.978998384491113
2016-11-02,14.951534733441033
2016-11-03,12.957996768982229
2016-11-04,12.957996768982229
2016-11-05,11.961227786752827
2016-11-06,12.957996768982229
2016-11-07,13.954765751211632
2016-11-08,22.92568659127625
2016-11-09,91.702746365105
2016-11-10,43.8578352180937
2016-11-11,25.915993537964457
2016-11-12,20.932148626817447
2016-11-13,14.951534733441033
2016-11-14,9.967689822294023
2016-11-15,10.964458804523424
2016-11-16,11.961227786752827
2016-11-17,6.977382875605816
2016-11-18,8.97092084006462
2016-11-19,9.967689822294023
2016-11-20,3.987075928917609
2016-11-21,3.987075928917609
2016-11-22,2.990306946688207
2016-11-23,3.987075928917609
2016-11-24,1.9935379644588045
2016-11-25,1.9935379644588045
2016-11-26,0.9967689822294022
2016-11-27,1.9935379644588045
2016-11-28,1.9935379644588045
2016-11-29,3.987075928917609
2016-11-30,3.987075928917609
2016-12-01,1.9935379644588045
2016-12-02,2.990306946688207
2016-12-03,3.987075928917609
2016-12-04,1.9935379644588045
2016-12-05,2.990306946688207
2016-12-06,2.990306946688207
2016-12-07,1.9935379644588045
2016-12-08,2.990306946688207
2016-12-09,2.990306946688207
2016-12-10,0.9967689822294022
2016-12-11,5.980613893376414
2016-12-12,1.9935379644588045
2016-12-13,1.9935379644588045
2016-12-14,1.9935379644588045
2016-12-15,1.9935379644588045
2016-12-16,1.9935379644588045
2016-12-17,2.990306946688207
2016-12-18,1.9935379644588045
2016-12-19,1.9935379644588045
2016-12-20,1.9935379644588045
2016-12-21,0.0
2016-12-22,0.9967689822294022
2016-12-23,0.9967689822294022
2016-12-24,3.987075928917609
2016-12-25,0.9967689822294022
2016-12-26,1.9935379644588045
2016-12-27,1.9935379644588045
2016-12-28,0.9967689822294022
2016-12-29,0.9967689822294022
2016-12-30,3.987075928917609
2016-12-31,1.9935379644588045
2017-01-01,2.990306946688207
2017-01-02,1.9935379644588045
2017-01-03,1.9935379644588045
2017-01-04,0.9967689822294022
2017-01-05,1.9935379644588045
2017-01-06,1.9935379644588045
2017-01-07,0.9967689822294022
2017-01-08,1.9935379644588045
2017-01-09,1.9935379644588045
2017-01-10,5.980613893376414
2017-01-11,41.864297253634895
2017-01-12,23.922455573505655
2017-01-13,9.967689822294023
2017-01-14,7.974151857835218
2017-01-15,27.909531502423263
2017-01-16,17.94184168012924
2017-01-17,8.97092084006462
2017-01-18,7.974151857835218
2017-01-19,7.974151857835218
2017-01-20,19.935379644588046
2017-01-21,10.964458804523424
2017-01-22,9.967689822294023
2017-01-23,7.974151857835218
2017-01-24,4.983844911147012
2017-01-25,5.980613893376414
2017-01-26,6.977382875605816
2017-01-27,8.97092084006462
2017-01-28,4.983844911147012
2017-01-29,3.987075928917609
2017-01-30,3.987075928917609
2017-01-31,5.980613893376414
2017-02-01,5.980613893376414
2017-02-02,2.990306946688207
2017-02-03,5.980613893376414
2017-02-04,4.983844911147012
2017-02-05,3.987075928917609
2017-02-06,2.990306946688207
2017-02-07,3.987075928917609
2017-02-08,1.9935379644588045
2017-02-09,2.990306946688207
2017-02-10,5.980613893376414
2017-02-11,0.0
2017-02-12,3.987075928917609
2017-02-13,1.9935379644588045
2017-02-14,3.987075928917609
2017-02-15,5.980613893376414
2017-02-16,4.983844911147012
2017-02-17,4.983844911147012
2017-02-18,3.987075928917609
2017-02-19,1.9935379644588045
2017-02-20,1.9935379644588045
2017-02-21,1.9935379644588045
2017-02-22,1.9935379644588045
2017-02-23,2.990306946688207
2017-02-24,1.9935379644588045
2017-02-25,5.980613893376414
2017-02-26,2.990306946688207
2017-02-27,2.990306946688207
2017-02-28,1.9935379644588045
2017-03-01,2.528389613459947
2017-03-02,3.5980929114622326
2017-03-03,2.9416840695062847
2017-03-04,3.209109894006856
2017-03-05,2.7958154379605187
2017-03-06,4.047854525395012
2017-03-07,1.0332361401158439
2017-03-08,1.0332361401158439
2017-03-09,2.309586666141298
2017-03-10,5.1783364198747
2017-03-11,2.917372630915324
2017-03-12,3.2941999290752197
2017-03-13,2.309586666141298
2017-03-14,1.5680877891169864
2017-03-15,3.342822806257142
2017-03-16,2.5527010520509084
2017-03-17,3.4765357185074275
2017-03-18,2.7107254028921552
2017-03-19,3.415757122030025
2017-03-20,3.0997084203475316
2017-03-21,2.5527010520509084
2017-03-22,3.0510855431656094
2017-03-23,3.3063556483707
2017-03-24,2.8201268765514795
2017-03-25,1.628866385594389
2017-03-26,3.184798455415895
2017-03-27,1.7747350171401552
2017-03-28,1.2763505260254542
2017-03-29,4.096477402576934
2017-03-30,1.5680877891169864
2017-03-31,2.2001851924819733
2017-04-01,2.8930611923243625
2017-04-02,3.111864139643012
2017-04-03,1.0697032980022854
2017-04-04,2.1394065960045707
2017-04-05,1.0697032980022854
2017-04-06,1.0697032980022854
2017-04-07,2.236652350368415
2017-04-08,0.0
2017-04-09,1.2641948067299735
2017-04-10,2.236652350368415
2017-04-11,4.376058946372986
2017-04-12,2.236652350368415
2017-04-13,0.0
2017-04-14,4.376058946372986
2017-04-15,2.6256353678237914
2017-04-16,1.3614405610938178
2017-04-17,1.7504235785491942
2017-04-18,2.1394065960045707
2017-04-19,1.65317782418535
2017-04-20,3.3063556483707
2017-04-21,1.1669490523661294
2017-04-22,2.528389613459947
2017-04-23,0.0
2017-04-24,1.65317782418535
2017-04-25,1.0697032980022854
2017-04-26,2.1394065960045707
2017-04-27,1.0697032980022854
2017-04-28,3.889830174553765
2017-04-29,2.528389613459947
2017-04-30,1.9449150872768826
2017-05-01,1.1669490523661294
2017-05-02,1.0697032980022854
2017-05-03,2.6256353678237914
2017-05-04,1.0697032980022854
2017-05-05,1.0697032980022854
2017-05-06,1.2641948067299735
2017-05-07,3.792584420189921
2017-05-08,2.7228811221876357
