date,hillary supporters
2016-05-01,0.61125
2016-05-02,1.2225
2016-05-03,1.42625
2016-05-04,2.8525
2016-05-05,1.63
2016-05-06,1.42625
2016-05-07,2.0374999999999996
2016-05-08,1.2225
2016-05-09,2.0374999999999996
2016-05-10,1.2225
2016-05-11,1.2225
2016-05-12,1.0187499999999998
2016-05-13,0.815
2016-05-14,1.2225
2016-05-15,0.815
2016-05-16,1.8337499999999998
2016-05-17,1.8337499999999998
2016-05-18,2.445
2016-05-19,2.24125
2016-05-20,1.0187499999999998
2016-05-21,1.42625
2016-05-22,1.0187499999999998
2016-05-23,0.815
2016-05-24,1.2225
2016-05-25,1.0187499999999998
2016-05-26,1.0187499999999998
2016-05-27,1.0187499999999998
2016-05-28,1.0187499999999998
2016-05-29,0.815
2016-05-30,1.2225
2016-05-31,0.815
2016-06-01,1.0187499999999998
2016-06-02,1.0187499999999998
2016-06-03,1.42625
2016-06-04,1.8337499999999998
2016-06-05,2.0374999999999996
2016-06-06,1.2225
2016-06-07,3.05625
2016-06-08,5.297499999999999
2016-06-09,4.4825
2016-06-10,4.074999999999999
2016-06-11,2.24125
2016-06-12,1.8337499999999998
2016-06-13,1.42625
2016-06-14,1.63
2016-06-15,1.42625
2016-06-16,1.0187499999999998
2016-06-17,2.0374999999999996
2016-06-18,1.0187499999999998
2016-06-19,1.2225
2016-06-20,0.815
2016-06-21,1.42625
2016-06-22,1.2225
2016-06-23,1.63
2016-06-24,1.63
2016-06-25,1.2225
2016-06-26,1.42625
2016-06-27,1.0187499999999998
2016-06-28,1.8337499999999998
2016-06-29,1.63
2016-06-30,0.815
2016-07-01,0.815
2016-07-02,1.0187499999999998
2016-07-03,0.815
2016-07-04,1.0187499999999998
2016-07-05,1.2225
2016-07-06,2.6487499999999997
2016-07-07,1.8337499999999998
2016-07-08,1.2225
2016-07-09,1.42625
2016-07-10,0.20375
2016-07-11,0.61125
2016-07-12,2.6487499999999997
2016-07-13,3.05625
2016-07-14,2.24125
2016-07-15,1.0187499999999998
2016-07-16,1.2225
2016-07-17,1.2225
2016-07-18,1.0187499999999998
2016-07-19,2.0374999999999996
2016-07-20,1.8337499999999998
2016-07-21,2.445
2016-07-22,2.8525
2016-07-23,3.26
2016-07-24,3.4637499999999997
2016-07-25,6.52
2016-07-26,10.594999999999999
2016-07-27,7.7425
2016-07-28,6.927499999999999
2016-07-29,9.57625
2016-07-30,3.87125
2016-07-31,3.87125
2016-08-01,3.05625
2016-08-02,2.445
2016-08-03,3.26
2016-08-04,4.27875
2016-08-05,2.24125
2016-08-06,1.63
2016-08-07,1.63
2016-08-08,0.815
2016-08-09,3.26
2016-08-10,3.4637499999999997
2016-08-11,1.2225
2016-08-12,1.63
2016-08-13,1.0187499999999998
2016-08-14,1.2225
2016-08-15,1.42625
2016-08-16,1.8337499999999998
2016-08-17,1.63
2016-08-18,1.2225
2016-08-19,1.8337499999999998
2016-08-20,2.24125
2016-08-21,1.42625
2016-08-22,1.0187499999999998
2016-08-23,1.63
2016-08-24,1.2225
2016-08-25,1.63
2016-08-26,1.42625
2016-08-27,1.42625
2016-08-28,1.42625
2016-08-29,1.42625
2016-08-30,0.61125
2016-08-31,1.63
2016-09-01,1.42625
