date,hillary golf
2016-05-01,5.100616016427105
2016-05-02,4.5338809034907595
2016-05-03,8.501026694045175
2016-05-04,26.069815195071868
2016-05-05,11.3347022587269
2016-05-06,14.168377823408623
2016-05-07,15.868583162217657
2016-05-08,5.100616016427105
2016-05-09,4.5338809034907595
2016-05-10,10.767967145790553
2016-05-11,10.767967145790553
2016-05-12,13.034907597535934
2016-05-13,4.5338809034907595
2016-05-14,5.100616016427105
2016-05-15,5.100616016427105
2016-05-16,8.501026694045175
2016-05-17,15.301848049281313
2016-05-18,8.501026694045175
2016-05-19,13.034907597535934
2016-05-20,6.800821355236139
2016-05-21,10.20123203285421
2016-05-22,7.934291581108829
2016-05-23,10.767967145790553
2016-05-24,8.501026694045175
2016-05-25,10.767967145790553
2016-05-26,0.0
2016-05-27,4.5338809034907595
2016-05-28,7.934291581108829
2016-05-29,5.100616016427105
2016-05-30,4.5338809034907595
2016-05-31,13.034907597535934
2016-06-01,19.835728952772072
2016-06-02,11.3347022587269
2016-06-03,16.435318275154003
2016-06-04,15.868583162217657
2016-06-05,5.100616016427105
2016-06-06,4.5338809034907595
2016-06-07,10.767967145790553
2016-06-08,28.90349075975359
2016-06-09,18.135523613963038
2016-06-10,25.503080082135522
2016-06-11,23.23613963039014
2016-06-12,13.034907597535934
2016-06-13,13.034907597535934
2016-06-14,6.800821355236139
2016-06-15,4.5338809034907595
2016-06-16,19.835728952772072
2016-06-17,6.800821355236139
2016-06-18,7.934291581108829
2016-06-19,15.301848049281313
2016-06-20,8.501026694045175
2016-06-21,13.034907597535934
2016-06-22,8.501026694045175
2016-06-23,13.601642710472278
2016-06-24,9.067761806981519
2016-06-25,18.135523613963038
2016-06-26,26.069815195071868
2016-06-27,15.301848049281313
2016-06-28,9.067761806981519
2016-06-29,17.56878850102669
2016-06-30,9.067761806981519
2016-07-01,20.96919917864476
2016-07-02,7.934291581108829
2016-07-03,21.535934291581107
2016-07-04,4.5338809034907595
2016-07-05,18.135523613963038
2016-07-06,27.770020533880903
2016-07-07,27.770020533880903
2016-07-08,11.901437371663244
2016-07-09,7.934291581108829
2016-07-10,5.100616016427105
2016-07-11,6.800821355236139
2016-07-12,15.301848049281313
2016-07-13,6.800821355236139
2016-07-14,15.868583162217657
2016-07-15,13.601642710472278
2016-07-16,5.100616016427105
2016-07-17,18.702258726899384
2016-07-18,13.601642710472278
2016-07-19,15.868583162217657
2016-07-20,18.135523613963038
2016-07-21,15.868583162217657
2016-07-22,27.770020533880903
2016-07-23,31.737166324435314
2016-07-24,10.767967145790553
2016-07-25,26.63655030800821
2016-07-26,22.6694045174538
