date,sick
2016-05-01,67.0
2016-05-02,74.0
2016-05-03,75.0
2016-05-04,73.0
2016-05-05,71.0
2016-05-06,63.0
2016-05-07,59.0
2016-05-08,62.0
2016-05-09,71.0
2016-05-10,70.0
2016-05-11,68.0
2016-05-12,66.0
2016-05-13,67.0
2016-05-14,57.0
2016-05-15,64.0
2016-05-16,72.0
2016-05-17,70.0
2016-05-18,69.0
2016-05-19,66.0
2016-05-20,65.0
2016-05-21,60.0
2016-05-22,65.0
2016-05-23,67.0
2016-05-24,68.0
2016-05-25,70.0
2016-05-26,67.0
2016-05-27,63.0
2016-05-28,57.0
2016-05-29,59.0
2016-05-30,59.0
2016-05-31,68.0
2016-06-01,65.0
2016-06-02,67.0
2016-06-03,64.0
2016-06-04,64.0
2016-06-05,64.0
2016-06-06,67.0
2016-06-07,67.0
2016-06-08,67.0
2016-06-09,65.0
2016-06-10,62.0
2016-06-11,58.0
2016-06-12,63.0
2016-06-13,64.0
2016-06-14,66.0
2016-06-15,63.0
2016-06-16,63.0
2016-06-17,61.0
2016-06-18,58.0
2016-06-19,62.0
2016-06-20,66.0
2016-06-21,67.0
2016-06-22,66.0
2016-06-23,63.0
2016-06-24,62.0
2016-06-25,61.0
2016-06-26,62.0
2016-06-27,73.0
2016-06-28,67.0
2016-06-29,66.0
2016-06-30,64.0
2016-07-01,61.0
2016-07-02,57.0
2016-07-03,61.0
2016-07-04,58.0
2016-07-05,66.0
2016-07-06,65.0
2016-07-07,63.0
2016-07-08,63.0
2016-07-09,62.0
2016-07-10,64.0
2016-07-11,68.0
2016-07-12,65.0
2016-07-13,65.0
2016-07-14,62.0
2016-07-15,63.0
2016-07-16,58.0
2016-07-17,61.0
2016-07-18,66.0
2016-07-19,65.0
2016-07-20,67.0
2016-07-21,64.0
2016-07-22,62.0
2016-07-23,62.0
2016-07-24,62.0
2016-07-25,65.0
2016-07-26,68.0
2016-07-27,69.0
2016-07-28,66.0
2016-07-29,68.0
2016-07-30,63.0
2016-07-31,65.0
2016-08-01,65.0
2016-08-02,66.0
2016-08-03,66.0
2016-08-04,64.0
2016-08-05,63.0
2016-08-06,60.0
2016-08-07,59.0
2016-08-08,67.0
2016-08-09,65.0
2016-08-10,67.0
2016-08-11,66.0
2016-08-12,64.0
2016-08-13,60.0
2016-08-14,63.0
2016-08-15,69.0
2016-08-16,67.0
2016-08-17,65.0
2016-08-18,66.0
2016-08-19,66.0
2016-08-20,61.0
2016-08-21,66.0
2016-08-22,74.0
2016-08-23,71.0
2016-08-24,70.0
2016-08-25,69.0
2016-08-26,66.0
2016-08-27,62.0
2016-08-28,67.0
2016-08-29,71.0
2016-08-30,71.0
2016-08-31,69.0
2016-09-01,70.0
2016-09-02,64.0
2016-09-03,62.0
2016-09-04,65.0
2016-09-05,68.0
2016-09-06,75.0
2016-09-07,75.0
2016-09-08,72.0
2016-09-09,71.0
2016-09-10,65.0
2016-09-11,81.0
2016-09-12,100.0
2016-09-13,85.0
2016-09-14,79.0
2016-09-15,78.0
2016-09-16,73.0
2016-09-17,67.0
2016-09-18,70.0
2016-09-19,77.0
2016-09-20,75.0
2016-09-21,76.0
2016-09-22,75.0
2016-09-23,70.0
2016-09-24,67.0
2016-09-25,70.0
2016-09-26,77.0
2016-09-27,75.0
2016-09-28,76.0
2016-09-29,76.0
2016-09-30,72.0
2016-10-01,64.85377546943667
2016-10-02,66.67399121054734
2016-10-03,70.53915301638034
2016-10-04,75.76947662804633
2016-10-05,71.90431482221334
2016-10-06,72.44926088693568
2016-10-07,66.21893727526967
2016-10-08,61.98861366360367
2016-10-09,67.21893727526967
2016-10-10,72.94926088693568
2016-10-11,74.35936875749101
2016-10-12,77.589692369157
2016-10-13,75.17958449860168
2016-10-14,71.94926088693568
2016-10-15,63.89872153415901
2016-10-16,69.03915301638034
2016-10-17,76.67958449860168
2016-10-18,75.31442269276869
2016-10-19,74.76947662804633
2016-10-20,70.99420695165801
2016-10-21,69.53915301638034
2016-10-22,61.39872153415901
2016-10-23,66.67399121054734
2016-10-24,76.76947662804633
2016-10-25,76.72453056332401
2016-10-26,77.54474630443468
2016-10-27,75.26947662804633
2016-10-28,69.58409908110268
2016-10-29,66.263883339992
2016-10-30,68.67399121054734
2016-10-31,75.31442269276869
2016-11-01,73.90431482221334
2016-11-02,73.71873751498202
2016-11-03,80.99960047942469
2016-11-04,73.71873751498202
2016-11-05,66.43787455053935
2016-11-06,69.16819816220536
2016-11-07,79.17938473831403
2016-11-08,75.53895325609268
2016-11-09,64.61765880942869
2016-11-10,70.98841390331602
2016-11-11,70.0783060327607
2016-11-12,66.43787455053935
2016-11-13,67.34798242109468
2016-11-14,79.17938473831403
2016-11-15,79.17938473831403
2016-11-16,74.62884538553736
2016-11-17,72.80862964442669
2016-11-18,70.0783060327607
2016-11-19,65.52776667998401
2016-11-20,66.43787455053935
2016-11-21,78.26927686775869
2016-11-22,77.35916899720335
2016-11-23,72.80862964442669
2016-11-24,64.61765880942869
2016-11-25,62.79744306831802
2016-11-26,63.707550938873354
2016-11-27,69.16819816220536
2016-11-28,75.53895325609268
2016-11-29,80.99960047942469
2016-11-30,74.62884538553736
2016-12-01,73.71873751498202
2016-12-02,70.98841390331602
2016-12-03,65.52776667998401
2016-12-04,70.98841390331602
2016-12-05,79.17938473831403
2016-12-06,79.17938473831403
2016-12-07,77.35916899720335
2016-12-08,76.44906112664802
2016-12-09,69.16819816220536
2016-12-10,65.52776667998401
2016-12-11,70.0783060327607
2016-12-12,76.44906112664802
2016-12-13,74.62884538553736
2016-12-14,76.44906112664802
2016-12-15,75.53895325609268
2016-12-16,73.71873751498202
2016-12-17,68.25809029165002
2016-12-18,69.16819816220536
2016-12-19,74.62884538553736
2016-12-20,78.26927686775869
2016-12-21,79.17938473831403
2016-12-22,77.35916899720335
2016-12-23,69.16819816220536
2016-12-24,66.43787455053935
2016-12-25,69.16819816220536
2016-12-26,76.44906112664802
2016-12-27,75.53895325609268
2016-12-28,80.99960047942469
2016-12-29,77.35916899720335
2016-12-30,78.26927686775869
2016-12-31,77.35916899720335
2017-01-01,73.71873751498202
2017-01-02,79.17938473831403
2017-01-03,86.46024770275669
2017-01-04,86.46024770275669
2017-01-05,85.55013983220135
2017-01-06,81.90970834998002
2017-01-07,74.62884538553736
2017-01-08,80.08949260886936
2017-01-09,82.81981622053536
2017-01-10,85.55013983220135
2017-01-11,80.99960047942469
2017-01-12,78.26927686775869
2017-01-13,74.62884538553736
2017-01-14,73.71873751498202
2017-01-15,77.35916899720335
2017-01-16,80.99960047942469
2017-01-17,82.81981622053536
2017-01-18,81.90970834998002
2017-01-19,83.7299240910907
2017-01-20,75.53895325609268
2017-01-21,73.71873751498202
2017-01-22,82.81981622053536
2017-01-23,84.64003196164603
2017-01-24,80.99960047942469
2017-01-25,80.99960047942469
2017-01-26,79.17938473831403
2017-01-27,86.46024770275669
2017-01-28,75.53895325609268
2017-01-29,81.90970834998002
2017-01-30,87.37035557331203
2017-01-31,86.46024770275669
2017-02-01,85.55013983220135
2017-02-02,80.99960047942469
2017-02-03,77.35916899720335
2017-02-04,75.53895325609268
2017-02-05,77.35916899720335
2017-02-06,91.01078705553336
2017-02-07,84.64003196164603
2017-02-08,85.55013983220135
2017-02-09,84.64003196164603
2017-02-10,81.90970834998002
2017-02-11,74.62884538553736
2017-02-12,77.35916899720335
2017-02-13,80.08949260886936
2017-02-14,78.26927686775869
