date,blockchain
2016-05-01,17.072484665114462
2016-05-02,39.83579755193375
2016-05-03,41.543046018445196
2016-05-04,39.26671472976327
2016-05-05,30.161389575035557
2016-05-06,23.332395708989765
2016-05-07,20.48698159813736
2016-05-08,26.74689264201266
2016-05-09,34.144969330228925
2016-05-10,35.28313497456989
2016-05-11,32.43772086371748
2016-05-12,31.868638041546998
2016-05-13,31.868638041546998
2016-05-14,21.05606442030784
2016-05-15,21.625147242478324
2016-05-16,29.02322393069459
2016-05-17,32.43772086371748
2016-05-18,42.11212884061568
2016-05-19,30.161389575035557
2016-05-20,27.315975464183143
2016-05-21,15.36523619860302
2016-05-22,22.76331288681929
2016-05-23,36.421300618910855
2016-05-24,30.73047239720604
2016-05-25,31.29955521937652
2016-05-26,34.71405215239941
2016-05-27,31.868638041546998
2016-05-28,19.917898775966876
2016-05-29,21.625147242478324
2016-05-30,27.885058286353626
2016-05-31,35.28313497456989
2016-06-01,34.71405215239941
2016-06-02,30.73047239720604
2016-06-03,29.02322393069459
2016-06-04,22.194230064648806
2016-06-05,26.177809819842178
2016-06-06,31.868638041546998
2016-06-07,31.868638041546998
2016-06-08,35.28313497456989
2016-06-09,30.73047239720604
2016-06-10,30.161389575035557
2016-06-11,22.194230064648806
2016-06-12,21.625147242478324
2016-06-13,35.28313497456989
2016-06-14,36.421300618910855
2016-06-15,35.852217796740376
2016-06-16,41.543046018445196
2016-06-17,40.40488037410424
2016-06-18,27.885058286353626
2016-06-19,27.315975464183143
2016-06-20,38.12854908542231
2016-06-21,40.97396319627472
2016-06-22,39.83579755193375
2016-06-23,36.99038344108134
2016-06-24,30.73047239720604
2016-06-25,22.194230064648806
2016-06-26,18.77973313162591
2016-06-27,27.885058286353626
2016-06-28,30.73047239720604
2016-06-29,35.28313497456989
2016-06-30,32.43772086371748
2016-07-01,26.177809819842178
2016-07-02,18.77973313162591
2016-07-03,21.625147242478324
2016-07-04,26.177809819842178
2016-07-05,29.592306752865074
2016-07-06,29.02322393069459
2016-07-07,34.144969330228925
2016-07-08,31.868638041546998
2016-07-09,22.194230064648806
2016-07-10,18.77973313162591
2016-07-11,31.29955521937652
2016-07-12,33.575886508058446
2016-07-13,33.575886508058446
2016-07-14,31.868638041546998
2016-07-15,25.608726997671695
2016-07-16,18.77973313162591
2016-07-17,17.641567487284945
2016-07-18,29.02322393069459
2016-07-19,30.161389575035557
2016-07-20,28.45414110852411
2016-07-21,27.885058286353626
2016-07-22,29.02322393069459
2016-07-23,17.641567487284945
2016-07-24,19.917898775966876
2016-07-25,33.575886508058446
2016-07-26,33.575886508058446
2016-07-27,33.00680368588797
2016-07-28,26.74689264201266
2016-07-29,22.76331288681929
2016-07-30,20.48698159813736
2016-07-31,21.625147242478324
2016-08-01,26.74689264201266
2016-08-02,26.177809819842178
2016-08-03,35.28313497456989
2016-08-04,30.161389575035557
2016-08-05,25.608726997671695
2016-08-06,19.348815953796393
2016-08-07,17.641567487284945
2016-08-08,27.315975464183143
2016-08-09,27.885058286353626
2016-08-10,28.45414110852411
2016-08-11,31.868638041546998
2016-08-12,31.29955521937652
2016-08-13,15.934319020773499
2016-08-14,14.796153376432537
2016-08-15,34.71405215239941
2016-08-16,34.144969330228925
2016-08-17,31.29955521937652
2016-08-18,33.00680368588797
2016-08-19,27.885058286353626
2016-08-20,18.210650309455428
2016-08-21,21.625147242478324
2016-08-22,39.26671472976327
2016-08-23,33.575886508058446
2016-08-24,37.55946626325182
2016-08-25,35.852217796740376
2016-08-26,36.421300618910855
2016-08-27,22.76331288681929
2016-08-28,24.47056135333073
2016-08-29,34.144969330228925
2016-08-30,35.28313497456989
2016-08-31,33.00680368588797
2016-09-01,33.00680368588797
2016-09-02,31.868638041546998
2016-09-03,33.00680368588797
2016-09-04,25.608726997671695
2016-09-05,27.885058286353626
2016-09-06,34.71405215239941
2016-09-07,39.26671472976327
2016-09-08,34.71405215239941
2016-09-09,33.00680368588797
2016-09-10,24.47056135333073
2016-09-11,22.194230064648806
2016-09-12,33.575886508058446
2016-09-13,33.00680368588797
2016-09-14,33.00680368588797
2016-09-15,36.99038344108134
2016-09-16,37.55946626325182
2016-09-17,22.76331288681929
2016-09-18,23.332395708989765
2016-09-19,34.144969330228925
2016-09-20,39.83579755193375
2016-09-21,39.26671472976327
2016-09-22,40.40488037410424
2016-09-23,36.99038344108134
2016-09-24,22.194230064648806
2016-09-25,17.072484665114462
2016-09-26,36.421300618910855
2016-09-27,43.25029448495665
2016-09-28,40.40488037410424
2016-09-29,35.852217796740376
2016-09-30,37.55946626325182
2016-10-01,20.583143247725868
2016-10-02,23.163581961368298
2016-10-03,34.102500462902775
2016-10-04,37.38898409584254
2016-10-05,39.68488139839973
2016-10-06,39.459038028940284
2016-10-07,34.99525672390902
2016-10-08,20.298601836640625
2016-10-09,23.261412030744623
2016-10-10,34.08293444902751
2016-10-11,39.07666654847873
2016-10-12,49.691911611177424
2016-10-13,57.95256132969314
2016-10-14,33.89622310731859
2016-10-15,26.980016388728025
2016-10-16,26.46963160818333
2016-10-17,38.26217434297353
2016-10-18,39.09623256235399
2016-10-19,42.3044521397927
2016-10-20,44.904456867310394
2016-10-21,39.11579857622925
2016-10-22,27.68606130802535
2016-10-23,29.089202349576293
2016-10-24,42.38271619529375
2016-10-25,45.267262333896696
2016-10-26,44.257109989638856
2016-10-27,40.53850563165546
2016-10-28,36.72207120429574
2016-10-29,26.489197622058597
2016-10-30,26.71504099151805
2016-10-31,38.18391028747247
2016-11-01,38.90952122064507
2016-11-02,38.317535545023695
