date,trump weak
2016-05-01,5.6222664015904575
2016-05-02,2.4095427435387675
2016-05-03,4.819085487077535
2016-05-04,0.0
2016-05-05,2.4095427435387675
2016-05-06,4.819085487077535
2016-05-07,12.047713717693838
2016-05-08,5.6222664015904575
2016-05-09,4.819085487077535
2016-05-10,4.819085487077535
2016-05-11,4.819085487077535
2016-05-12,2.4095427435387675
2016-05-13,2.4095427435387675
2016-05-14,14.457256461232605
2016-05-15,3.21272365805169
2016-05-16,0.0
2016-05-17,4.819085487077535
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,2.4095427435387675
2016-05-21,8.834990059642148
2016-05-22,3.21272365805169
2016-05-23,0.0
2016-05-24,9.63817097415507
2016-05-25,0.0
2016-05-26,2.4095427435387675
2016-05-27,0.0
2016-05-28,3.21272365805169
2016-05-29,0.0
2016-05-30,2.4095427435387675
2016-05-31,0.0
2016-06-01,2.4095427435387675
2016-06-02,2.4095427435387675
2016-06-03,0.0
2016-06-04,3.21272365805169
2016-06-05,0.0
2016-06-06,2.4095427435387675
2016-06-07,2.4095427435387675
2016-06-08,4.819085487077535
2016-06-09,4.819085487077535
2016-06-10,4.819085487077535
2016-06-11,3.21272365805169
2016-06-12,3.21272365805169
2016-06-13,4.819085487077535
2016-06-14,4.819085487077535
2016-06-15,9.63817097415507
2016-06-16,2.4095427435387675
2016-06-17,2.4095427435387675
2016-06-18,8.834990059642148
2016-06-19,0.0
2016-06-20,2.4095427435387675
2016-06-21,7.2286282306163026
2016-06-22,2.4095427435387675
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,0.0
2016-06-27,2.4095427435387675
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,2.4095427435387675
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,3.21272365805169
2016-07-04,2.4095427435387675
2016-07-05,2.4095427435387675
2016-07-06,0.0
2016-07-07,4.819085487077535
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,4.819085487077535
2016-07-12,2.4095427435387675
2016-07-13,2.4095427435387675
2016-07-14,2.4095427435387675
2016-07-15,0.0
2016-07-16,3.21272365805169
2016-07-17,3.21272365805169
2016-07-18,2.4095427435387675
2016-07-19,4.819085487077535
2016-07-20,10.441351888667992
2016-07-21,2.4095427435387675
2016-07-22,0.0
2016-07-23,0.0
2016-07-24,8.834990059642148
2016-07-25,2.4095427435387675
2016-07-26,0.0
2016-07-27,2.4095427435387675
2016-07-28,0.0
2016-07-29,2.4095427435387675
2016-07-30,3.21272365805169
2016-07-31,8.834990059642148
2016-08-01,0.0
2016-08-02,2.4095427435387675
2016-08-03,2.4095427435387675
2016-08-04,8.031809145129225
2016-08-05,2.4095427435387675
2016-08-06,3.21272365805169
2016-08-07,5.6222664015904575
2016-08-08,4.819085487077535
2016-08-09,2.4095427435387675
2016-08-10,0.0
2016-08-11,2.4095427435387675
2016-08-12,4.819085487077535
2016-08-13,5.6222664015904575
2016-08-14,0.0
2016-08-15,2.4095427435387675
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,3.21272365805169
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,2.4095427435387675
2016-08-24,2.4095427435387675
2016-08-25,2.4095427435387675
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,2.4095427435387675
2016-08-30,2.4095427435387675
2016-08-31,2.4095427435387675
2016-09-01,4.819085487077535
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,3.21272365805169
2016-09-05,0.0
2016-09-06,2.4095427435387675
2016-09-07,2.4095427435387675
2016-09-08,4.819085487077535
2016-09-09,4.819085487077535
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,2.4095427435387675
2016-09-13,7.2286282306163026
2016-09-14,4.819085487077535
2016-09-15,12.047713717693838
2016-09-16,0.0
2016-09-17,8.834990059642148
2016-09-18,5.6222664015904575
2016-09-19,2.4095427435387675
2016-09-20,0.0
2016-09-21,2.4095427435387675
2016-09-22,0.0
2016-09-23,4.819085487077535
2016-09-24,5.6222664015904575
2016-09-25,2.4095427435387675
2016-09-26,4.819085487077535
2016-09-27,12.047713717693838
2016-09-28,12.047713717693838
2016-09-29,2.4095427435387675
2016-09-30,2.4095427435387675
2016-10-01,3.2047713717693838
2016-10-02,4.204771371769384
2016-10-03,69.65904572564612
2016-10-04,85.15109343936382
2016-10-05,32.97316103379722
2016-10-06,15.433399602385686
2016-10-07,6.204771371769384
2016-10-08,12.622266401590458
2016-10-09,13.622266401590458
2016-10-10,7.4095427435387675
2016-10-11,16.52385685884692
2016-10-12,12.228628230616302
2016-10-13,12.228628230616302
2016-10-14,11.319085487077535
2016-10-15,3.7047713717693838
2016-10-16,8.015904572564612
2016-10-17,5.614314115308151
2016-10-18,7.6222664015904575
2016-10-19,8.61431411530815
2016-10-20,10.02385685884692
2016-10-21,9.11431411530815
2016-10-22,2.2047713717693838
2016-10-23,4.0
2016-10-24,4.4095427435387675
2016-10-25,5.4095427435387675
2016-10-26,7.6222664015904575
2016-10-27,5.614314115308151
2016-10-28,2.2047713717693838
2016-10-29,2.2047713717693838
2016-10-30,4.811133200795229
2016-10-31,6.319085487077535
2016-11-01,3.7047713717693838
2016-11-02,7.0
2016-11-03,4.0
2016-11-04,3.0
2016-11-05,4.0
2016-11-06,5.0
2016-11-07,5.0
2016-11-08,14.0
2016-11-09,36.0
2016-11-10,23.0
2016-11-11,15.0
2016-11-12,21.0
2016-11-13,8.0
2016-11-14,13.0
