date,obama criminal
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,6.0
2016-05-04,6.0
2016-05-05,7.0
2016-05-06,21.0
2016-05-07,4.0
2016-05-08,0.0
2016-05-09,3.0
2016-05-10,6.0
2016-05-11,0.0
2016-05-12,3.0
2016-05-13,100.0
2016-05-14,64.0
2016-05-15,8.0
2016-05-16,6.0
2016-05-17,3.0
2016-05-18,13.0
2016-05-19,10.0
2016-05-20,10.0
2016-05-21,8.0
2016-05-22,8.0
2016-05-23,3.0
2016-05-24,3.0
2016-05-25,6.0
2016-05-26,10.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,14.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,10.0
2016-06-07,6.0
2016-06-08,10.0
2016-06-09,13.0
2016-06-10,17.0
2016-06-11,11.0
2016-06-12,7.0
2016-06-13,3.0
2016-06-14,0.0
2016-06-15,3.0
2016-06-16,3.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,6.0
2016-06-21,3.0
2016-06-22,3.0
2016-06-23,13.0
2016-06-24,7.0
2016-06-25,4.0
2016-06-26,4.0
2016-06-27,3.0
2016-06-28,3.0
2016-06-29,0.0
2016-06-30,10.0
2016-07-01,10.0
2016-07-02,0.0
2016-07-03,8.0
2016-07-04,7.0
2016-07-05,14.0
2016-07-06,10.0
2016-07-07,3.0
2016-07-08,7.0
2016-07-09,8.0
2016-07-10,8.0
2016-07-11,17.0
2016-07-12,3.0
2016-07-13,3.0
2016-07-14,7.0
2016-07-15,3.0
2016-07-16,4.0
2016-07-17,8.0
2016-07-18,7.0
2016-07-19,0.0
2016-07-20,10.0
2016-07-21,17.0
2016-07-22,14.0
2016-07-23,12.0
2016-07-24,4.0
2016-07-25,7.0
2016-07-26,3.0
2016-07-27,7.0
2016-07-28,20.0
2016-07-29,7.0
2016-07-30,4.0
2016-07-31,8.0
2016-08-01,0.0
2016-08-02,3.0
2016-08-03,20.0
2016-08-04,10.0
2016-08-05,10.0
2016-08-06,8.0
2016-08-07,0.0
2016-08-08,10.0
2016-08-09,3.0
2016-08-10,7.0
2016-08-11,0.0
2016-08-12,14.0
2016-08-13,8.0
2016-08-14,8.0
2016-08-15,3.0
2016-08-16,7.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,0.0
2016-08-20,4.0
2016-08-21,0.0
2016-08-22,6.0
2016-08-23,3.0
2016-08-24,7.0
2016-08-25,7.0
2016-08-26,3.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,6.0
2016-08-30,6.0
2016-08-31,0.0
2016-09-01,13.0
2016-09-02,3.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,7.0
2016-09-06,6.0
2016-09-07,0.0
2016-09-08,6.0
2016-09-09,7.0
2016-09-10,4.0
2016-09-11,4.0
2016-09-12,3.0
2016-09-13,9.0
2016-09-14,9.0
2016-09-15,10.0
2016-09-16,10.0
2016-09-17,7.0
2016-09-18,0.0
2016-09-19,6.0
2016-09-20,6.0
2016-09-21,0.0
2016-09-22,13.0
2016-09-23,7.0
2016-09-24,4.0
2016-09-25,4.0
2016-09-26,9.0
2016-09-27,3.0
2016-09-28,3.0
2016-09-29,3.0
2016-09-30,10.0
2016-10-01,0.0
2016-10-02,3.5
2016-10-03,3.408914728682171
2016-10-04,1.9089147286821706
2016-10-05,5.317829457364342
2016-10-06,3.408914728682171
2016-10-07,12.41763565891473
2016-10-08,5.790697674418604
2016-10-09,0.0
2016-10-10,9.3265503875969
2016-10-11,3.0
2016-10-12,7.008720930232558
2016-10-13,23.24418604651163
2016-10-14,1.5
2016-10-15,7.790697674418604
2016-10-16,13.390503875968992
2016-10-17,1.5
2016-10-18,5.317829457364342
2016-10-19,10.226744186046512
2016-10-20,6.408914728682171
2016-10-21,7.008720930232558
2016-10-22,0.0
2016-10-23,5.5
2016-10-24,3.0
2016-10-25,3.408914728682171
2016-10-26,6.408914728682171
2016-10-27,5.317829457364342
2016-10-28,10.41763565891473
2016-10-29,15.971899224806203
2016-10-30,8.681201550387598
2016-10-31,3.408914728682171
2016-11-01,3.408914728682171
2016-11-02,7.635658914728682
2016-11-03,11.453488372093023
2016-11-04,8.017441860465116
2016-11-05,30.54263565891473
2016-11-06,25.96124031007752
2016-11-07,22.525193798449614
2016-11-08,25.96124031007752
2016-11-09,35.12403100775194
2016-11-10,38.17829457364341
2016-11-11,24.05232558139535
2016-11-12,4.5813953488372094
2016-11-13,34.742248062015506
2016-11-14,14.88953488372093
2016-11-15,15.271317829457365
2016-11-16,22.525193798449614
2016-11-17,7.635658914728682
2016-11-18,15.6531007751938
2016-11-19,8.781007751937985
2016-11-20,0.0
2016-11-21,3.817829457364341
2016-11-22,14.88953488372093
2016-11-23,7.635658914728682
2016-11-24,3.817829457364341
2016-11-25,8.017441860465116
2016-11-26,4.199612403100775
2016-11-27,0.0
2016-11-28,11.071705426356589
2016-11-29,0.0
2016-11-30,22.525193798449614
2016-12-01,7.635658914728682
2016-12-02,3.817829457364341
2016-12-03,0.0
2016-12-04,8.781007751937985
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,11.071705426356589
2016-12-13,3.817829457364341
2016-12-14,0.0
2016-12-15,3.817829457364341
2016-12-16,0.0
2016-12-17,9.162790697674419
2016-12-18,0.0
2016-12-19,3.817829457364341
2016-12-20,7.635658914728682
2016-12-21,3.817829457364341
2016-12-22,0.0
2016-12-23,4.199612403100775
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,8.017441860465116
2016-12-28,0.0
2016-12-29,12.217054263565892
2016-12-30,4.199612403100775
2016-12-31,0.0
2017-01-01,9.544573643410853
2017-01-02,8.017441860465116
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,11.453488372093023
2017-01-06,3.817829457364341
2017-01-07,4.199612403100775
2017-01-08,12.598837209302326
2017-01-09,11.071705426356589
2017-01-10,3.817829457364341
2017-01-11,18.325581395348838
2017-01-12,18.325581395348838
2017-01-13,11.453488372093023
2017-01-14,4.199612403100775
2017-01-15,25.197674418604652
2017-01-16,10.689922480620154
2017-01-17,14.507751937984496
2017-01-18,18.325581395348838
2017-01-19,22.143410852713178
2017-01-20,18.70736434108527
2017-01-21,17.180232558139537
2017-01-22,8.39922480620155
2017-01-23,14.507751937984496
2017-01-24,14.507751937984496
2017-01-25,0.0
2017-01-26,25.96124031007752
2017-01-27,22.906976744186046
2017-01-28,0.0
2017-01-29,8.39922480620155
