date,conference
2016-05-01,23.36220472440945
2016-05-02,36.944881889763785
2016-05-03,36.944881889763785
2016-05-04,38.031496062992126
2016-05-05,38.031496062992126
2016-05-06,34.22834645669292
2016-05-07,20.645669291338585
2016-05-08,20.645669291338585
2016-05-09,38.5748031496063
2016-05-10,40.20472440944882
2016-05-11,40.74803149606299
2016-05-12,42.92125984251969
2016-05-13,43.46456692913386
2016-05-14,24.99212598425197
2016-05-15,29.338582677165356
2016-05-16,41.83464566929134
2016-05-17,42.92125984251969
2016-05-18,42.37795275590551
2016-05-19,39.66141732283465
2016-05-20,34.77165354330709
2016-05-21,21.188976377952756
2016-05-22,23.905511811023622
2016-05-23,36.944881889763785
2016-05-24,39.118110236220474
2016-05-25,39.66141732283465
2016-05-26,39.66141732283465
2016-05-27,35.31496062992126
2016-05-28,23.905511811023622
2016-05-29,24.99212598425197
2016-05-30,27.708661417322837
2016-05-31,44.55118110236221
2016-06-01,35.85826771653544
2016-06-02,35.85826771653544
2016-06-03,32.59842519685039
2016-06-04,17.92913385826772
2016-06-05,22.275590551181104
2016-06-06,36.40157480314961
2016-06-07,35.31496062992126
2016-06-08,34.77165354330709
2016-06-09,34.22834645669292
2016-06-10,30.425196850393704
2016-06-11,19.559055118110237
2016-06-12,27.165354330708663
2016-06-13,52.15748031496064
2016-06-14,49.44094488188977
2016-06-15,36.40157480314961
2016-06-16,32.59842519685039
2016-06-17,29.88188976377953
2016-06-18,18.472440944881892
2016-06-19,17.92913385826772
2016-06-20,35.31496062992126
2016-06-21,32.59842519685039
2016-06-22,33.14173228346457
2016-06-23,31.511811023622048
2016-06-24,28.25196850393701
2016-06-25,17.385826771653544
2016-06-26,17.92913385826772
2016-06-27,29.88188976377953
2016-06-28,30.968503937007878
2016-06-29,30.968503937007878
2016-06-30,29.338582677165356
2016-07-01,24.99212598425197
2016-07-02,15.212598425196852
2016-07-03,15.755905511811024
2016-07-04,21.73228346456693
2016-07-05,34.77165354330709
2016-07-06,32.05511811023622
2016-07-07,37.488188976377955
2016-07-08,32.05511811023622
2016-07-09,19.015748031496063
2016-07-10,21.188976377952756
2016-07-11,32.05511811023622
2016-07-12,31.511811023622048
2016-07-13,31.511811023622048
2016-07-14,29.88188976377953
2016-07-15,27.708661417322837
2016-07-16,16.84251968503937
2016-07-17,17.92913385826772
2016-07-18,30.968503937007878
2016-07-19,30.968503937007878
2016-07-20,30.425196850393704
2016-07-21,30.425196850393704
2016-07-22,26.62204724409449
2016-07-23,16.84251968503937
2016-07-24,17.385826771653544
2016-07-25,31.511811023622048
2016-07-26,30.425196850393704
2016-07-27,33.14173228346457
2016-07-28,32.05511811023622
2016-07-29,27.708661417322837
2016-07-30,17.385826771653544
2016-07-31,17.92913385826772
2016-08-01,29.338582677165356
2016-08-02,31.511811023622048
2016-08-03,32.05511811023622
2016-08-04,31.511811023622048
2016-08-05,28.79527559055118
2016-08-06,16.299212598425196
2016-08-07,20.10236220472441
2016-08-08,29.88188976377953
2016-08-09,30.968503937007878
2016-08-10,29.88188976377953
2016-08-11,30.425196850393704
2016-08-12,26.62204724409449
2016-08-13,16.84251968503937
2016-08-14,16.299212598425196
2016-08-15,29.338582677165356
2016-08-16,31.511811023622048
2016-08-17,34.22834645669292
2016-08-18,36.944881889763785
2016-08-19,30.425196850393704
2016-08-20,20.10236220472441
2016-08-21,34.22834645669292
2016-08-22,33.14173228346457
2016-08-23,33.68503937007874
2016-08-24,32.59842519685039
2016-08-25,33.14173228346457
2016-08-26,29.88188976377953
2016-08-27,19.015748031496063
2016-08-28,19.559055118110237
2016-08-29,32.59842519685039
2016-08-30,35.31496062992126
2016-08-31,35.31496062992126
2016-09-01,32.59842519685039
2016-09-02,31.511811023622048
2016-09-03,23.36220472440945
2016-09-04,22.818897637795278
2016-09-05,27.165354330708663
2016-09-06,39.66141732283465
2016-09-07,54.330708661417326
2016-09-08,41.83464566929134
2016-09-09,36.40157480314961
2016-09-10,25.535433070866144
2016-09-11,25.535433070866144
2016-09-12,39.66141732283465
2016-09-13,39.66141732283465
2016-09-14,38.031496062992126
2016-09-15,39.118110236220474
2016-09-16,36.40157480314961
2016-09-17,26.07874015748032
2016-09-18,25.535433070866144
2016-09-19,41.29133858267717
2016-09-20,39.66141732283465
2016-09-21,38.031496062992126
2016-09-22,38.5748031496063
2016-09-23,35.85826771653544
2016-09-24,26.07874015748032
2016-09-25,28.79527559055118
2016-09-26,44.55118110236221
2016-09-27,41.29133858267717
2016-09-28,44.00787401574804
2016-09-29,40.74803149606299
2016-09-30,35.85826771653544
2016-10-01,34.11417322834646
2016-10-02,36.42913385826772
2016-10-03,41.145669291338585
2016-10-04,44.775590551181104
2016-10-05,41.417322834645674
2016-10-06,40.330708661417326
2016-10-07,34.38582677165354
2016-10-08,24.996062992125985
2016-10-09,26.811023622047244
2016-10-10,40.874015748031496
2016-10-11,38.01574803149606
2016-10-12,39.05905511811024
2016-10-13,38.55905511811024
2016-10-14,35.15748031496063
2016-10-15,24.224409448818896
2016-10-16,24.996062992125985
2016-10-17,41.145669291338585
2016-10-18,39.830708661417326
2016-10-19,38.287401574803155
2016-10-20,37.2007874015748
2016-10-21,34.61417322834646
2016-10-22,23.45275590551181
2016-10-23,23.95275590551181
2016-10-24,38.55905511811024
2016-10-25,37.51574803149606
2016-10-26,36.2007874015748
2016-10-27,36.972440944881896
2016-10-28,32.52755905511811
2016-10-29,22.137795275590552
2016-10-30,22.409448818897637
2016-10-31,37.2007874015748
2016-11-01,36.7007874015748
2016-11-02,39.0
