date,faux news
2016-05-01,0.0
2016-05-02,15.493150684931505
2016-05-03,15.095890410958903
2016-05-04,15.095890410958903
2016-05-05,11.917808219178081
2016-05-06,25.027397260273972
2016-05-07,13.904109589041095
2016-05-08,27.410958904109588
2016-05-09,19.06849315068493
2016-05-10,7.547945205479452
2016-05-11,7.547945205479452
2016-05-12,7.945205479452055
2016-05-13,23.835616438356162
2016-05-14,17.876712328767123
2016-05-15,17.876712328767123
2016-05-16,11.520547945205479
2016-05-17,11.123287671232877
2016-05-18,11.520547945205479
2016-05-19,11.520547945205479
2016-05-20,24.232876712328764
2016-05-21,0.0
2016-05-22,22.643835616438356
2016-05-23,11.520547945205479
2016-05-24,19.06849315068493
2016-05-25,7.547945205479452
2016-05-26,11.917808219178081
2016-05-27,20.65753424657534
2016-05-28,18.273972602739725
2016-05-29,0.0
2016-05-30,7.945205479452055
2016-05-31,7.547945205479452
2016-06-01,7.547945205479452
2016-06-02,7.547945205479452
2016-06-03,0.0
2016-06-04,18.671232876712327
2016-06-05,9.136986301369863
2016-06-06,15.493150684931505
2016-06-07,7.547945205479452
2016-06-08,0.0
2016-06-09,7.945205479452055
2016-06-10,0.0
2016-06-11,9.136986301369863
2016-06-12,17.876712328767123
2016-06-13,0.0
2016-06-14,19.06849315068493
2016-06-15,7.547945205479452
2016-06-16,39.32876712328767
2016-06-17,11.917808219178081
2016-06-18,9.136986301369863
2016-06-19,9.136986301369863
2016-06-20,15.493150684931505
2016-06-21,23.041095890410958
2016-06-22,7.945205479452055
2016-06-23,11.917808219178081
2016-06-24,20.26027397260274
2016-06-25,9.136986301369863
2016-06-26,27.013698630136986
2016-06-27,7.547945205479452
2016-06-28,7.547945205479452
2016-06-29,15.493150684931505
2016-06-30,19.863013698630137
2016-07-01,12.315068493150685
2016-07-02,0.0
2016-07-03,18.671232876712327
2016-07-04,8.342465753424657
2016-07-05,32.17808219178082
2016-07-06,20.26027397260274
2016-07-07,12.315068493150685
2016-07-08,8.342465753424657
2016-07-09,23.43835616438356
2016-07-10,9.136986301369863
2016-07-11,31.78082191780822
2016-07-12,11.520547945205479
2016-07-13,0.0
2016-07-14,7.945205479452055
2016-07-15,20.26027397260274
2016-07-16,18.671232876712327
2016-07-17,13.904109589041095
2016-07-18,39.32876712328767
2016-07-19,23.835616438356162
2016-07-20,15.89041095890411
2016-07-21,12.315068493150685
2016-07-22,0.0
2016-07-23,9.136986301369863
2016-07-24,18.671232876712327
2016-07-25,23.43835616438356
2016-07-26,39.32876712328767
2016-07-27,23.43835616438356
2016-07-28,39.726027397260275
2016-07-29,12.315068493150685
2016-07-30,13.904109589041095
2016-07-31,9.136986301369863
2016-08-01,7.945205479452055
2016-08-02,15.89041095890411
2016-08-03,15.89041095890411
2016-08-04,7.945205479452055
2016-08-05,16.684931506849313
2016-08-06,9.534246575342465
2016-08-07,18.671232876712327
2016-08-08,23.43835616438356
2016-08-09,15.89041095890411
2016-08-10,15.89041095890411
2016-08-11,20.26027397260274
2016-08-12,16.28767123287671
2016-08-13,9.136986301369863
2016-08-14,0.0
2016-08-15,16.28767123287671
2016-08-16,23.835616438356162
2016-08-17,15.493150684931505
2016-08-18,7.945205479452055
2016-08-19,12.315068493150685
2016-08-20,9.136986301369863
2016-08-21,27.013698630136986
2016-08-22,15.493150684931505
2016-08-23,7.945205479452055
2016-08-24,27.410958904109588
2016-08-25,15.89041095890411
2016-08-26,16.28767123287671
2016-08-27,18.273972602739725
2016-08-28,13.506849315068493
2016-08-29,23.041095890410958
2016-08-30,15.095890410958903
2016-08-31,7.547945205479452
2016-09-01,19.06849315068493
2016-09-02,7.945205479452055
2016-09-03,9.136986301369863
2016-09-04,0.0
2016-09-05,19.46575342465753
2016-09-06,15.095890410958903
2016-09-07,11.520547945205479
2016-09-08,23.041095890410958
2016-09-09,23.43835616438356
2016-09-10,8.73972602739726
2016-09-11,8.73972602739726
2016-09-12,11.520547945205479
2016-09-13,15.095890410958903
2016-09-14,11.520547945205479
2016-09-15,15.493150684931505
2016-09-16,11.917808219178081
2016-09-17,17.47945205479452
2016-09-18,25.821917808219176
2016-09-19,11.123287671232877
2016-09-20,25.821917808219176
2016-09-21,11.123287671232877
2016-09-22,22.643835616438356
2016-09-23,31.78082191780822
2016-09-24,0.0
2016-09-25,13.109589041095889
2016-09-26,15.095890410958903
2016-09-27,22.246575342465754
2016-09-28,15.095890410958903
2016-09-29,22.246575342465754
2016-09-30,15.493150684931505
2016-10-01,15.73972602739726
2016-10-02,19.013698630136986
2016-10-03,14.698630136986301
2016-10-04,10.924657534246574
2016-10-05,20.636986301369863
2016-10-06,32.897260273972606
2016-10-07,35.321917808219176
2016-10-08,36.294520547945204
2016-10-09,26.910958904109588
2016-10-10,28.883561643835616
2016-10-11,15.136986301369863
2016-10-12,14.897260273972602
2016-10-13,13.349315068493151
2016-10-14,39.294520547945204
2016-10-15,19.910958904109588
2016-10-16,21.842465753424655
2016-10-17,24.21232876712329
2016-10-18,21.075342465753423
2016-10-19,15.136986301369863
2016-10-20,11.363013698630137
2016-10-21,13.54794520547945
2016-10-22,22.041095890410958
2016-10-23,8.541095890410958
2016-10-24,36.34931506849315
2016-10-25,18.513698630136986
2016-10-26,18.65068493150685
2016-10-27,15.575342465753424
2016-10-28,25.506849315068493
2016-10-29,13.554794520547944
2016-10-30,11.171232876712327
2016-10-31,26.897260273972602
2016-11-01,19.109589041095887
2016-11-02,35.0
2016-11-03,58.0
2016-11-04,24.0
2016-11-05,13.0
2016-11-06,39.0
2016-11-07,35.0
