date,president obama book
2016-05-01,18.61783439490446
2016-05-02,19.121019108280255
2016-05-03,6.289808917197452
2016-05-04,25.159235668789808
2016-05-05,13.0828025477707
2016-05-06,6.792993630573249
2016-05-07,7.547770700636943
2016-05-08,15.095541401273886
2016-05-09,6.289808917197452
2016-05-10,6.289808917197452
2016-05-11,0.0
2016-05-12,12.831210191082803
2016-05-13,0.0
2016-05-14,7.296178343949045
2016-05-15,7.296178343949045
2016-05-16,6.289808917197452
2016-05-17,0.0
2016-05-18,12.579617834394904
2016-05-19,6.289808917197452
2016-05-20,13.0828025477707
2016-05-21,0.0
2016-05-22,7.547770700636943
2016-05-23,0.0
2016-05-24,6.289808917197452
2016-05-25,6.289808917197452
2016-05-26,9.812101910828025
2016-05-27,6.792993630573249
2016-05-28,7.547770700636943
2016-05-29,15.095541401273886
2016-05-30,6.54140127388535
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.0
2016-06-03,13.334394904458598
2016-06-04,0.0
2016-06-05,7.296178343949045
2016-06-06,12.579617834394904
2016-06-07,6.289808917197452
2016-06-08,0.0
2016-06-09,13.0828025477707
2016-06-10,13.334394904458598
2016-06-11,22.14012738853503
2016-06-12,7.296178343949045
2016-06-13,12.328025477707007
2016-06-14,0.0
2016-06-15,18.869426751592357
2016-06-16,6.54140127388535
2016-06-17,6.54140127388535
2016-06-18,7.547770700636943
2016-06-19,7.547770700636943
2016-06-20,6.289808917197452
2016-06-21,6.289808917197452
2016-06-22,6.289808917197452
2016-06-23,6.54140127388535
2016-06-24,6.54140127388535
2016-06-25,7.547770700636943
2016-06-26,0.0
2016-06-27,9.30891719745223
2016-06-28,6.289808917197452
2016-06-29,6.289808917197452
2016-06-30,13.0828025477707
2016-07-01,6.792993630573249
2016-07-02,11.573248407643312
2016-07-03,7.7993630573248405
2016-07-04,0.0
2016-07-05,13.334394904458598
2016-07-06,0.0
2016-07-07,6.54140127388535
2016-07-08,0.0
2016-07-09,7.7993630573248405
2016-07-10,0.0
2016-07-11,6.54140127388535
2016-07-12,9.560509554140127
2016-07-13,9.812101910828025
2016-07-14,19.62420382165605
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,7.7993630573248405
2016-07-18,19.372611464968152
2016-07-19,9.812101910828025
2016-07-20,16.353503184713375
2016-07-21,13.334394904458598
2016-07-22,0.0
2016-07-23,15.347133757961783
2016-07-24,0.0
2016-07-25,6.54140127388535
2016-07-26,6.54140127388535
2016-07-27,6.54140127388535
2016-07-28,6.54140127388535
2016-07-29,6.792993630573249
2016-07-30,7.7993630573248405
2016-07-31,15.347133757961783
2016-08-01,6.54140127388535
2016-08-02,6.54140127388535
2016-08-03,13.0828025477707
2016-08-04,13.0828025477707
2016-08-05,13.585987261146498
2016-08-06,15.347133757961783
2016-08-07,7.7993630573248405
2016-08-08,0.0
2016-08-09,6.54140127388535
2016-08-10,6.54140127388535
2016-08-11,13.0828025477707
2016-08-12,20.378980891719745
2016-08-13,7.547770700636943
2016-08-14,7.7993630573248405
2016-08-15,6.792993630573249
2016-08-16,6.54140127388535
2016-08-17,6.54140127388535
2016-08-18,6.54140127388535
2016-08-19,0.0
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,9.560509554140127
2016-08-23,6.54140127388535
2016-08-24,0.0
2016-08-25,13.0828025477707
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,18.61783439490446
2016-08-30,6.289808917197452
2016-08-31,0.0
2016-09-01,6.289808917197452
2016-09-02,6.54140127388535
2016-09-03,0.0
2016-09-04,7.296178343949045
2016-09-05,6.54140127388535
2016-09-06,9.30891719745223
2016-09-07,12.579617834394904
2016-09-08,18.869426751592357
2016-09-09,0.0
2016-09-10,7.296178343949045
2016-09-11,7.296178343949045
2016-09-12,6.289808917197452
2016-09-13,6.289808917197452
2016-09-14,0.0
2016-09-15,0.0
2016-09-16,16.101910828025478
2016-09-17,7.296178343949045
2016-09-18,14.089171974522293
2016-09-19,15.095541401273886
2016-09-20,6.038216560509554
2016-09-21,6.038216560509554
2016-09-22,6.289808917197452
2016-09-23,9.812101910828025
2016-09-24,7.296178343949045
2016-09-25,10.818471337579618
2016-09-26,12.076433121019107
2016-09-27,12.076433121019107
2016-09-28,12.076433121019107
2016-09-29,6.038216560509554
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,3.3964968152866244
2016-10-03,8.019108280254777
2016-10-04,5.0
2016-10-05,8.019108280254777
2016-10-06,11.538216560509554
2016-10-07,3.144904458598726
2016-10-08,3.522292993630573
2016-10-09,5.2834394904458595
2016-10-10,5.5
2016-10-11,3.019108280254777
2016-10-12,15.654458598726116
2016-10-13,3.019108280254777
2016-10-14,8.644904458598726
2016-10-15,7.044585987261146
2016-10-16,3.3964968152866244
2016-10-17,13.931528662420382
2016-10-18,0.0
2016-10-19,3.019108280254777
2016-10-20,5.0
2016-10-21,3.144904458598726
2016-10-22,23.283439490445858
2016-10-23,6.9187898089171975
2016-10-24,8.019108280254777
2016-10-25,8.019108280254777
2016-10-26,7.893312101910828
2016-10-27,16.538216560509554
2016-10-28,8.644904458598726
2016-10-29,9.522292993630574
2016-10-30,7.044585987261146
2016-10-31,11.664012738853504
2016-11-01,10.154458598726116
2016-11-02,11.0
2016-11-03,21.0
2016-11-04,11.0
2016-11-05,12.0
2016-11-06,59.0
2016-11-07,20.0
2016-11-08,71.0
2016-11-09,57.0
2016-11-10,31.0
2016-11-11,44.0
2016-11-12,0.0
2016-11-13,24.0
2016-11-14,10.0
2016-11-15,21.0
