date,putin golf
2016-12-17,31.546489563567363
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,54.98102466793169
2016-12-21,0.0
2016-12-22,28.842504743833018
2016-12-23,29.7438330170778
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,33.34914611005693
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,54.079696394686906
2017-01-06,82.92220113851992
2017-01-07,60.38899430740038
2017-01-08,29.7438330170778
2017-01-09,0.0
2017-01-10,51.37571157495256
2017-01-11,26.138519924098674
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,29.7438330170778
2017-01-15,29.7438330170778
2017-01-16,0.0
2017-01-17,26.138519924098674
2017-01-18,0.0
2017-01-19,26.138519924098674
2017-01-20,26.138519924098674
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,25.23719165085389
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,60.38899430740038
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,26.138519924098674
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,28.842504743833018
2017-02-06,0.0
2017-02-07,25.23719165085389
2017-02-08,0.0
2017-02-09,26.138519924098674
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,59.4876660341556
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,26.138519924098674
2017-02-16,0.0
2017-02-17,27.039848197343453
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,26.138519924098674
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,29.7438330170778
2017-02-27,26.138519924098674
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,10.0
2017-03-03,10.0
2017-03-04,11.5
2017-03-05,25.42125237191651
2017-03-06,0.0
2017-03-07,9.5
2017-03-08,44.23719165085389
2017-03-09,12.618595825426945
2017-03-10,10.0
2017-03-11,14.8719165085389
2017-03-12,14.421252371916509
2017-03-13,22.118595825426944
2017-03-14,19.5
2017-03-15,0.0
2017-03-16,19.5
2017-03-17,23.519924098671726
2017-03-18,25.42125237191651
2017-03-19,36.92125237191651
2017-03-20,0.0
2017-03-21,12.618595825426945
2017-03-22,9.5
2017-03-23,0.0
2017-03-24,10.5
2017-03-25,14.8719165085389
2017-03-26,79.56641366223909
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,23.069259962049337
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,15.322580645161292
2017-04-02,0.0
2017-04-03,40.0
2017-04-04,0.0
2017-04-05,20.0
2017-04-06,20.0
2017-04-07,42.0
2017-04-08,58.0
2017-04-09,47.0
2017-04-10,20.0
2017-04-11,61.0
2017-04-12,21.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,24.0
2017-04-17,21.0
2017-04-18,20.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,21.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,41.0
2017-04-29,23.0
2017-04-30,24.0
2017-05-01,0.0
2017-05-02,40.0
2017-05-03,39.0
2017-05-04,40.0
2017-05-05,21.0
2017-05-06,0.0
2017-05-07,46.0
2017-05-08,20.0
2017-05-09,30.0
2017-05-10,40.0
2017-05-11,20.0
2017-05-12,21.0
2017-05-13,23.0
2017-05-14,24.0
2017-05-15,20.0
2017-05-16,100.0
2017-05-17,30.0
2017-05-18,0.0
2017-05-19,21.0
2017-05-20,0.0
2017-05-21,47.0
2017-05-22,20.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,22.0
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,21.0
2017-05-30,41.0
2017-05-31,20.0
2017-06-01,20.0
2017-06-02,42.0
2017-06-03,36.0
