date,russian ties
2016-05-01,2.359882005899705
2016-05-02,0.0
2016-05-03,1.7699115044247788
2016-05-04,0.0
2016-05-05,2.359882005899705
2016-05-06,0.0
2016-05-07,2.359882005899705
2016-05-08,2.359882005899705
2016-05-09,1.7699115044247788
2016-05-10,0.0
2016-05-11,0.0
2016-05-12,0.0
2016-05-13,2.359882005899705
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,0.0
2016-05-18,4.129793510324483
2016-05-19,0.0
2016-05-20,2.359882005899705
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,2.359882005899705
2016-05-29,0.0
2016-05-30,2.359882005899705
2016-05-31,1.7699115044247788
2016-06-01,1.7699115044247788
2016-06-02,2.359882005899705
2016-06-03,0.0
2016-06-04,2.359882005899705
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,2.359882005899705
2016-06-10,4.129793510324483
2016-06-11,3.5398230088495577
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,1.7699115044247788
2016-06-15,0.0
2016-06-16,1.7699115044247788
2016-06-17,0.0
2016-06-18,2.359882005899705
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,4.129793510324483
2016-06-22,1.7699115044247788
2016-06-23,2.359882005899705
2016-06-24,2.359882005899705
2016-06-25,0.0
2016-06-26,2.359882005899705
2016-06-27,0.0
2016-06-28,0.0
2016-06-29,2.359882005899705
2016-06-30,2.359882005899705
2016-07-01,2.359882005899705
2016-07-02,2.359882005899705
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,2.359882005899705
2016-07-06,2.359882005899705
2016-07-07,2.359882005899705
2016-07-08,2.359882005899705
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,2.359882005899705
2016-07-12,1.7699115044247788
2016-07-13,2.359882005899705
2016-07-14,2.359882005899705
2016-07-15,2.359882005899705
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,2.359882005899705
2016-07-20,2.949852507374631
2016-07-21,2.359882005899705
2016-07-22,2.359882005899705
2016-07-23,2.359882005899705
2016-07-24,4.71976401179941
2016-07-25,10.619469026548673
2016-07-26,13.569321533923304
2016-07-27,39.528023598820056
2016-07-28,29.49852507374631
2016-07-29,12.389380530973451
2016-07-30,16.519174041297934
2016-07-31,10.029498525073747
2016-08-01,5.3097345132743365
2016-08-02,11.799410029498524
2016-08-03,7.669616519174041
2016-08-04,4.129793510324483
2016-08-05,5.3097345132743365
2016-08-06,6.489675516224189
2016-08-07,2.359882005899705
2016-08-08,4.129793510324483
2016-08-09,2.359882005899705
2016-08-10,2.949852507374631
2016-08-11,4.129793510324483
2016-08-12,6.489675516224189
2016-08-13,3.5398230088495577
2016-08-14,2.359882005899705
2016-08-15,7.669616519174041
2016-08-16,2.949852507374631
2016-08-17,5.3097345132743365
2016-08-18,2.359882005899705
2016-08-19,6.489675516224189
2016-08-20,2.359882005899705
2016-08-21,2.359882005899705
2016-08-22,1.7699115044247788
2016-08-23,2.359882005899705
2016-08-24,0.0
2016-08-25,2.359882005899705
2016-08-26,2.359882005899705
2016-08-27,7.079646017699115
2016-08-28,2.359882005899705
2016-08-29,1.7699115044247788
2016-08-30,4.129793510324483
2016-08-31,4.129793510324483
2016-09-01,2.949852507374631
2016-09-02,2.359882005899705
2016-09-03,0.0
2016-09-04,2.359882005899705
2016-09-05,0.0
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,0.0
2016-09-09,2.359882005899705
2016-09-10,4.71976401179941
2016-09-11,4.71976401179941
2016-09-12,5.899705014749262
2016-09-13,4.129793510324483
2016-09-14,1.7699115044247788
2016-09-15,5.3097345132743365
2016-09-16,2.359882005899705
2016-09-17,2.359882005899705
2016-09-18,0.0
2016-09-19,5.899705014749262
2016-09-20,0.0
2016-09-21,1.7699115044247788
2016-09-22,1.7699115044247788
2016-09-23,2.359882005899705
2016-09-24,10.619469026548673
2016-09-25,3.5398230088495577
2016-09-26,1.7699115044247788
2016-09-27,4.129793510324483
2016-09-28,1.7699115044247788
2016-09-29,0.0
2016-09-30,2.359882005899705
2016-10-01,0.0
2016-10-02,2.1799410029498523
2016-10-03,2.3849557522123894
2016-10-04,2.4749262536873156
2016-10-05,4.8598820058997045
2016-10-06,1.8849557522123894
2016-10-07,5.154867256637168
2016-10-08,3.1799410029498523
2016-10-09,2.769911504424779
2016-10-10,6.8598820058997045
2016-10-11,4.3598820058997045
2016-10-12,2.9749262536873156
2016-10-13,2.8849557522123894
2016-10-14,5.654867256637168
2016-10-15,4.449852507374631
2016-10-16,2.359882005899705
2016-10-17,2.4749262536873156
2016-10-18,3.0648967551622417
2016-10-19,2.9749262536873156
2016-10-20,4.449852507374631
2016-10-21,3.0648967551622417
2016-10-22,2.1799410029498523
2016-10-23,3.269911504424779
2016-10-24,2.3849557522123894
2016-10-25,2.8849557522123894
2016-10-26,2.8849557522123894
2016-10-27,2.5
2016-10-28,0.0
2016-10-29,5.449852507374631
2016-10-30,7.539823008849558
2016-10-31,40.44395280235988
2016-11-01,59.99852507374631
2016-11-02,27.0
2016-11-03,7.0
2016-11-04,15.0
2016-11-05,5.0
2016-11-06,10.0
2016-11-07,3.0
2016-11-08,6.0
2016-11-09,16.0
2016-11-10,19.0
2016-11-11,31.0
2016-11-12,10.0
2016-11-13,8.0
2016-11-14,14.0
2016-11-15,2.0
2016-11-16,9.0
2016-11-17,5.0
