date,dementia
2016-05-01,32.484791492126455
2016-05-02,33.89717373091457
2016-05-03,36.721938208490776
2016-05-04,48.727187238189686
2016-05-05,40.25289380546104
2016-05-06,36.01574708909673
2016-05-07,31.07240925333835
2016-05-08,31.778600372732402
2016-05-09,39.54670268606699
2016-05-10,39.54670268606699
2016-05-11,40.25289380546104
2016-05-12,36.721938208490776
2016-05-13,33.89717373091457
2016-05-14,26.129071417579976
2016-05-15,32.484791492126455
2016-05-16,39.54670268606699
2016-05-17,40.25289380546104
2016-05-18,40.9590849248551
2016-05-19,43.783849402431315
2016-05-20,70.61911193940534
2016-05-21,39.54670268606699
2016-05-22,34.603364850308616
2016-05-23,37.428129327884825
2016-05-24,38.840511566672944
2016-05-25,37.428129327884825
2016-05-26,36.01574708909673
2016-05-27,32.484791492126455
2016-05-28,26.129071417579976
2016-05-29,29.660027014550245
2016-05-30,29.660027014550245
2016-05-31,36.01574708909673
2016-06-01,37.428129327884825
2016-06-02,45.19623164121942
2016-06-03,36.721938208490776
2016-06-04,33.19098261152052
2016-06-05,31.778600372732402
2016-06-06,36.721938208490776
2016-06-07,35.30955596970267
2016-06-08,36.01574708909673
2016-06-09,35.30955596970267
2016-06-10,32.484791492126455
2016-06-11,28.95383589515619
2016-06-12,29.660027014550245
2016-06-13,33.19098261152052
2016-06-14,35.30955596970267
2016-06-15,38.13432044727889
2016-06-16,37.428129327884825
2016-06-17,33.89717373091457
2016-06-18,27.541453656368084
2016-06-19,31.07240925333835
2016-06-20,34.603364850308616
2016-06-21,35.30955596970267
2016-06-22,33.19098261152052
2016-06-23,31.07240925333835
2016-06-24,29.660027014550245
2016-06-25,24.010498059397815
2016-06-26,31.07240925333835
2016-06-27,37.428129327884825
2016-06-28,60.02624514849454
2016-06-29,43.783849402431315
2016-06-30,35.30955596970267
2016-07-01,31.778600372732402
2016-07-02,26.83526253697403
2016-07-03,28.247644775762137
2016-07-04,30.366218133944297
2016-07-05,38.840511566672944
2016-07-06,37.428129327884825
2016-07-07,32.484791492126455
2016-07-08,33.19098261152052
2016-07-09,27.541453656368084
2016-07-10,31.07240925333835
2016-07-11,37.428129327884825
