date,hillary steak
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,1.8388520971302427
2017-04-20,0.0
2017-04-21,0.0
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,1.9139072847682117
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,1.8388520971302427
2017-05-11,1.8763796909492272
2017-05-12,0.0
2017-05-13,2.1766004415011038
2017-05-14,0.0
2017-05-15,1.8763796909492272
2017-05-16,0.0
2017-05-17,1.8388520971302427
2017-05-18,3.7527593818984544
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,2.2141280353200883
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,2.0264900662251653
2017-05-27,0.0
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,1.8763796909492272
2017-06-01,1.8763796909492272
2017-06-02,0.0
2017-06-03,0.0
