date,putin burger
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,39.83098591549297
2016-05-04,0.0
2016-05-05,21.11042253521127
2016-05-06,0.0
2016-05-07,0.0
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,19.915492957746483
2016-05-11,20.31380281690141
2016-05-12,0.0
2016-05-13,21.11042253521127
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,20.31380281690141
2016-05-17,0.0
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,0.0
2016-05-23,20.31380281690141
2016-05-24,0.0
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,0.0
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,20.71211267605634
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,23.898591549295777
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,20.71211267605634
2016-06-22,0.0
2016-06-23,20.71211267605634
2016-06-24,0.0
2016-06-25,24.296901408450708
2016-06-26,0.0
2016-06-27,0.0
2016-06-28,20.71211267605634
2016-06-29,0.0
2016-06-30,0.0
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,0.0
2016-07-04,0.0
2016-07-05,0.0
2016-07-06,21.5087323943662
2016-07-07,0.0
2016-07-08,21.907042253521126
2016-07-09,0.0
2016-07-10,36.64450704225352
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-16,0.0
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,0.0
2016-07-20,0.0
2016-07-21,0.0
2016-07-22,21.5087323943662
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,20.71211267605634
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,21.907042253521126
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,0.0
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,0.0
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,0.0
2016-08-10,0.0
2016-08-11,0.0
2016-08-12,0.0
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,21.907042253521126
2016-08-16,0.0
2016-08-17,0.0
2016-08-18,0.0
2016-08-19,21.5087323943662
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,0.0
2016-08-23,20.71211267605634
2016-08-24,0.0
2016-08-25,0.0
2016-08-26,0.0
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.0
2016-08-31,19.915492957746483
2016-09-01,0.0
2016-09-02,0.0
2016-09-03,23.898591549295777
2016-09-04,0.0
2016-09-05,20.71211267605634
2016-09-06,0.0
2016-09-07,0.0
2016-09-08,20.31380281690141
2016-09-09,0.0
2016-09-10,23.500281690140845
2016-09-11,0.0
2016-09-12,0.0
2016-09-13,19.915492957746483
2016-09-14,20.31380281690141
2016-09-15,0.0
2016-09-16,0.0
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,0.0
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,19.517183098591552
2016-09-29,19.915492957746483
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,22.184436619718312
2016-10-06,22.8633020344288
2016-10-07,0.0
2016-10-08,11.550985915492959
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,12.905555555555555
2016-10-13,12.905555555555555
2016-10-14,9.957746478873242
2016-10-15,11.351830985915493
2016-10-16,25.74156494522692
2016-10-17,31.463317683881066
2016-10-18,21.903881064162757
2016-10-19,0.0
2016-10-20,22.383591549295776
2016-10-21,22.8633020344288
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,22.383591549295776
2016-10-25,9.559436619718312
2016-10-26,0.0
2016-10-27,12.625
2016-10-28,10.156901408450706
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,28.616666666666667
2016-11-06,28.616666666666667
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,23.005555555555556
2016-11-10,0.0
2016-11-11,39.27777777777778
2016-11-12,0.0
2016-11-13,28.616666666666667
2016-11-14,0.0
2016-11-15,25.25
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,49.37777777777778
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,25.81111111111111
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,49.37777777777778
2016-12-08,25.25
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,24.68888888888889
2016-12-13,24.68888888888889
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,52.74444444444445
2016-12-17,29.177777777777777
2016-12-18,28.616666666666667
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,56.111111111111114
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,28.055555555555557
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,31.422222222222224
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,24.127777777777776
2017-01-11,24.127777777777776
2017-01-12,24.127777777777776
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,24.127777777777776
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,24.68888888888889
2017-01-21,28.055555555555557
2017-01-22,27.494444444444444
2017-01-23,24.127777777777776
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,28.055555555555557
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
