date,intelligent
2016-05-01,73.08185840707965
2016-05-02,78.77654867256636
2016-05-03,85.42035398230088
2016-05-04,86.36946902654867
2016-05-05,85.42035398230088
2016-05-06,72.13274336283186
2016-05-07,65.48893805309734
2016-05-08,72.13274336283186
2016-05-09,85.42035398230088
2016-05-10,82.57300884955752
2016-05-11,86.36946902654867
2016-05-12,81.62389380530973
2016-05-13,79.72566371681415
2016-05-14,66.43805309734513
2016-05-15,78.77654867256636
2016-05-16,85.42035398230088
2016-05-17,85.42035398230088
2016-05-18,83.52212389380531
2016-05-19,81.62389380530973
2016-05-20,83.52212389380531
2016-05-21,66.43805309734513
2016-05-22,72.13274336283186
2016-05-23,80.67477876106194
2016-05-24,80.67477876106194
2016-05-25,82.57300884955752
2016-05-26,88.26769911504425
2016-05-27,77.82743362831859
2016-05-28,66.43805309734513
2016-05-29,66.43805309734513
2016-05-30,75.929203539823
2016-05-31,85.42035398230088
2016-06-01,81.62389380530973
2016-06-02,86.36946902654867
2016-06-03,70.23451327433628
2016-06-04,66.43805309734513
2016-06-05,66.43805309734513
2016-06-06,74.03097345132743
2016-06-07,80.67477876106194
2016-06-08,72.13274336283186
2016-06-09,74.03097345132743
2016-06-10,72.13274336283186
2016-06-11,66.43805309734513
2016-06-12,72.13274336283186
2016-06-13,74.98008849557522
2016-06-14,77.82743362831859
2016-06-15,77.82743362831859
2016-06-16,78.77654867256636
2016-06-17,76.8783185840708
2016-06-18,71.18362831858407
2016-06-19,67.38716814159292
2016-06-20,75.929203539823
2016-06-21,79.72566371681415
2016-06-22,79.72566371681415
2016-06-23,77.82743362831859
2016-06-24,76.8783185840708
2016-06-25,67.38716814159292
2016-06-26,71.18362831858407
2016-06-27,74.03097345132743
2016-06-28,82.57300884955752
2016-06-29,74.98008849557522
2016-06-30,80.67477876106194
2016-07-01,68.3362831858407
2016-07-02,67.38716814159292
2016-07-03,67.38716814159292
2016-07-04,70.23451327433628
2016-07-05,70.23451327433628
2016-07-06,70.23451327433628
2016-07-07,74.98008849557522
2016-07-08,74.03097345132743
2016-07-09,65.48893805309734
2016-07-10,65.48893805309734
2016-07-11,77.82743362831859
2016-07-12,79.72566371681415
2016-07-13,77.82743362831859
2016-07-14,74.98008849557522
2016-07-15,71.18362831858407
2016-07-16,67.38716814159292
2016-07-17,69.28539823008849
2016-07-18,75.929203539823
2016-07-19,79.72566371681415
2016-07-20,83.52212389380531
2016-07-21,77.82743362831859
2016-07-22,70.23451327433628
2016-07-23,64.53982300884955
2016-07-24,65.48893805309734
2016-07-25,76.8783185840708
2016-07-26,78.77654867256636
2016-07-27,74.03097345132743
2016-07-28,76.8783185840708
2016-07-29,75.929203539823
2016-07-30,69.28539823008849
2016-07-31,64.53982300884955
2016-08-01,78.77654867256636
2016-08-02,77.82743362831859
2016-08-03,75.929203539823
2016-08-04,71.18362831858407
2016-08-05,76.8783185840708
2016-08-06,65.48893805309734
2016-08-07,62.64159292035398
2016-08-08,69.28539823008849
2016-08-09,72.13274336283186
2016-08-10,78.77654867256636
2016-08-11,73.08185840707965
2016-08-12,72.13274336283186
2016-08-13,65.48893805309734
2016-08-14,62.64159292035398
2016-08-15,74.98008849557522
2016-08-16,78.77654867256636
2016-08-17,75.929203539823
2016-08-18,75.929203539823
2016-08-19,77.82743362831859
2016-08-20,58.84513274336283
2016-08-21,65.48893805309734
2016-08-22,84.47123893805309
2016-08-23,87.31858407079646
2016-08-24,76.8783185840708
2016-08-25,87.31858407079646
2016-08-26,75.929203539823
2016-08-27,63.59070796460177
2016-08-28,73.08185840707965
2016-08-29,81.62389380530973
2016-08-30,83.52212389380531
2016-08-31,85.42035398230088
2016-09-01,85.42035398230088
2016-09-02,79.72566371681415
2016-09-03,65.48893805309734
2016-09-04,72.13274336283186
2016-09-05,74.98008849557522
2016-09-06,84.47123893805309
2016-09-07,90.16592920353982
2016-09-08,88.26769911504425
2016-09-09,83.52212389380531
2016-09-10,62.64159292035398
2016-09-11,74.98008849557522
2016-09-12,88.26769911504425
2016-09-13,85.42035398230088
2016-09-14,92.0641592920354
2016-09-15,84.47123893805309
2016-09-16,79.72566371681415
2016-09-17,67.38716814159292
2016-09-18,73.08185840707965
2016-09-19,87.31858407079646
2016-09-20,88.26769911504425
2016-09-21,86.36946902654867
2016-09-22,84.47123893805309
2016-09-23,83.52212389380531
2016-09-24,69.28539823008849
2016-09-25,77.82743362831859
2016-09-26,89.21681415929203
2016-09-27,89.21681415929203
2016-09-28,88.26769911504425
2016-09-29,91.11504424778761
2016-09-30,77.82743362831859
2016-10-01,66.19358407079646
2016-10-02,70.11725663716814
2016-10-03,79.81194690265487
2016-10-04,83.78650442477877
2016-10-05,83.33738938053096
2016-10-06,88.68473451327434
2016-10-07,78.36283185840708
2016-10-08,71.11725663716814
2016-10-09,69.61725663716814
2016-10-10,83.71017699115043
2016-10-11,88.13384955752213
2016-10-12,92.45575221238937
2016-10-13,92.48119469026548
2016-10-14,82.26106194690266
2016-10-15,70.66814159292035
2016-10-16,72.59181415929203
2016-10-17,86.18473451327434
2016-10-18,88.63384955752213
2016-10-19,87.13384955752213
2016-10-20,83.73561946902655
2016-10-21,81.76106194690266
2016-10-22,66.71902654867256
2016-10-23,75.01548672566372
2016-10-24,86.60840707964601
2016-10-25,88.0829646017699
2016-10-26,86.68473451327434
2016-10-27,85.23561946902655
2016-10-28,78.4391592920354
2016-10-29,63.8716814159292
2016-10-30,70.09181415929203
2016-10-31,86.76106194690266
2016-11-01,85.71017699115043
2016-11-02,87.0
2016-11-03,89.0
