date,hillary book
2016-05-01,3.2927042835627476
2016-05-02,3.8414883308232057
2016-05-03,7.6829766616464115
2016-05-04,10.975680945209158
2016-05-05,10.4268968979487
2016-05-06,6.585408567125495
2016-05-07,3.2927042835627476
2016-05-08,7.134192614385952
2016-05-09,4.939056425344121
2016-05-10,6.036624519865037
2016-05-11,8.780544756167327
2016-05-12,3.2927042835627476
2016-05-13,3.2927042835627476
2016-05-14,3.2927042835627476
2016-05-15,5.487840472604579
2016-05-16,4.939056425344121
2016-05-17,6.036624519865037
2016-05-18,5.487840472604579
2016-05-19,6.585408567125495
2016-05-20,4.939056425344121
2016-05-21,4.390272378083663
2016-05-22,2.7439202363022894
2016-05-23,6.036624519865037
2016-05-24,4.390272378083663
2016-05-25,5.487840472604579
2016-05-26,7.134192614385952
2016-05-27,3.2927042835627476
2016-05-28,12.622033086990532
2016-05-29,3.2927042835627476
2016-05-30,3.8414883308232057
2016-05-31,4.390272378083663
2016-06-01,3.2927042835627476
2016-06-02,3.8414883308232057
2016-06-03,4.390272378083663
2016-06-04,8.231760708906869
2016-06-05,18.65865760685557
2016-06-06,20.30500974863694
2016-06-07,35.12217902466931
2016-06-08,34.573394977408846
2016-06-09,17.561089512334654
2016-06-10,20.8537937958974
2016-06-11,13.719601181511448
2016-06-12,13.17081713425099
2016-06-13,9.878112850688241
2016-06-14,10.975680945209158
2016-06-15,9.878112850688241
2016-06-16,3.2927042835627476
2016-06-17,4.939056425344121
2016-06-18,6.036624519865037
2016-06-19,7.6829766616464115
2016-06-20,11.524464992469618
2016-06-21,14.817169276032365
2016-06-22,21.402577843157857
2016-06-23,15.365953323292823
2016-06-24,9.878112850688241
2016-06-25,7.6829766616464115
2016-06-26,8.780544756167327
2016-06-27,11.524464992469618
2016-06-28,31.82947474110656
2016-06-29,27.98798641028335
2016-06-30,19.756225701376483
2016-07-01,14.268385228771905
2016-07-02,10.4268968979487
2016-07-03,13.17081713425099
2016-07-04,10.975680945209158
2016-07-05,13.719601181511448
2016-07-06,15.365953323292823
2016-07-07,12.073249039730074
2016-07-08,8.231760708906869
2016-07-09,5.487840472604579
2016-07-10,6.585408567125495
2016-07-11,7.6829766616464115
2016-07-12,8.231760708906869
2016-07-13,8.780544756167327
2016-07-14,5.487840472604579
2016-07-15,9.329328803427785
2016-07-16,9.878112850688241
2016-07-17,4.390272378083663
2016-07-18,10.975680945209158
2016-07-19,5.487840472604579
2016-07-20,17.012305465074196
2016-07-21,14.817169276032365
2016-07-22,17.561089512334654
2016-07-23,20.8537937958974
2016-07-24,18.109873559595112
2016-07-25,12.622033086990532
2016-07-26,17.561089512334654
2016-07-27,25.792850221241522
2016-07-28,24.695282126720606
2016-07-29,43.35393973357617
2016-07-30,23.59771403219969
2016-07-31,25.244066173981064
2016-08-01,18.109873559595112
2016-08-02,14.268385228771905
2016-08-03,14.268385228771905
2016-08-04,13.719601181511448
2016-08-05,13.719601181511448
2016-08-06,14.268385228771905
2016-08-07,12.073249039730074
2016-08-08,7.6829766616464115
2016-08-09,9.878112850688241
2016-08-10,9.878112850688241
2016-08-11,8.780544756167327
2016-08-12,8.780544756167327
2016-08-13,9.878112850688241
2016-08-14,8.780544756167327
2016-08-15,4.939056425344121
2016-08-16,6.585408567125495
2016-08-17,7.6829766616464115
2016-08-18,5.487840472604579
2016-08-19,7.6829766616464115
2016-08-20,6.036624519865037
2016-08-21,3.8414883308232057
2016-08-22,9.878112850688241
2016-08-23,10.4268968979487
2016-08-24,9.878112850688241
2016-08-25,9.329328803427785
2016-08-26,4.390272378083663
2016-08-27,6.585408567125495
2016-08-28,9.329328803427785
2016-08-29,8.780544756167327
2016-08-30,6.585408567125495
2016-08-31,9.878112850688241
2016-09-01,5.487840472604579
2016-09-02,4.939056425344121
2016-09-03,4.939056425344121
2016-09-04,8.231760708906869
2016-09-05,9.329328803427785
2016-09-06,9.329328803427785
2016-09-07,9.329328803427785
2016-09-08,10.975680945209158
2016-09-09,9.329328803427785
2016-09-10,7.134192614385952
2016-09-11,12.073249039730074
2016-09-12,18.65865760685557
2016-09-13,19.756225701376483
2016-09-14,13.17081713425099
2016-09-15,24.146498079460148
2016-09-16,15.91473737055328
2016-09-17,14.268385228771905
2016-09-18,13.17081713425099
2016-09-19,10.975680945209158
2016-09-20,13.719601181511448
2016-09-21,11.524464992469618
2016-09-22,11.524464992469618
2016-09-23,12.622033086990532
2016-09-24,9.329328803427785
2016-09-25,11.524464992469618
2016-09-26,17.012305465074196
2016-09-27,54.878404726045794
2016-09-28,23.59771403219969
2016-09-29,18.65865760685557
2016-09-30,15.365953323292823
2016-10-01,10.422927393086056
2016-10-02,14.811215018738398
2016-10-03,11.063506240295146
2016-10-04,15.726185889577716
2016-10-05,14.72041259500543
2016-10-06,10.697319416716285
2016-10-07,10.240330169404457
2016-10-08,13.165855253172687
2016-10-09,13.714639300433143
2016-10-10,32.458145073727714
2016-10-11,17.646930054989316
2016-10-12,15.544581042111776
2016-10-13,16.9145564078316
2016-10-14,17.00635120778023
2016-10-15,13.622844500484513
2016-10-16,15.816988313310684
2016-10-17,16.73195918415
2016-10-18,10.422927393086056
2016-10-19,13.989031324063372
2016-10-20,24.86894796446126
2016-10-21,20.114473515230056
2016-10-22,13.622844500484513
2016-10-23,14.171628547744971
2016-10-24,14.72041259500543
2016-10-25,16.54836958425274
2016-10-26,13.897236524114742
2016-10-27,11.612290287555604
2016-10-28,17.37253803135909
2016-10-29,18.743505773294572
2016-10-30,20.480660338808914
2016-10-31,18.834308197027543
