date,hillary benghazi
2016-05-01,5.488721804511278
2016-05-02,5.488721804511278
2016-05-03,5.488721804511278
2016-05-04,16.466165413533833
2016-05-05,17.250268528464016
2016-05-06,14.113856068743287
2016-05-07,9.40923737916219
2016-05-08,10.977443609022556
2016-05-09,7.841031149301826
2016-05-10,10.193340494092373
2016-05-11,14.89795918367347
2016-05-12,10.193340494092373
2016-05-13,6.272824919441461
2016-05-14,9.40923737916219
2016-05-15,7.056928034371643
2016-05-16,7.056928034371643
2016-05-17,6.272824919441461
2016-05-18,7.056928034371643
2016-05-19,6.272824919441461
2016-05-20,5.488721804511278
2016-05-21,6.272824919441461
2016-05-22,4.704618689581095
2016-05-23,3.920515574650913
2016-05-24,6.272824919441461
2016-05-25,10.977443609022556
2016-05-26,12.545649838882921
2016-05-27,10.977443609022556
2016-05-28,9.40923737916219
2016-05-29,14.113856068743287
2016-05-30,14.113856068743287
2016-05-31,9.40923737916219
2016-06-01,6.272824919441461
2016-06-02,8.625134264232008
2016-06-03,9.40923737916219
2016-06-04,8.625134264232008
2016-06-05,10.977443609022556
2016-06-06,7.841031149301826
2016-06-07,14.113856068743287
2016-06-08,29.011815252416756
2016-06-09,22.738990332975295
2016-06-10,29.79591836734694
2016-06-11,29.79591836734694
2016-06-12,34.50053705692803
2016-06-13,22.738990332975295
2016-06-14,14.113856068743287
2016-06-15,11.761546723952739
2016-06-16,11.761546723952739
2016-06-17,10.193340494092373
2016-06-18,12.545649838882921
2016-06-19,16.466165413533833
2016-06-20,10.977443609022556
2016-06-21,7.056928034371643
2016-06-22,10.193340494092373
2016-06-23,8.625134264232008
2016-06-24,9.40923737916219
2016-06-25,10.977443609022556
2016-06-26,12.545649838882921
2016-06-27,14.113856068743287
2016-06-28,37.63694951664876
2016-06-29,31.364124597207304
2016-06-30,18.0343716433942
2016-07-01,11.761546723952739
2016-07-02,14.113856068743287
2016-07-03,19.602577873254564
2016-07-04,14.113856068743287
2016-07-05,21.17078410311493
2016-07-06,24.30719656283566
2016-07-07,19.602577873254564
2016-07-08,14.113856068743287
2016-07-09,12.545649838882921
2016-07-10,10.977443609022556
2016-07-11,7.056928034371643
2016-07-12,7.056928034371643
2016-07-13,6.272824919441461
2016-07-14,7.056928034371643
2016-07-15,7.056928034371643
2016-07-16,7.841031149301826
2016-07-17,9.40923737916219
2016-07-18,10.977443609022556
2016-07-19,45.47798066595059
2016-07-20,27.44360902255639
2016-07-21,26.659505907626208
2016-07-22,21.954887218045112
2016-07-23,21.17078410311493
2016-07-24,18.81847475832438
2016-07-25,14.89795918367347
2016-07-26,24.30719656283566
2016-07-27,31.364124597207304
2016-07-28,34.50053705692803
2016-07-29,46.26208378088077
2016-07-30,26.659505907626208
2016-07-31,26.659505907626208
2016-08-01,29.79591836734694
2016-08-02,29.011815252416756
2016-08-03,18.81847475832438
2016-08-04,13.329752953813104
2016-08-05,14.113856068743287
2016-08-06,10.193340494092373
2016-08-07,11.761546723952739
2016-08-08,9.40923737916219
2016-08-09,21.954887218045112
2016-08-10,14.113856068743287
2016-08-11,8.625134264232008
2016-08-12,7.841031149301826
2016-08-13,8.625134264232008
2016-08-14,7.841031149301826
2016-08-15,8.625134264232008
2016-08-16,6.272824919441461
2016-08-17,5.488721804511278
2016-08-18,5.488721804511278
2016-08-19,6.272824919441461
2016-08-20,7.841031149301826
2016-08-21,7.841031149301826
2016-08-22,6.272824919441461
2016-08-23,7.056928034371643
2016-08-24,5.488721804511278
2016-08-25,6.272824919441461
2016-08-26,7.841031149301826
2016-08-27,6.272824919441461
2016-08-28,7.056928034371643
2016-08-29,3.920515574650913
2016-08-30,4.704618689581095
2016-08-31,7.056928034371643
2016-09-01,6.272824919441461
2016-09-02,7.056928034371643
2016-09-03,7.056928034371643
2016-09-04,4.704618689581095
2016-09-05,6.272824919441461
2016-09-06,7.841031149301826
2016-09-07,7.056928034371643
2016-09-08,8.625134264232008
2016-09-09,6.272824919441461
2016-09-10,6.272824919441461
2016-09-11,9.40923737916219
2016-09-12,10.193340494092373
2016-09-13,7.841031149301826
2016-09-14,8.625134264232008
2016-09-15,7.056928034371643
2016-09-16,7.841031149301826
2016-09-17,4.704618689581095
2016-09-18,5.488721804511278
2016-09-19,6.272824919441461
2016-09-20,4.704618689581095
2016-09-21,7.056928034371643
2016-09-22,6.272824919441461
2016-09-23,5.488721804511278
2016-09-24,9.40923737916219
2016-09-25,7.841031149301826
2016-09-26,13.329752953813104
2016-09-27,65.86466165413533
2016-09-28,35.284640171858214
2016-09-29,22.738990332975295
2016-09-30,16.466165413533833
2016-10-01,17.017185821697097
2016-10-02,17.517185821697097
2016-10-03,13.164876476906553
2016-10-04,17.909237379162192
2016-10-05,16.12513426423201
2016-10-06,10.204618689581096
2016-10-07,11.488721804511279
2016-10-08,35.034371643394195
2016-10-09,41.454887218045116
2016-10-10,81.70515574650912
2016-10-11,35.25026852846402
2016-10-12,31.005907626208376
2016-10-13,28.721804511278194
2016-10-14,29.11385606874329
2016-10-15,22.977443609022558
2016-10-16,23.369495166487646
2016-10-17,17.733082706766915
2016-10-18,19.909237379162192
2016-10-19,29.682062298603654
2016-10-20,37.92642320085929
2016-10-21,17.30128893662728
2016-10-22,16.12513426423201
2016-10-23,19.30128893662728
2016-10-24,12.772824919441462
2016-10-25,12.556928034371644
2016-10-26,12.556928034371644
2016-10-27,14.448979591836736
2016-10-28,17.517185821697097
2016-10-29,18.517185821697097
2016-10-30,18.62513426423201
2016-10-31,16.733082706766915
2016-11-01,16.233082706766915
2016-11-02,20.0
