date,trump admin
2016-12-03,13.0
2016-12-04,7.0
2016-12-05,32.0
2016-12-06,23.0
2016-12-07,35.0
2016-12-08,30.0
2016-12-09,13.0
2016-12-10,15.0
2016-12-11,10.0
2016-12-12,26.0
2016-12-13,11.0
2016-12-14,20.0
2016-12-15,18.0
2016-12-16,25.0
2016-12-17,14.0
2016-12-18,13.0
2016-12-19,15.0
2016-12-20,9.0
2016-12-21,15.0
2016-12-22,12.0
2016-12-23,26.0
2016-12-24,22.0
2016-12-25,19.0
2016-12-26,7.0
2016-12-27,18.0
2016-12-28,6.0
2016-12-29,6.0
2016-12-30,26.0
2016-12-31,22.0
2017-01-01,7.0
2017-01-02,15.0
2017-01-03,20.0
2017-01-04,9.0
2017-01-05,6.0
2017-01-06,24.0
2017-01-07,7.0
2017-01-08,0.0
2017-01-09,11.0
2017-01-10,20.0
2017-01-11,23.0
2017-01-12,20.0
2017-01-13,26.0
2017-01-14,33.0
2017-01-15,19.0
2017-01-16,28.0
2017-01-17,28.0
2017-01-18,39.0
2017-01-19,45.0
2017-01-20,61.0
2017-01-21,88.0
2017-01-22,65.0
2017-01-23,78.0
2017-01-24,67.0
2017-01-25,61.0
2017-01-26,100.0
2017-01-27,65.0
2017-01-28,63.0
2017-01-29,42.0
2017-01-30,73.0
2017-01-31,42.0
2017-02-01,36.0
2017-02-02,78.0
2017-02-03,69.0
2017-02-04,36.0
2017-02-05,22.0
2017-02-06,53.0
2017-02-07,39.0
2017-02-08,31.0
2017-02-09,31.0
2017-02-10,35.0
2017-02-11,33.0
2017-02-12,29.0
2017-02-13,38.0
2017-02-14,73.0
2017-02-15,79.0
2017-02-16,56.0
2017-02-17,29.0
2017-02-18,42.0
2017-02-19,42.0
2017-02-20,39.0
2017-02-21,22.0
2017-02-22,42.0
2017-02-23,62.0
2017-02-24,53.0
2017-02-25,46.0
2017-02-26,19.0
2017-02-27,45.0
2017-02-28,40.0
2017-03-01,32.84154709918902
2017-03-02,41.860885839051775
2017-03-03,41.68434185901435
2017-03-04,47.94853399875234
2017-03-05,45.62507797878977
2017-03-06,35.56706175920149
2017-03-07,44.93948845913911
2017-03-08,28.175296319401124
2017-03-09,28.84154709918902
2017-03-10,32.39051777916407
2017-03-11,21.57735495945103
2017-03-12,30.802869619463507
2017-03-13,21.430442919525888
2017-03-14,26.655957579538367
2017-03-15,37.213973799126634
2017-03-16,18.802869619463507
2017-03-17,28.204928259513412
2017-03-18,14.862133499688085
2017-03-19,21.44978165938865
2017-03-20,32.84154709918902
2017-03-21,15.783530879600749
2017-03-22,29.54772301933874
2017-03-23,14.538677479725514
2017-03-24,17.960074859638176
2017-03-25,23.99875233936369
2017-03-26,16.862133499688085
2017-03-27,16.783530879600747
2017-03-28,18.41110417966313
2017-03-29,30.44978165938865
2017-03-30,14.832501559575796
2017-03-31,25.332501559575796
2017-04-01,21.783530879600747
2017-04-02,27.997504678727385
2017-04-03,24.154709918902057
2017-04-04,42.2707423580786
2017-04-05,18.116032439176543
2017-04-06,12.077354959451029
2017-04-07,21.95882719900187
2017-04-08,17.567061759201497
2017-04-09,7.1366188396756085
2017-04-10,21.409856519026825
2017-04-11,6.038677479725514
2017-04-12,18.665003119151592
2017-04-13,19.213973799126638
2017-04-14,27.997504678727385
2017-04-15,10.979413599500935
2017-04-16,0.0
2017-04-17,12.626325639426076
2017-04-18,12.077354959451029
2017-04-19,8.783530879600749
2017-04-20,12.077354959451029
2017-04-21,19.213973799126638
2017-04-22,17.567061759201497
2017-04-23,13.72426699937617
2017-04-24,9.332501559575796
2017-04-25,18.116032439176543
2017-04-26,38.427947598253276
2017-04-27,6.038677479725514
2017-04-28,18.665003119151592
2017-04-29,17.567061759201497
2017-04-30,14.273237679351217
2017-05-01,19.762944479101684
2017-05-02,18.116032439176543
2017-05-03,29.644416718652526
2017-05-04,12.077354959451029
2017-05-05,12.626325639426076
2017-05-06,14.273237679351217
2017-05-07,14.273237679351217
2017-05-08,12.077354959451029
2017-05-09,30.19338739862757
2017-05-10,26.899563318777293
2017-05-11,9.332501559575796
2017-05-12,21.95882719900187
2017-05-13,14.273237679351217
2017-05-14,7.1366188396756085
2017-05-15,6.038677479725514
2017-05-16,18.116032439176543
2017-05-17,26.899563318777293
2017-05-18,21.409856519026825
2017-05-19,27.997504678727385
2017-05-20,28.546475358702434
2017-05-21,14.273237679351217
2017-05-22,18.116032439176543
2017-05-23,18.116032439176543
2017-05-24,9.332501559575796
2017-05-25,50.505302557704304
2017-05-26,23.056768558951966
2017-05-27,10.979413599500935
2017-05-28,14.822208359326263
2017-05-29,12.626325639426076
2017-05-30,36.781035558328135
2017-05-31,24.154709918902057
2017-06-01,18.665003119151592
2017-06-02,29.09544603867748
2017-06-03,7.1366188396756085
