date,donald trump idiot
2016-05-01,3.401069518716578
2016-05-02,2.8342245989304815
2016-05-03,2.8342245989304815
2016-05-04,15.871657754010696
2016-05-05,8.502673796791445
2016-05-06,5.668449197860963
2016-05-07,6.23529411764706
2016-05-08,3.401069518716578
2016-05-09,0.0
2016-05-10,7.935828877005348
2016-05-11,5.101604278074866
2016-05-12,5.668449197860963
2016-05-13,2.8342245989304815
2016-05-14,0.0
2016-05-15,9.636363636363637
2016-05-16,5.101604278074866
2016-05-17,2.8342245989304815
2016-05-18,7.935828877005348
2016-05-19,7.935828877005348
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,3.401069518716578
2016-05-23,5.101604278074866
2016-05-24,2.8342245989304815
2016-05-25,0.0
2016-05-26,2.8342245989304815
2016-05-27,5.668449197860963
2016-05-28,3.401069518716578
2016-05-29,6.23529411764706
2016-05-30,0.0
2016-05-31,5.668449197860963
2016-06-01,0.0
2016-06-02,2.8342245989304815
2016-06-03,5.668449197860963
2016-06-04,3.401069518716578
2016-06-05,9.636363636363637
2016-06-06,7.935828877005348
2016-06-07,7.935828877005348
2016-06-08,5.668449197860963
2016-06-09,0.0
2016-06-10,2.8342245989304815
2016-06-11,6.23529411764706
2016-06-12,2.8342245989304815
2016-06-13,5.101604278074866
2016-06-14,13.037433155080215
2016-06-15,7.935828877005348
2016-06-16,2.8342245989304815
2016-06-17,2.8342245989304815
2016-06-18,6.23529411764706
2016-06-19,0.0
2016-06-20,5.101604278074866
2016-06-21,5.101604278074866
2016-06-22,5.668449197860963
2016-06-23,2.8342245989304815
2016-06-24,8.502673796791445
2016-06-25,3.401069518716578
2016-06-26,6.23529411764706
2016-06-27,5.101604278074866
2016-06-28,5.668449197860963
2016-06-29,5.668449197860963
2016-06-30,5.668449197860963
2016-07-01,2.8342245989304815
2016-07-02,6.802139037433156
2016-07-03,0.0
2016-07-04,2.8342245989304815
2016-07-05,2.8342245989304815
2016-07-06,2.8342245989304815
2016-07-07,2.8342245989304815
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,2.8342245989304815
2016-07-12,2.8342245989304815
2016-07-13,2.8342245989304815
2016-07-14,0.0
2016-07-15,5.668449197860963
2016-07-16,0.0
2016-07-17,16.438502673796794
2016-07-18,5.668449197860963
2016-07-19,14.171122994652407
2016-07-20,5.668449197860963
2016-07-21,5.668449197860963
2016-07-22,11.336898395721926
2016-07-23,6.23529411764706
2016-07-24,9.636363636363637
2016-07-25,5.668449197860963
2016-07-26,5.668449197860963
2016-07-27,5.668449197860963
2016-07-28,11.336898395721926
2016-07-29,2.8342245989304815
2016-07-30,19.83957219251337
2016-07-31,6.23529411764706
2016-08-01,13.604278074866311
2016-08-02,13.604278074866311
2016-08-03,8.502673796791445
2016-08-04,11.336898395721926
2016-08-05,5.668449197860963
2016-08-06,0.0
2016-08-07,6.23529411764706
2016-08-08,10.77005347593583
2016-08-09,8.502673796791445
2016-08-10,19.272727272727273
2016-08-11,11.336898395721926
2016-08-12,0.0
2016-08-13,9.636363636363637
2016-08-14,0.0
2016-08-15,2.8342245989304815
2016-08-16,8.502673796791445
2016-08-17,5.668449197860963
2016-08-18,2.8342245989304815
2016-08-19,2.8342245989304815
2016-08-20,0.0
2016-08-21,3.401069518716578
2016-08-22,7.935828877005348
2016-08-23,10.77005347593583
2016-08-24,5.668449197860963
2016-08-25,8.502673796791445
2016-08-26,17.00534759358289
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,2.8342245989304815
2016-08-31,2.8342245989304815
2016-09-01,7.935828877005348
2016-09-02,5.668449197860963
2016-09-03,3.401069518716578
2016-09-04,3.401069518716578
2016-09-05,0.0
2016-09-06,5.101604278074866
2016-09-07,7.935828877005348
2016-09-08,15.871657754010696
2016-09-09,10.77005347593583
2016-09-10,6.23529411764706
2016-09-11,0.0
2016-09-12,10.77005347593583
2016-09-13,5.101604278074866
2016-09-14,2.8342245989304815
2016-09-15,5.101604278074866
2016-09-16,0.0
2016-09-17,6.23529411764706
2016-09-18,2.8342245989304815
2016-09-19,2.8342245989304815
2016-09-20,2.8342245989304815
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,5.668449197860963
2016-09-24,9.06951871657754
2016-09-25,2.8342245989304815
2016-09-26,5.101604278074866
2016-09-27,56.68449197860963
2016-09-28,18.13903743315508
2016-09-29,7.935828877005348
2016-09-30,2.8342245989304815
2016-10-01,9.117647058823529
2016-10-02,6.4171122994652405
2016-10-03,4.050802139037433
2016-10-04,7.684491978609626
2016-10-05,4.050802139037433
2016-10-06,6.9171122994652405
2016-10-07,2.9171122994652405
2016-10-08,16.03475935828877
2016-10-09,17.903743315508024
2016-10-10,24.537433155080215
2016-10-11,10.467914438502675
2016-10-12,14.852941176470589
2016-10-13,10.601604278074866
2016-10-14,9.467914438502675
2016-10-15,10.03475935828877
2016-10-16,5.9171122994652405
2016-10-17,8.184491978609625
2016-10-18,13.6524064171123
2016-10-19,11.23529411764706
2016-10-20,32.906417112299465
2016-10-21,9.601604278074866
2016-10-22,12.03475935828877
2016-10-23,6.834224598930481
2016-10-24,9.967914438502675
2016-10-25,7.101604278074866
2016-10-26,1.5
2016-10-27,10.518716577540108
2016-10-28,7.050802139037433
2016-10-29,6.11764705882353
2016-10-30,2.9171122994652405
2016-10-31,8.518716577540108
2016-11-01,8.885026737967916
2016-11-02,9.0
2016-11-03,10.0
2016-11-04,4.0
2016-11-05,10.0
2016-11-06,15.0
2016-11-07,9.0
2016-11-08,18.0
2016-11-09,100.0
