date,hillary putin
2016-05-01,1.055690072639225
2016-05-02,1.055690072639225
2016-05-03,0.5278450363196125
2016-05-04,1.055690072639225
2016-05-05,1.055690072639225
2016-05-06,1.055690072639225
2016-05-07,0.5278450363196125
2016-05-08,1.055690072639225
2016-05-09,2.11138014527845
2016-05-10,1.5835351089588376
2016-05-11,1.5835351089588376
2016-05-12,2.11138014527845
2016-05-13,0.5278450363196125
2016-05-14,1.5835351089588376
2016-05-15,2.6392251815980625
2016-05-16,2.11138014527845
2016-05-17,1.055690072639225
2016-05-18,1.055690072639225
2016-05-19,1.5835351089588376
2016-05-20,2.11138014527845
2016-05-21,1.055690072639225
2016-05-22,1.055690072639225
2016-05-23,1.5835351089588376
2016-05-24,1.055690072639225
2016-05-25,1.055690072639225
2016-05-26,1.055690072639225
2016-05-27,1.055690072639225
2016-05-28,1.5835351089588376
2016-05-29,1.055690072639225
2016-05-30,1.055690072639225
2016-05-31,3.1670702179176753
2016-06-01,2.6392251815980625
2016-06-02,1.5835351089588376
2016-06-03,2.11138014527845
2016-06-04,2.11138014527845
2016-06-05,1.5835351089588376
2016-06-06,3.1670702179176753
2016-06-07,2.11138014527845
2016-06-08,3.694915254237288
2016-06-09,2.11138014527845
2016-06-10,2.6392251815980625
2016-06-11,2.6392251815980625
2016-06-12,1.5835351089588376
2016-06-13,2.11138014527845
2016-06-14,3.694915254237288
2016-06-15,2.6392251815980625
2016-06-16,5.806295399515738
2016-06-17,3.694915254237288
2016-06-18,3.1670702179176753
2016-06-19,8.4455205811138
2016-06-20,7.9176755447941884
2016-06-21,3.1670702179176753
2016-06-22,2.6392251815980625
2016-06-23,3.694915254237288
2016-06-24,1.055690072639225
2016-06-25,3.1670702179176753
2016-06-26,3.1670702179176753
2016-06-27,1.5835351089588376
2016-06-28,1.5835351089588376
2016-06-29,3.694915254237288
2016-06-30,1.055690072639225
2016-07-01,2.11138014527845
2016-07-02,1.5835351089588376
2016-07-03,2.11138014527845
2016-07-04,2.6392251815980625
2016-07-05,4.2227602905569
2016-07-06,4.2227602905569
2016-07-07,1.055690072639225
2016-07-08,1.5835351089588376
2016-07-09,2.11138014527845
2016-07-10,1.5835351089588376
2016-07-11,2.11138014527845
2016-07-12,2.11138014527845
2016-07-13,1.5835351089588376
2016-07-14,2.11138014527845
2016-07-15,2.6392251815980625
2016-07-16,2.11138014527845
2016-07-17,2.6392251815980625
2016-07-18,1.055690072639225
2016-07-19,1.5835351089588376
2016-07-20,3.1670702179176753
2016-07-21,2.11138014527845
2016-07-22,2.6392251815980625
2016-07-23,3.1670702179176753
2016-07-24,5.806295399515738
2016-07-25,9.501210653753025
2016-07-26,11.084745762711863
2016-07-27,13.723970944309926
2016-07-28,13.196125907990314
2016-07-29,15.835351089588377
2016-07-30,10.029055690072639
2016-07-31,9.501210653753025
2016-08-01,6.861985472154963
2016-08-02,4.2227602905569
2016-08-03,4.750605326876513
2016-08-04,3.694915254237288
2016-08-05,4.2227602905569
2016-08-06,3.694915254237288
