date,putin travel
2016-05-01,6.842520050067221
2016-05-02,5.930184043391591
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,6.158268045060498
2016-05-07,7.070604051736128
2016-05-08,0.0
2016-05-09,0.0
2016-05-10,8.66719206341848
2016-05-11,0.0
2016-05-12,5.930184043391591
2016-05-13,0.0
2016-05-14,6.842520050067221
2016-05-15,6.842520050067221
2016-05-16,5.930184043391591
2016-05-17,0.0
2016-05-18,5.930184043391591
2016-05-19,5.930184043391591
2016-05-20,0.0
2016-05-21,13.91312410180335
2016-05-22,0.0
2016-05-23,0.0
2016-05-24,5.930184043391591
2016-05-25,0.0
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,6.158268045060498
2016-05-31,5.930184043391591
2016-06-01,11.860368086783183
2016-06-02,5.930184043391591
2016-06-03,6.158268045060498
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,0.0
2016-06-09,9.123360066756293
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-18,7.070604051736128
2016-06-19,0.0
2016-06-20,5.930184043391591
2016-06-21,0.0
2016-06-22,5.930184043391591
2016-06-23,6.158268045060498
2016-06-24,6.158268045060498
2016-06-25,7.070604051736128
2016-06-26,0.0
2016-06-27,5.930184043391591
2016-06-28,5.930184043391591
2016-06-29,0.0
2016-06-30,5.930184043391591
2016-07-01,0.0
2016-07-02,7.070604051736128
2016-07-03,0.0
2016-07-04,6.386352046729406
2016-07-05,6.158268045060498
2016-07-06,0.0
2016-07-07,6.158268045060498
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,7.070604051736128
2016-07-11,0.0
2016-07-12,0.0
2016-07-13,0.0
2016-07-14,6.158268045060498
2016-07-15,21.6679801585462
2016-07-16,0.0
2016-07-17,7.070604051736128
2016-07-18,0.0
2016-07-19,6.158268045060498
2016-07-20,6.158268045060498
2016-07-21,0.0
2016-07-22,0.0
2016-07-23,7.070604051736128
