date,donald trump pizza
2016-05-01,6.188925081433226
2016-05-02,4.641693811074919
2016-05-03,5.879478827361564
2016-05-04,13.615635179153095
2016-05-05,9.5928338762215
2016-05-06,11.449511400651467
2016-05-07,9.90228013029316
2016-05-08,8.045602605863193
2016-05-09,4.641693811074919
2016-05-10,5.260586319218241
2016-05-11,7.42671009771987
2016-05-12,3.094462540716613
2016-05-13,6.188925081433226
2016-05-14,6.188925081433226
2016-05-15,2.7850162866449515
2016-05-16,7.42671009771987
2016-05-17,5.879478827361564
2016-05-18,3.713355048859935
2016-05-19,5.260586319218241
2016-05-20,4.0228013029315965
2016-05-21,3.713355048859935
2016-05-22,9.90228013029316
2016-05-23,8.355048859934854
2016-05-24,5.879478827361564
2016-05-25,3.094462540716613
2016-05-26,9.5928338762215
2016-05-27,6.498371335504887
2016-05-28,2.7850162866449515
2016-05-29,3.713355048859935
2016-05-30,5.570032573289903
2016-05-31,5.260586319218241
2016-06-01,5.260586319218241
2016-06-02,4.641693811074919
2016-06-03,8.664495114006515
2016-06-04,6.498371335504887
2016-06-05,8.973941368078176
2016-06-06,3.713355048859935
2016-06-07,6.807817589576548
2016-06-08,6.807817589576548
2016-06-09,7.736156351791531
2016-06-10,7.117263843648209
2016-06-11,8.045602605863193
2016-06-12,10.521172638436482
2016-06-13,4.641693811074919
2016-06-14,5.879478827361564
2016-06-15,4.641693811074919
2016-06-16,5.260586319218241
2016-06-17,4.641693811074919
2016-06-18,4.641693811074919
2016-06-19,5.570032573289903
2016-06-20,3.094462540716613
2016-06-21,5.260586319218241
2016-06-22,6.807817589576548
2016-06-23,3.094462540716613
2016-06-24,2.47557003257329
2016-06-25,8.973941368078176
2016-06-26,4.641693811074919
2016-06-27,2.1661237785016287
2016-06-28,4.641693811074919
2016-06-29,7.736156351791531
2016-06-30,4.641693811074919
2016-07-01,5.570032573289903
2016-07-02,6.498371335504887
2016-07-03,6.498371335504887
2016-07-04,4.95114006514658
2016-07-05,3.094462540716613
2016-07-06,5.570032573289903
2016-07-07,2.47557003257329
2016-07-08,4.95114006514658
2016-07-09,1.8566775244299676
2016-07-10,0.0
2016-07-11,6.188925081433226
2016-07-12,3.713355048859935
