date,stupid
2016-05-01,51.0
2016-05-02,50.0
2016-05-03,53.0
2016-05-04,51.0
2016-05-05,55.0
2016-05-06,50.0
2016-05-07,53.0
2016-05-08,56.0
2016-05-09,51.0
2016-05-10,52.0
2016-05-11,52.0
2016-05-12,53.0
2016-05-13,57.0
2016-05-14,55.0
2016-05-15,60.0
2016-05-16,77.0
2016-05-17,100.0
2016-05-18,88.0
2016-05-19,95.0
2016-05-20,88.0
2016-05-21,92.0
2016-05-22,83.0
2016-05-23,70.0
2016-05-24,78.0
2016-05-25,74.0
2016-05-26,75.0
2016-05-27,71.0
2016-05-28,72.0
2016-05-29,66.0
2016-05-30,65.0
2016-05-31,62.0
2016-06-01,73.0
2016-06-02,67.0
2016-06-03,64.0
2016-06-04,71.0
2016-06-05,68.0
2016-06-06,56.0
2016-06-07,57.0
2016-06-08,55.0
2016-06-09,57.0
2016-06-10,58.0
2016-06-11,61.0
2016-06-12,57.0
2016-06-13,53.0
2016-06-14,54.0
2016-06-15,52.0
2016-06-16,55.0
2016-06-17,59.0
2016-06-18,63.0
2016-06-19,59.0
2016-06-20,53.0
2016-06-21,53.0
2016-06-22,55.0
2016-06-23,57.0
2016-06-24,63.0
2016-06-25,63.0
2016-06-26,70.0
2016-06-27,51.0
2016-06-28,53.0
2016-06-29,55.0
2016-06-30,53.0
2016-07-01,50.0
2016-07-02,55.0
2016-07-03,54.0
2016-07-04,53.0
2016-07-05,47.0
2016-07-06,51.0
2016-07-07,52.0
2016-07-08,54.0
2016-07-09,55.0
2016-07-10,53.0
2016-07-11,52.0
2016-07-12,50.0
2016-07-13,52.0
2016-07-14,58.0
2016-07-15,51.0
2016-07-16,57.0
2016-07-17,56.0
2016-07-18,47.0
2016-07-19,54.0
2016-07-20,53.0
2016-07-21,54.0
2016-07-22,57.0
2016-07-23,56.0
2016-07-24,55.0
2016-07-25,48.0
2016-07-26,50.0
2016-07-27,54.0
2016-07-28,54.0
2016-07-29,54.0
2016-07-30,65.0
2016-07-31,58.0
2016-08-01,51.0
2016-08-02,53.0
2016-08-03,52.0
2016-08-04,53.0
2016-08-05,52.0
2016-08-06,51.0
2016-08-07,51.0
2016-08-08,46.0
2016-08-09,48.0
2016-08-10,47.0
2016-08-11,51.0
2016-08-12,48.0
2016-08-13,52.0
2016-08-14,55.0
2016-08-15,48.0
2016-08-16,52.0
2016-08-17,46.0
2016-08-18,52.0
2016-08-19,52.0
2016-08-20,55.0
2016-08-21,49.0
2016-08-22,45.0
2016-08-23,46.0
2016-08-24,50.0
2016-08-25,50.0
2016-08-26,50.0
2016-08-27,56.0
2016-08-28,54.0
2016-08-29,48.0
2016-08-30,53.0
2016-08-31,50.0
2016-09-01,51.0
2016-09-02,51.0
2016-09-03,54.0
2016-09-04,51.0
2016-09-05,51.0
2016-09-06,52.0
2016-09-07,51.0
2016-09-08,51.0
2016-09-09,53.0
2016-09-10,53.0
2016-09-11,54.0
2016-09-12,49.0
2016-09-13,50.0
2016-09-14,51.0
2016-09-15,50.0
2016-09-16,53.0
2016-09-17,54.0
2016-09-18,55.0
2016-09-19,45.0
2016-09-20,50.0
2016-09-21,51.0
2016-09-22,54.0
2016-09-23,57.0
2016-09-24,94.0
2016-09-25,79.0
2016-09-26,60.0
2016-09-27,57.0
2016-09-28,59.0
2016-09-29,57.0
2016-09-30,55.0
2016-10-01,54.036054081121684
2016-10-02,52.7486229344016
2016-10-03,50.7486229344016
2016-10-04,60.82749123685528
2016-10-05,57.752628943415125
2016-10-06,54.965197796695044
2016-10-07,54.536054081121684
2016-10-08,54.894341512268404
2016-10-09,54.965197796695044
2016-10-10,55.536054081121684
2016-10-11,51.67776664997496
2016-10-12,55.465197796695044
2016-10-13,52.60691036554832
2016-10-14,54.465197796695044
2016-10-15,60.46920380570856
2016-10-16,55.036054081121684
2016-10-17,49.46119178768153
2016-10-18,50.81947921882824
2016-10-19,52.17776664997496
2016-10-20,53.2486229344016
2016-10-21,53.536054081121684
2016-10-22,52.036054081121684
2016-10-23,53.2486229344016
2016-10-24,49.96119178768153
2016-10-25,53.17776664997496
2016-10-26,50.81947921882824
2016-10-27,52.7486229344016
2016-10-28,55.036054081121684
2016-10-29,52.465197796695044
2016-10-30,53.465197796695044
2016-10-31,51.2486229344016
2016-11-01,49.81947921882824
2016-11-02,50.638958437656484
2016-11-03,54.07210816224337
2016-11-04,54.93039559339009
2016-11-05,54.07210816224337
2016-11-06,54.07210816224337
2016-11-07,50.638958437656484
2016-11-08,53.21382073109665
2016-11-09,85.82874311467201
2016-11-10,66.94641962944416
2016-11-11,63.51326990485729
2016-11-12,60.93840761141713
2016-11-13,57.50525788683025
2016-11-14,52.355533299949926
2016-11-15,55.78868302453681
2016-11-16,49.78067100650977
2016-11-17,54.93039559339009
2016-11-18,53.21382073109665
2016-11-19,54.93039559339009
2016-11-20,55.78868302453681
2016-11-21,49.78067100650977
2016-11-22,49.78067100650977
2016-11-23,47.20580871306961
2016-11-24,45.489233850776166
2016-11-25,49.78067100650977
2016-11-26,54.07210816224337
2016-11-27,53.21382073109665
2016-11-28,48.06409614421633
2016-11-29,48.92238357536305
2016-11-30,53.21382073109665
2016-12-01,55.78868302453681
2016-12-02,61.79669504256385
2016-12-03,59.22183274912369
2016-12-04,61.79669504256385
2016-12-05,54.93039559339009
2016-12-06,53.21382073109665
2016-12-07,54.07210816224337
2016-12-08,54.93039559339009
2016-12-09,54.07210816224337
2016-12-10,53.21382073109665
2016-12-11,54.93039559339009
2016-12-12,49.78067100650977
2016-12-13,52.355533299949926
2016-12-14,53.21382073109665
2016-12-15,59.22183274912369
2016-12-16,54.07210816224337
2016-12-17,55.78868302453681
2016-12-18,52.355533299949926
2016-12-19,49.78067100650977
2016-12-20,52.355533299949926
2016-12-21,52.355533299949926
2016-12-22,52.355533299949926
2016-12-23,49.78067100650977
2016-12-24,55.78868302453681
2016-12-25,53.21382073109665
2016-12-26,54.07210816224337
2016-12-27,50.638958437656484
2016-12-28,49.78067100650977
2016-12-29,51.497245868803205
2016-12-30,54.93039559339009
2016-12-31,66.94641962944416
2017-01-01,60.93840761141713
2017-01-02,49.78067100650977
2017-01-03,51.497245868803205
2017-01-04,45.489233850776166
2017-01-05,51.497245868803205
2017-01-06,54.93039559339009
2017-01-07,62.65498247371057
2017-01-08,58.36354531797697
2017-01-09,52.355533299949926
2017-01-10,52.355533299949926
2017-01-11,50.638958437656484
2017-01-12,50.638958437656484
2017-01-13,55.78868302453681
